size,ticker,price,volume,executed_at,canceled,premium,sale_cond_codes,nbbo_bid,nbbo_ask,ext_hour_sold_codes,market_center,nbbo_ask_quantity,nbbo_bid_quantity,tracking_id,trade_code,trade_settlement,trf_executed_at
27582,COF,187.90,3104105,2025-05-05T20:43:13Z,False,5182657.80,prior_reference_price,185.79,189.18,extended_hours_trade,L,600,2,60193768518029,,,
604,COF,187.90,3075876,2025-05-05T20:20:00Z,False,113491.60,prior_reference_price,186.08,189.18,extended_hours_trade,L,300,10,58800502633715,,,
1848,COF,187.90,3075272,2025-05-05T20:14:38Z,False,347239.20,,186.08,189.18,extended_hours_trade,L,300,10,58478099293688,,,
8663,COF,188.4003,3073310,2025-05-05T20:08:23Z,False,1632111.7989,,186.08,189.18,extended_hours_trade,L,300,10,58103842952052,,,
1065,COF,187.90,3064306,2025-05-05T20:00:40Z,False,200113.50,prior_reference_price,185.79,189.18,extended_hours_trade,L,300,2,57640016433639,,,
719,COF,187.90,3062329,2025-05-05T20:00:20Z,False,135100.10,prior_reference_price,185.79,189.18,extended_hours_trade,L,300,2,57620474146538,,,
537,COF,187.90,3060814,2025-05-05T20:00:20Z,False,100902.30,prior_reference_price,185.79,189.18,extended_hours_trade,L,300,2,57620265439155,,,
2422,COF,187.90,3060274,2025-05-05T20:00:20Z,False,455093.80,prior_reference_price,185.79,189.18,extended_hours_trade,L,300,2,57620238770876,,,
1781,COF,187.90,3057843,2025-05-05T20:00:20Z,False,334649.90,prior_reference_price,185.79,189.18,extended_hours_trade,L,300,2,57620232129355,,,
1712,COF,187.90,3055739,2025-05-05T20:00:20Z,False,321684.80,prior_reference_price,185.79,189.18,extended_hours_trade,L,300,2,57620220966011,,,
1850,COF,187.90,3053297,2025-05-05T20:00:20Z,False,347615.00,prior_reference_price,185.79,189.18,extended_hours_trade,L,300,2,57620146737597,,,
1801,COF,187.90,3051447,2025-05-05T20:00:20Z,False,338407.90,prior_reference_price,185.79,189.18,extended_hours_trade,L,300,2,57620131296423,,,
551,COF,187.90,3049419,2025-05-05T20:00:20Z,False,103532.90,prior_reference_price,185.79,189.18,extended_hours_trade,L,300,2,57620095731219,,,
576,COF,187.90,3048868,2025-05-05T20:00:20Z,False,108230.40,prior_reference_price,185.79,189.18,extended_hours_trade,L,300,2,57620076538432,,,
3848,COF,187.90,3045423,2025-05-05T20:00:02Z,False,723039.20,,182.50,189.18,extended_hours_trade,L,300,11,57602432040964,,,
700,COF,187.90,3046123,2025-05-05T20:00:02Z,False,131530.00,,182.50,189.18,extended_hours_trade,L,300,11,57602432107981,,,
728,COF,187.90,3046851,2025-05-05T20:00:02Z,False,136791.20,,182.50,189.18,extended_hours_trade,L,300,11,57602432487808,,,
1912,COF,187.8901,2575273,2025-05-05T19:58:55Z,False,359245.8712,,187.89,187.93,,L,24,176,57535806614854,,,
652,COF,187.9546,2491578,2025-05-05T19:57:32Z,False,122546.3992,average_price_trade,187.94,187.98,,L,76,428,57452071463556,,,
700,COF,187.95,2449927,2025-05-05T19:56:42Z,False,131565.00,,187.93,187.97,,L,92,5,57402313521851,,,
663,COF,187.975,2446100,2025-05-05T19:56:33Z,False,124627.425,,187.93,187.96,,L,47,50,57393146276776,,,
1500,COF,187.94,2440352,2025-05-05T19:56:32Z,False,281910.00,,187.93,187.95,,L,50,57,57392649595117,,,
600,COF,187.94,2438833,2025-05-05T19:56:32Z,False,112764.00,,187.93,187.95,,L,50,57,57392647964089,,,
870,COF,188.0355,2349378,2025-05-05T19:53:20Z,False,163590.8850,,188,188.09,,L,157,1,57200779727731,,,
700,COF,188.03,2313502,2025-05-05T19:51:44Z,False,131621.00,,188,188.04,,L,46,200,57104434074124,,,
550,COF,188.20,2194907,2025-05-05T19:43:54Z,False,103510.00,,188.17,188.23,,L,100,100,56634349909435,,,
1669,COF,188.30,2125520,2025-05-05T19:35:09Z,False,314272.70,,188.25,188.35,,L,59,50,56109326987246,,,
700,COF,188.4609,2076390,2025-05-05T19:25:51Z,False,131922.6300,,188.46,188.54,,L,2,5,55551440604783,,,
625,COF,188.76,1966081,2025-05-05T19:08:25Z,False,117975.00,,188.69,188.82,,L,81,105,54505193237387,,,
1900,COF,188.753,1951559,2025-05-05T19:05:07Z,False,358630.700,,188.74,188.86,,L,3,5,54307352434436,,,
596,COF,188.7217,1908294,2025-05-05T18:56:34Z,False,112478.1332,,188.73,188.88,,L,27,7,53794169692313,,,
7644,COF,188.9258,1868533,2025-05-05T18:51:04Z,False,1444148.8152,contingent_trade,188.95,189.02,,L,103,9,53464286714001,qualified_contingent_trade,,
2548,COF,188.9258,1848057,2025-05-05T18:49:57Z,False,481382.9384,contingent_trade,188.97,189.07,,L,5,132,53397196016383,qualified_contingent_trade,,
5096,COF,188.9244,1823587,2025-05-05T18:44:57Z,False,962758.7424,contingent_trade,188.95,189.05,,L,74,212,53097174840140,qualified_contingent_trade,,
587,COF,189.05,1818120,2025-05-05T18:44:39Z,False,110972.35,,188.95,189.05,,L,77,112,53079729225856,,,
