size,ticker,price,volume,executed_at,canceled,premium,sale_cond_codes,nbbo_ask,nbbo_bid,ext_hour_sold_codes,market_center,nbbo_ask_quantity,nbbo_bid_quantity,tracking_id,trade_code,trade_settlement,trf_executed_at
19038,COHR,113.56,3926662,2025-10-07T20:03:44Z,False,2161955.28,prior_reference_price,113.56,111,extended_hours_trade,L,119,100,0,,regular,
3853,COHR,113.56,3930515,2025-10-07T20:03:44Z,False,437546.68,prior_reference_price,113.56,111,extended_hours_trade,L,119,100,0,,regular,
8700,COHR,113.56,3905219,2025-10-07T20:00:18Z,False,987972.00,prior_reference_price,116.66,111,extended_hours_trade,L,2,100,0,,regular,
5174,COHR,113.56,3896220,2025-10-07T20:00:18Z,False,587559.44,prior_reference_price,116.66,111,extended_hours_trade,L,2,100,0,,regular,
107800,COHR,113.56,3889785,2025-10-07T20:00:08Z,False,12241768.00,average_price_trade,113.56,113.54,extended_hours_trade,L,203,18,0,,regular,
1200,COHR,113.588,3295111,2025-10-07T19:57:01Z,False,136305.600,,113.62,113.58,,L,473,5,0,,regular,
3329,COHR,114.2,3147660,2025-10-07T19:49:49Z,False,380171.8,,114.19,114.16,,L,64,100,0,,regular,
3400,COHR,113.79,3039626,2025-10-07T19:40:17Z,False,386886.00,,113.8,113.74,,L,100,112,0,,regular,
1650,COHR,114.1051,3024448,2025-10-07T19:38:37Z,False,188273.4150,average_price_trade,113.99,113.93,,L,569,105,0,derivative_priced,regular,
1236,COHR,114.27,2998113,2025-10-07T19:34:33Z,False,141237.72,,114.27,114.2,,L,12,300,0,,regular,
14250,COHR,114.23,2995942,2025-10-07T19:34:07Z,False,1627777.50,contingent_trade,114.23,114.17,,L,21,337,0,qualified_contingent_trade,regular,
1700,COHR,114.32,2937540,2025-10-07T19:26:07Z,False,194344.00,,114.37,114.32,,L,2,23,0,,regular,
3347,COHR,114.28,2893076,2025-10-07T19:17:58Z,False,382495.16,,114.3,114.24,,L,2,200,0,,regular,
1200,COHR,114.1167,2869117,2025-10-07T19:12:56Z,False,136940.0400,average_price_trade,114.24,114.17,,L,120,232,0,derivative_priced,regular,
1900,COHR,114.2412,2836429,2025-10-07T19:04:05Z,False,217058.2800,average_price_trade,114.23,114.16,,L,10,14,0,derivative_priced,regular,
900,COHR,114.2431,2834236,2025-10-07T19:03:58Z,False,102818.7900,average_price_trade,114.24,114.16,,L,28,14,0,derivative_priced,regular,
994,COHR,114.07,2764402,2025-10-07T18:55:17Z,False,113385.58,,114.06,113.97,,2,34,32,0,,regular,
2435,COHR,113.155,2723909,2025-10-07T18:48:31Z,False,275532.425,,113.19,113.1,,L,2,8,0,,regular,
1881,COHR,113.06,2719011,2025-10-07T18:48:05Z,False,212665.86,,113.07,112.96,,L,20,106,0,,regular,
4611,COHR,113.01,2717122,2025-10-07T18:48:04Z,False,521089.11,,113.07,112.96,,L,20,106,0,,regular,
4822,COHR,113.19,2705763,2025-10-07T18:48:03Z,False,545802.18,,113.18,113.12,,L,353,27,0,,regular,
1700,COHR,112.52,2570853,2025-10-07T18:14:01Z,False,191284.00,,112.6,112.45,,L,97,2,0,,regular,
900,COHR,112.06,2542642,2025-10-07T18:10:52Z,False,100854.00,,112.24,112.04,,L,6,102,0,,regular,
897,COHR,112.08,2514631,2025-10-07T18:10:08Z,False,100535.76,,112.26,112.09,,L,4,524,0,,regular,
1900,COHR,112.165,2508190,2025-10-07T18:10:02Z,False,213113.500,,112.24,112.18,,L,100,30,0,,regular,
3533,COHR,112.13,2488703,2025-10-07T18:09:39Z,False,396155.29,,112.23,112.13,,L,4,104,0,,regular,
2045,COHR,112.285,2464763,2025-10-07T18:09:02Z,False,229622.825,,112.37,112.28,,L,100,137,0,,regular,
1000,COHR,112.285,2391032,2025-10-07T18:06:36Z,False,112285.000,,112.36,112.28,,L,103,38,0,,regular,
1000,COHR,112.205,2323189,2025-10-07T18:04:08Z,False,112205.000,,112.29,112.22,,L,7,19,0,,regular,
1200,COHR,112.2,2297297,2025-10-07T18:03:29Z,False,134640.0,,112.36,112.23,,L,1,21,0,,regular,
1600,COHR,112.2,2295729,2025-10-07T18:03:29Z,False,179520.0,,112.36,112.23,,L,1,21,0,,regular,
1500,COHR,112.2,2294129,2025-10-07T18:03:29Z,False,168300.0,,112.36,112.23,,L,1,21,0,,regular,
1000,COHR,112.2,2291014,2025-10-07T18:03:29Z,False,112200.0,,112.36,112.23,,L,1,21,0,,regular,
934,COHR,112.8292,2207292,2025-10-07T17:41:37Z,False,105382.4728,,112.94,112.82,,L,1,108,0,,regular,
1000,COHR,112.9522,2196709,2025-10-07T17:37:59Z,False,112952.2000,,113.03,112.91,,L,28,10,0,,regular,
2600,COHR,113.11,2179866,2025-10-07T17:33:14Z,False,294086.00,,113.35,113.11,,L,93,155,0,,regular,
4400,COHR,113.155,2010824,2025-10-07T16:53:59Z,False,497882.000,,113.22,113.17,,L,36,2,0,,regular,
1000,COHR,113.4285,1985122,2025-10-07T16:48:10Z,False,113428.5000,,113.4,113.28,,L,3,3,0,,regular,
1000,COHR,113.365,1977562,2025-10-07T16:46:59Z,False,113365.000,,113.41,113.27,,L,3,3,0,,regular,
9800,COHR,113.305,1963154,2025-10-07T16:44:42Z,False,1110389.000,,113.4,113.21,,L,227,102,0,,regular,
1330,COHR,113.39,1914360,2025-10-07T16:41:59Z,False,150808.70,,113.48,113.39,,L,8,72,0,,regular,
10000,COHR,113.425,1908114,2025-10-07T16:41:46Z,False,1134250.000,,113.45,113.33,,L,3,76,0,,regular,
2000,COHR,111.9399,1811746,2025-10-07T16:19:39Z,False,223879.8000,,111.93,111.77,,L,4,99,0,,regular,
4000,COHR,111.74,1722119,2025-10-07T16:10:28Z,False,446960.00,,111.87,111.68,,L,102,7,0,,regular,
1000,COHR,111.813,1713261,2025-10-07T16:10:02Z,False,111813.000,,111.86,111.73,,L,2,199,0,,regular,
5000,COHR,111.8,1668178,2025-10-07T16:05:49Z,False,559000.0,,111.89,111.73,,L,38,68,0,,regular,
1000,COHR,111.53,1627194,2025-10-07T16:02:24Z,False,111530.00,,111.63,111.48,,L,300,11,0,,regular,
3440,COHR,111.9,1608519,2025-10-07T16:01:21Z,False,384936.0,,111.8,111.68,,L,2,100,0,,regular,
3800,COHR,110.6,1487846,2025-10-07T15:54:45Z,False,420280.0,,110.6,110.46,,L,126,267,0,,regular,
2265,COHR,110.815,1461998,2025-10-07T15:53:40Z,False,250995.975,,110.95,110.81,,L,8,343,0,,regular,
1000,COHR,110.665,1446483,2025-10-07T15:53:05Z,False,110665.000,,110.75,110.6,,L,60,92,0,,regular,
1420,COHR,111.16,1298406,2025-10-07T15:41:34Z,False,157847.20,,111.26,111.07,,L,750,4,0,,regular,
5480,COHR,111.06,1241189,2025-10-07T15:37:17Z,False,608608.80,,111.18,111.06,,L,555,164,0,,regular,
1000,COHR,111.21,1232404,2025-10-07T15:37:05Z,False,111210.00,,111.21,111.11,,L,100,1,0,,regular,
2500,COHR,111.34,1219761,2025-10-07T15:36:43Z,False,278350.00,,111.29,111.23,,L,1,8,0,,regular,
7500,COHR,111.34,1216881,2025-10-07T15:36:43Z,False,835050.00,,111.29,111.23,,L,1,8,0,,regular,
900,COHR,111.34,1208937,2025-10-07T15:36:42Z,False,100206.00,,111.29,111.23,,L,1,8,0,,regular,
1350,COHR,112.635,1114956,2025-10-07T15:26:43Z,False,152057.250,,112.59,112.36,,L,14,4,0,,regular,
1000,COHR,113.195,1067526,2025-10-07T15:21:23Z,False,113195.000,,113.21,113.16,,L,38,16,0,,regular,
1000,COHR,112.61,957818,2025-10-07T15:14:30Z,False,112610.00,,112.72,112.55,,L,300,5,0,,regular,
1481,COHR,112.61,956772,2025-10-07T15:14:30Z,False,166775.41,,112.72,112.55,,L,300,5,0,,regular,
2651,COHR,113.01,931972,2025-10-07T15:14:06Z,False,299589.51,,113.13,112.95,,L,325,300,0,,regular,
5700,COHR,113.01,925715,2025-10-07T15:14:06Z,False,644157.00,,113.13,112.95,,L,325,300,0,,regular,
1000,COHR,113.01,920015,2025-10-07T15:14:06Z,False,113010.00,,113.13,112.95,,L,325,300,0,,regular,
1075,COHR,113.02,878386,2025-10-07T15:12:19Z,False,121496.50,,113.1,113,,L,100,123,0,,regular,
3000,COHR,113.2601,867512,2025-10-07T15:11:47Z,False,339780.3000,,113.4,113.15,,L,4,5,0,,regular,
4593,COHR,114.9701,620829,2025-10-07T14:59:33Z,False,528057.6693,,115.11,114.96,,L,94,200,0,,regular,
1000,COHR,114.9501,521679,2025-10-07T14:41:35Z,False,114950.1000,,115.17,114.95,,L,12,100,0,,regular,
1000,COHR,114.965,519858,2025-10-07T14:41:30Z,False,114965.000,,115.18,114.95,,L,5,100,0,,regular,
1000,COHR,115.065,518858,2025-10-07T14:41:29Z,False,115065.000,,115.18,114.95,,L,9,100,0,,regular,
1000,COHR,115.0001,512878,2025-10-07T14:41:27Z,False,115000.1000,,115.23,115.01,,L,2,5,0,,regular,
1400,COHR,115.58,491309,2025-10-07T14:40:09Z,False,161812.00,,115.58,115.5,,L,192,30,0,,regular,
4315,COHR,115.53,488908,2025-10-07T14:40:09Z,False,498511.95,,115.58,115.5,,L,192,30,0,,regular,
3000,COHR,116.02,436654,2025-10-07T14:34:13Z,False,348060.00,,116.03,115.93,,L,401,1,0,,regular,
1000,COHR,115.9,403604,2025-10-07T14:28:50Z,False,115900.0,,116,115.8,,L,630,213,0,,regular,
4250,COHR,115.55,340003,2025-10-07T14:17:14Z,False,491087.50,,115.63,115.37,,L,32,107,0,,regular,
5000,COHR,115.575,288173,2025-10-07T14:06:33Z,False,577875.000,,115.72,115.43,,L,103,210,0,,regular,
