size,ticker,price,volume,executed_at,canceled,premium,sale_cond_codes,nbbo_bid,nbbo_ask,ext_hour_sold_codes,market_center,nbbo_ask_quantity,nbbo_bid_quantity,tracking_id,trade_code,trade_settlement,trf_executed_at
20486,COHR,186.81,1257836,2025-12-30T22:56:33Z,False,3826989.66,average_price_trade,186.32,186.86,extended_hours_trade,L,5,12,28230902629997,,regular,
21700,COHR,186.81,1237317,2025-12-30T22:22:02Z,False,4053777.00,prior_reference_price,186.32,188.48,extended_hours_trade,L,90,12,28230900559582,,regular,
538,COHR,186.81,1215436,2025-12-30T21:31:22Z,False,100503.78,,186.81,188.48,extended_hours_trade,L,90,1,28230897518804,,regular,
2982,COHR,186.81,1214227,2025-12-30T21:00:44Z,False,557067.42,prior_reference_price,186.32,188.48,extended_hours_trade,L,90,10,28230895680892,,regular,
1217,COHR,186.81,1211045,2025-12-30T21:00:27Z,False,227347.77,prior_reference_price,186.32,188.48,extended_hours_trade,L,90,10,28230895663754,,regular,
600,COHR,186.81,1209787,2025-12-30T21:00:20Z,False,112086.00,prior_reference_price,186.32,188.48,extended_hours_trade,L,90,10,28230895657106,,regular,
1722,COHR,186.81,1209187,2025-12-30T21:00:20Z,False,321686.82,prior_reference_price,186.32,188.48,extended_hours_trade,L,90,10,28230895656963,,regular,
553,COHR,186.81,1207465,2025-12-30T21:00:20Z,False,103305.93,prior_reference_price,186.32,188.48,extended_hours_trade,L,90,10,28230895656920,,regular,
754,COHR,186.81,1206912,2025-12-30T21:00:20Z,False,140854.74,prior_reference_price,186.32,188.48,extended_hours_trade,L,90,10,28230895656820,,regular,
700,COHR,186.81,1205758,2025-12-30T21:00:20Z,False,130767.00,prior_reference_price,186.32,188.48,extended_hours_trade,L,90,10,28230895656675,,regular,
1354,COHR,186.81,1205058,2025-12-30T21:00:20Z,False,252940.74,prior_reference_price,186.32,188.48,extended_hours_trade,L,90,10,28230895656648,,regular,
1806,COHR,186.81,1203695,2025-12-30T21:00:19Z,False,337378.86,prior_reference_price,186.32,188.48,extended_hours_trade,L,90,10,28230895656495,,regular,
1400,COHR,187,944098,2025-12-30T20:43:53Z,False,261800,,187.04,187.17,,L,11,17,28230894669822,,regular,
5400,COHR,187.1,919938,2025-12-30T20:41:39Z,False,1010340.0,,187.1,187.16,,L,100,13,28230894536091,,regular,
1133,COHR,187.07,888702,2025-12-30T20:41:36Z,False,211950.31,,187.02,187.13,,L,4,163,28230894533579,,regular,
1743,COHR,186.76,875604,2025-12-30T20:38:17Z,False,325522.68,,186.77,186.84,,L,280,1,28230894334471,,regular,
736,COHR,186.93,867542,2025-12-30T20:37:33Z,False,137580.48,,186.85,187.02,,L,350,10,28230894290123,,regular,
680,COHR,186.93,866538,2025-12-30T20:37:31Z,False,127112.40,,186.85,187.02,,L,350,10,28230894287838,,regular,
680,COHR,186.93,865400,2025-12-30T20:37:31Z,False,127112.40,,186.85,187.02,,L,350,10,28230894287799,,regular,
1625,COHR,187.4401,831591,2025-12-30T20:21:56Z,False,304590.1625,,187.44,187.7,,L,10,94,28230893353328,,regular,
783,COHR,187,817745,2025-12-30T20:13:56Z,False,146421,,187,187.2,,L,343,8,28230892873420,,regular,
1247,COHR,187.09,816217,2025-12-30T20:13:19Z,False,233301.23,,187.08,187.24,,L,60,3,28230892835683,,regular,
1000,COHR,187.35,749980,2025-12-30T19:52:22Z,False,187350.00,,187.06,187.4,,L,251,100,28230891579051,,regular,
3083,COHR,187.3,744338,2025-12-30T19:51:05Z,False,577445.9,,187.54,187.79,,L,301,38,28230891501720,,regular,
900,COHR,187.52,735697,2025-12-30T19:51:05Z,False,168768.00,,187.54,187.79,,L,301,38,28230891501712,,regular,
1146,COHR,187.57,715460,2025-12-30T19:36:27Z,False,214955.22,,187.5,187.74,,L,342,100,28230890624135,,regular,
609,COHR,188.185,668254,2025-12-30T19:08:57Z,False,114604.665,,187.96,188.19,,L,14,57,28230888973924,,regular,
806,COHR,187.98,633903,2025-12-30T18:47:42Z,False,151511.88,,187.9,188.07,,L,4,131,28230887699310,,regular,
1743,COHR,187.68,624964,2025-12-30T18:44:28Z,False,327126.24,,187.64,187.76,,L,50,1,28230887504618,,regular,
1000,COHR,188.2512,605490,2025-12-30T18:32:02Z,False,188251.2000,,188.16,188.35,,L,157,28,28230886759488,,regular,
1000,COHR,188.5001,545335,2025-12-30T18:02:39Z,False,188500.1000,,188.43,188.72,,L,135,63,28230884995695,,regular,
1120,COHR,189.0225,474082,2025-12-30T17:07:00Z,False,211705.2000,,188.97,189.2,,L,16,99,28230881657416,,regular,
4600,COHR,188.9,463413,2025-12-30T16:59:20Z,False,868940.0,,188.86,189.04,,L,9,5,28230881196652,,regular,
8035,COHR,189.8,405476,2025-12-30T16:24:07Z,False,1525043.0,,189.73,189.81,,L,1,11,28230879084596,,regular,
1800,COHR,189.08,372078,2025-12-30T16:11:33Z,False,340344.00,,189,189.2,,L,41,1,28230878330516,,regular,
772,COHR,189.32,366112,2025-12-30T16:09:20Z,False,146155.04,,189.17,189.64,,L,62,23,28230878196672,,regular,
600,COHR,188.97,317386,2025-12-30T15:44:19Z,False,113382.00,,188.89,189.08,,L,40,4,28230876695989,,regular,
1900,COHR,189.12,300064,2025-12-30T15:37:07Z,False,359328.00,,188.91,189.16,,L,3,5,28230876263936,,regular,
800,COHR,188.5,290311,2025-12-30T15:32:05Z,False,150800.0,,188.01,188.58,,L,65,8,28230875961741,,regular,
700,COHR,188.8193,273497,2025-12-30T15:23:12Z,False,132173.5100,,188.58,189.02,,L,40,11,28230875428625,,regular,
1900,COHR,188.78,260600,2025-12-30T15:18:27Z,False,358682.00,,188.32,188.57,,L,8,140,28230875144448,,regular,
1000,COHR,188.4081,256407,2025-12-30T15:17:56Z,False,188408.1000,,188.35,188.79,,L,115,350,28230875113191,,regular,
780,COHR,188.37,250175,2025-12-30T15:16:44Z,False,146928.60,,188.17,188.57,,L,33,154,28230875040886,,regular,
