size,ticker,price,volume,executed_at,canceled,premium,sale_cond_codes,nbbo_bid,nbbo_ask,ext_hour_sold_codes,market_center,nbbo_ask_quantity,nbbo_bid_quantity,tracking_id,trade_code,trade_settlement,trf_executed_at
500,COIN,273.48,15610811,2025-05-22T23:53:44Z,False,136740.00,,272.56,273.48,extended_hours_trade,L,20,12,71624473987055,,,
499,COIN,272.7201,15607999,2025-05-22T23:49:18Z,False,136087.3299,,272.77,273.40,extended_hours_trade,L,500,47,71358300485567,,,
1022,COIN,272.50,15599826,2025-05-22T23:23:31Z,False,278495.00,,272.14,272.73,extended_hours_trade,L,5,5,69811934563466,,,
1558,COIN,271.28,15592805,2025-05-22T23:00:06Z,False,422654.24,,271,272.50,extended_hours_trade,L,25,62,68406937918810,,,
767,COIN,272.25,15589835,2025-05-22T22:53:47Z,False,208815.75,,272.30,272.49,extended_hours_trade,L,12,11,68027167982213,,,
1000,COIN,272.50,15586855,2025-05-22T22:46:32Z,False,272500.00,,272.20,272.85,extended_hours_trade,L,37,2,67592735349180,,,
2995,COIN,272.50,15583390,2025-05-22T22:39:54Z,False,816137.50,,272.20,272.55,extended_hours_trade,L,150,2,67194000982699,,,
820,COIN,272.10,15577065,2025-05-22T22:30:02Z,False,223122.00,,271.90,272.25,extended_hours_trade,L,100,13,66602139499256,,,
2000,COIN,271,15560177,2025-05-22T21:45:10Z,False,542000,,271.15,271.52,extended_hours_trade,L,88,2,63910574150171,,,
26606,COIN,271.95,15553824,2025-05-22T21:36:01Z,False,7235501.70,prior_reference_price,271.80,272,extended_hours_trade,L,44,5,63361186518620,,,
500,COIN,272.77,15522196,2025-05-22T21:16:40Z,False,136385.00,,272.10,272.55,extended_hours_trade,L,7,30,62200460226787,,,
400,COIN,272.0394,15521578,2025-05-22T21:15:15Z,False,108815.7600,,272.10,272.55,extended_hours_trade,L,7,30,62115567049613,,,
400,COIN,272.50,15520466,2025-05-22T21:14:04Z,False,109000.00,,272.10,272.55,extended_hours_trade,L,7,30,62044628991919,,,
400,COIN,272.50,15519845,2025-05-22T21:13:39Z,False,109000.00,,272.10,273,extended_hours_trade,L,649,30,62019483945912,,,
750,COIN,272.0608,15517632,2025-05-22T21:07:50Z,False,204045.6000,,272.10,273,extended_hours_trade,L,649,30,61670076078712,,,
600,COIN,273,15514119,2025-05-22T21:03:22Z,False,163800,,271.84,273,extended_hours_trade,L,659,1,61402644226800,,,
3700,COIN,271.9499,15505158,2025-05-22T20:54:14Z,False,1006214.6300,,271.20,271.70,extended_hours_trade,L,95,37,60854446310293,,,
3700,COIN,271.95,15501458,2025-05-22T20:54:14Z,False,1006215.00,,271.20,271.70,extended_hours_trade,L,95,37,60854445638906,,,
900,COIN,272,15496371,2025-05-22T20:51:02Z,False,244800,,271.13,271.95,extended_hours_trade,L,25,37,60662108597292,,,
600,COIN,271.60,15493665,2025-05-22T20:48:07Z,False,162960.00,,271.13,271.72,extended_hours_trade,L,10,37,60487175684697,,,
500,COIN,271.1801,15491416,2025-05-22T20:45:17Z,False,135590.0500,,270.86,271.95,extended_hours_trade,L,25,37,60317541628035,,,
495,COIN,271.16,15485753,2025-05-22T20:42:50Z,False,134224.20,,270.56,271.16,extended_hours_trade,L,10,37,60170823896234,,,
1000,COIN,271.55,15479335,2025-05-22T20:33:43Z,False,271550.00,,271.02,271.55,extended_hours_trade,L,126,2,59623195708466,,,
300000,COIN,271.95,15471710,2025-05-22T20:22:21Z,False,81585000.00,prior_reference_price,271,271.60,extended_hours_trade,L,500,149,58941943548766,,,
552,COIN,271.50,15165824,2025-05-22T20:10:26Z,False,149868.00,,271,271.65,extended_hours_trade,L,6,103,58226987344257,,,
3368,COIN,271.95,15156068,2025-05-22T20:05:05Z,False,915927.60,,270.50,271.50,extended_hours_trade,L,40,267,57905873951243,,,
6300,COIN,271.95,15144141,2025-05-22T20:03:16Z,False,1713285.00,prior_reference_price,271,271.44,extended_hours_trade,L,18,36,57796079470689,,,
2268,COIN,271.95,15137027,2025-05-22T20:03:03Z,False,616782.60,prior_reference_price,271,271.44,extended_hours_trade,L,18,36,57783973813282,,,
500,COIN,271.95,15133691,2025-05-22T20:02:37Z,False,135975.00,prior_reference_price,271.44,271.77,extended_hours_trade,L,6,101,57757082880981,,,
369,COIN,271.95,15132359,2025-05-22T20:02:12Z,False,100349.55,prior_reference_price,271.50,271.77,extended_hours_trade,L,6,26,57732957809329,,,
607,COIN,271.95,15129826,2025-05-22T20:00:50Z,False,165073.65,prior_reference_price,271.60,272.60,extended_hours_trade,L,500,63,57650537518918,,,
1647,COIN,271.95,15127841,2025-05-22T20:00:27Z,False,447901.65,prior_reference_price,271.57,272.60,extended_hours_trade,L,500,5,57627798027950,,,
753,COIN,271.57,15125996,2025-05-22T20:00:25Z,False,204492.21,,271.57,271.96,extended_hours_trade,L,36,5,57625181436483,,,
1303,COIN,271.95,15124912,2025-05-22T20:00:18Z,False,354350.85,prior_reference_price,271.57,271.96,extended_hours_trade,L,36,5,57618933074981,,,
24000,COIN,271.95,15123175,2025-05-22T20:00:14Z,False,6526800.00,prior_reference_price,271.57,271.96,extended_hours_trade,L,36,5,57614108917323,,,
636,COIN,271.95,15098959,2025-05-22T20:00:13Z,False,172960.20,prior_reference_price,271.57,271.96,extended_hours_trade,L,36,5,57613921979839,,,
754,COIN,271.95,15097294,2025-05-22T20:00:08Z,False,205050.30,,271.57,271.96,extended_hours_trade,L,36,5,57608854446682,,,
651,COIN,271.95,15097945,2025-05-22T20:00:08Z,False,177039.45,,271.57,271.96,extended_hours_trade,L,36,5,57608854649175,,,
803,COIN,271.95,15096540,2025-05-22T20:00:08Z,False,218375.85,,271.57,271.96,extended_hours_trade,L,36,5,57608850910511,,,
3990,COIN,271.95,15095442,2025-05-22T20:00:08Z,False,1085080.50,,271.57,271.96,extended_hours_trade,L,36,5,57608839898949,,,
2728,COIN,271.95,15091452,2025-05-22T20:00:08Z,False,741879.60,,271.57,271.96,extended_hours_trade,L,36,5,57608297788808,,,
1551,COIN,271.95,15088724,2025-05-22T20:00:08Z,False,421794.45,,271.57,271.96,extended_hours_trade,L,36,5,57608292796735,,,
33000,COIN,271.95,15087173,2025-05-22T20:00:08Z,False,8974350.00,,271.57,271.96,extended_hours_trade,L,36,5,57608269281071,,,
1725,COIN,271.95,15053293,2025-05-22T20:00:03Z,False,469113.75,,271.57,271.96,extended_hours_trade,L,36,5,57603614040761,,,
1500,COIN,271.95,15051252,2025-05-22T20:00:03Z,False,407925.00,,271.57,271.96,extended_hours_trade,L,36,5,57603453818358,,,
500,COIN,271.95,15049624,2025-05-22T20:00:03Z,False,135975.00,,271.57,271.96,extended_hours_trade,L,36,5,57603451464873,,,
3678,COIN,271.95,15048834,2025-05-22T20:00:01Z,False,1000232.10,,271.57,271.96,extended_hours_trade,L,36,5,57601587545174,,,
3112,COIN,271.95,15045083,2025-05-22T20:00:01Z,False,846308.40,,271.57,271.96,extended_hours_trade,L,36,5,57601586552885,,,
884,COIN,271.95,14319255,2025-05-22T20:00:00Z,False,240403.80,,271.57,272.77,extended_hours_trade,L,10,5,57600600894118,,,
1081,COIN,271.95,14318371,2025-05-22T20:00:00Z,False,293977.95,,271.69,272.60,extended_hours_trade,L,500,15,57600411545152,,,
500,COIN,271.91,14280245,2025-05-22T19:59:53Z,False,135955.00,,271.90,272.11,,L,10,1,57593905245791,,,
600,COIN,271.9101,14280845,2025-05-22T19:59:53Z,False,163146.0600,,271.90,272.11,,L,10,1,57593905293372,,,
500,COIN,272.048,14271092,2025-05-22T19:59:53Z,False,136024.000,,271.90,272.11,,L,10,1,57593300627644,,,
400,COIN,272.072,14269270,2025-05-22T19:59:53Z,False,108828.800,,271.90,272.11,,L,10,1,57593077186774,,,
500,COIN,272.12,14269770,2025-05-22T19:59:53Z,False,136060.00,,271.90,272.11,,L,10,1,57593077348440,,,
602,COIN,272.192,14243069,2025-05-22T19:59:49Z,False,163859.584,,272.19,272.32,,L,400,3881,57589522507512,,,
456,COIN,272.0101,14214081,2025-05-22T19:59:41Z,False,124036.6056,,272.01,272.17,,L,20,1419,57581861901139,,,
400,COIN,272.07,14208846,2025-05-22T19:59:40Z,False,108828.00,,272.01,272.17,,L,20,1419,57580343513819,,,
1117,COIN,272.115,14208121,2025-05-22T19:59:40Z,False,303952.455,,272.01,272.17,,L,20,1419,57580342021641,,,
590,COIN,272.14,14203170,2025-05-22T19:59:40Z,False,160562.60,,272.01,272.17,,L,20,1419,57580331555884,,,
600,COIN,272.20,14143598,2025-05-22T19:59:32Z,False,163320.00,,272.11,272.26,,L,23,299,57572029952259,,,
500,COIN,272.13,14115229,2025-05-22T19:59:26Z,False,136065.00,,272.01,272.13,,L,388,3409,57566989639792,,,
1100,COIN,271.96,14083914,2025-05-22T19:59:18Z,False,299156.00,,271.87,271.98,,L,1124,1313,57558921343084,,,
1000,COIN,271.93,14076695,2025-05-22T19:59:15Z,False,271930.00,,271.90,271.96,,L,59,100,57555158006783,,,
400,COIN,271.91,14053147,2025-05-22T19:59:08Z,False,108764.00,,271.86,271.97,,L,150,580,57548766096753,,,
560,COIN,272.0894,14013686,2025-05-22T19:59:00Z,False,152370.0640,,272.01,272.07,,L,71,34,57540800779587,,,
400,COIN,272.025,14001634,2025-05-22T19:58:52Z,False,108810.000,,271.98,272.07,,L,166,840,57532735908876,,,
796,COIN,272.21,13949243,2025-05-22T19:58:30Z,False,216679.16,,272.21,272.25,,L,1,113,57510330829813,,,
370,COIN,272.31,13937934,2025-05-22T19:58:27Z,False,100754.70,,272.31,272.44,,L,407,620,57507032104164,,,
600,COIN,272.375,13933883,2025-05-22T19:58:25Z,False,163425.000,,272.31,272.44,,L,425,119,57505286902423,,,
744,COIN,272.39,13928753,2025-05-22T19:58:22Z,False,202658.16,,272.34,272.50,,L,670,16,57502926594815,,,
400,COIN,272.33,13926641,2025-05-22T19:58:21Z,False,108932.00,,272.34,272.49,,L,303,756,57501474119497,,,
500,COIN,272.41,13923655,2025-05-22T19:58:17Z,False,136205.00,,272.40,272.49,,L,151,20,57497916601889,,,
600,COIN,272.05,13885064,2025-05-22T19:57:53Z,False,163230.00,,272,272.09,,L,107,106,57473464587140,,,
1450,COIN,272.066,13884122,2025-05-22T19:57:53Z,False,394495.700,,272,272.09,,L,107,106,57473463968221,,,
965,COIN,271.9046,13856853,2025-05-22T19:57:33Z,False,262387.9390,,271.90,272.05,,L,55,300,57453029789144,,,
456,COIN,271.95,13844754,2025-05-22T19:57:21Z,False,124009.20,,271.88,271.99,,L,10,99,57441522925775,,,
400,COIN,272,13841436,2025-05-22T19:57:20Z,False,108800,,271.93,272.07,,L,50,300,57440543994948,,,
