size,ticker,price,volume,executed_at,canceled,premium,sale_cond_codes,nbbo_ask,nbbo_bid,ext_hour_sold_codes,market_center,nbbo_ask_quantity,nbbo_bid_quantity,tracking_id,trade_code,trade_settlement,trf_executed_at
500,COIN,255.8,9002253,2026-01-13T23:57:22Z,False,127900.0,,256.1,255.8,extended_hours_trade,L,70,969,22905146832190,,regular,2026-01-13T23:57:22Z
1000,COIN,255.45,8995856,2026-01-13T23:43:24Z,False,255450.00,,255.41,255.26,extended_hours_trade,L,10,10,22905145993577,,regular,2026-01-13T23:43:24Z
520,COIN,255.25,8993172,2026-01-13T23:38:46Z,False,132730.00,,255.6,255.16,extended_hours_trade,L,40,5,22905145715813,,regular,2026-01-13T23:38:46Z
960,COIN,255.88,8989571,2026-01-13T23:32:08Z,False,245644.80,,255.88,255.76,extended_hours_trade,L,69,69,22905145317848,,regular,2026-01-13T23:32:08Z
450,COIN,255.9,8986512,2026-01-13T23:28:25Z,False,115155.0,,255.92,255.15,extended_hours_trade,L,40,30,22905145095078,,regular,2026-01-13T23:28:25Z
600,COIN,255.581,8984521,2026-01-13T23:27:15Z,False,153348.600,,255.95,255,extended_hours_trade,L,40,253,22905145025114,,regular,2026-01-13T23:27:15Z
500,COIN,255.3845,8982220,2026-01-13T23:26:40Z,False,127692.2500,,255.45,255,extended_hours_trade,L,29,123,22905144989713,,regular,2026-01-13T23:26:40Z
480,COIN,255.3,8981197,2026-01-13T23:26:00Z,False,122544.0,,255.59,255,extended_hours_trade,L,10,123,22905144950553,,regular,2026-01-13T23:26:00Z
623,COIN,255.53,8980057,2026-01-13T23:24:44Z,False,159195.19,,255.99,255.6,extended_hours_trade,L,42,1,22905144874079,,regular,2026-01-13T23:24:44Z
690,COIN,255.8501,8978346,2026-01-13T23:23:01Z,False,176536.5690,,256.13,255.67,extended_hours_trade,L,43,10,22905144771143,,regular,2026-01-13T23:23:01Z
690,COIN,255.85,8977581,2026-01-13T23:23:01Z,False,176536.50,,256.13,255.67,extended_hours_trade,L,43,10,22905144771140,,regular,2026-01-13T23:23:01Z
450,COIN,256.19,8975119,2026-01-13T23:21:43Z,False,115285.50,,256.2,256,extended_hours_trade,L,30,14,22905144693168,,regular,2026-01-13T23:21:43Z
1000,COIN,256.3,8969785,2026-01-13T23:15:10Z,False,256300.0,,256.3,256.04,extended_hours_trade,L,40,50,22905144300224,,regular,2026-01-13T23:15:10Z
480,COIN,256.28,8960437,2026-01-13T23:05:28Z,False,123014.40,,256.79,256.28,extended_hours_trade,L,11,77,22905143717796,,regular,2026-01-13T23:05:28Z
919,COIN,256.7399,8958867,2026-01-13T23:03:10Z,False,235943.9681,,256.79,256.27,extended_hours_trade,L,11,90,22905143580447,,regular,2026-01-13T23:03:10Z
919,COIN,256.74,8957948,2026-01-13T23:03:10Z,False,235944.06,,256.79,256.27,extended_hours_trade,L,11,90,22905143580446,,regular,2026-01-13T23:03:10Z
500,COIN,256.19,8928749,2026-01-13T22:48:58Z,False,128095.00,,256.21,255.6,extended_hours_trade,L,10,100,22905142728344,,regular,2026-01-13T22:48:58Z
