size,ticker,price,volume,executed_at,canceled,premium,sale_cond_codes,nbbo_ask,nbbo_bid,ext_hour_sold_codes,market_center,nbbo_ask_quantity,nbbo_bid_quantity,tracking_id,trade_code,trade_settlement,trf_executed_at
2607,COKE,159.14,292243,2026-02-11T21:00:24Z,False,414877.98,prior_reference_price,159.5,156,extended_hours_trade,L,4,25,26908045733483,,regular,2026-02-11T21:00:24Z
628,COKE,159.26,158703,2026-02-11T20:59:49Z,False,100015.28,,159.14,159.04,,L,324,21,26908045699223,,regular,2026-02-11T20:59:49Z
632,COKE,158.2399,106666,2026-02-11T19:58:47Z,False,100007.6168,,158.21,158.03,,L,4,4,26908042037162,,regular,2026-02-11T19:58:47Z
786,COKE,157.3499,68695,2026-02-11T17:40:35Z,False,123677.0214,,157.35,157.22,,L,171,30,26908033744586,,regular,2026-02-11T17:40:35Z
1034,COKE,157.3499,69734,2026-02-11T17:40:35Z,False,162699.7966,,157.35,157.22,,L,171,30,26908033744586,,regular,2026-02-11T17:40:35Z
1100,COKE,157.05,66980,2026-02-11T17:35:53Z,False,172755.00,,157.35,156.97,,L,174,1,26908033463428,,regular,2026-02-11T17:35:53Z
1098,COKE,157,63508,2026-02-11T17:25:07Z,False,172386,,157.03,156.98,,L,1,25,26908032816497,,regular,2026-02-11T17:25:07Z
800,COKE,155.68,28129,2026-02-11T15:33:49Z,False,124544.00,,156.49,156,,L,48,5,26908026138860,,regular,2026-02-11T15:33:49Z
641,COKE,156.43,11219,2026-02-11T14:38:59Z,False,100271.63,,157,155,,L,2,1,26908022848729,,regular,2026-02-11T14:38:59Z
1465,COKE,156.66,1912,2026-02-11T14:30:01Z,False,229506.90,,157,156,,L,12,162,26908022310977,derivative_priced,regular,2026-02-11T14:30:01Z
