size,ticker,price,volume,executed_at,canceled,premium,sale_cond_codes,nbbo_bid,nbbo_ask,ext_hour_sold_codes,market_center,nbbo_ask_quantity,nbbo_bid_quantity,tracking_id,trade_code,trade_settlement,trf_executed_at
12500,COP,107.74,22893013,2026-06-18T21:59:40Z,False,1346750.00,average_price_trade,107.77,109,extended_hours_trade,L,2,100,31765657301884,,regular,2026-06-18T21:59:39Z
1305,COP,107.74,22880344,2026-06-18T21:42:24Z,False,140600.70,prior_reference_price,107.77,109,extended_hours_trade,L,2,100,31765656265564,,regular,2026-06-18T21:42:23Z
3111,COP,107.74,22877451,2026-06-18T20:20:00Z,False,335179.14,prior_reference_price,107.4,108,extended_hours_trade,L,30,20,31765651321415,,regular,2026-06-18T20:20:00Z
163557,COP,107.74,22874884,2026-06-18T20:18:06Z,False,17621631.18,prior_reference_price,107.4,108,extended_hours_trade,L,30,20,31765651207497,,regular,2026-06-18T20:18:06Z
19739,COP,107.7333,22711206,2026-06-18T20:15:32Z,False,2126547.6087,average_price_trade,107.4,108,extended_hours_trade,L,30,20,31765651053646,,regular,2026-06-18T20:15:32Z
1001125,COP,107.74,22691462,2026-06-18T20:14:10Z,False,107861207.50,prior_reference_price,107.7,108,extended_hours_trade,L,30,10,31765650971954,,regular,2026-06-18T20:14:10Z
28209,COP,107.74,21690337,2026-06-18T20:14:10Z,False,3039237.66,prior_reference_price,107.7,108,extended_hours_trade,L,30,10,31765650971665,,regular,2026-06-18T20:14:10Z
67889,COP,107.74,21662128,2026-06-18T20:13:26Z,False,7314360.86,prior_reference_price,107.4,108,extended_hours_trade,L,30,20,31765650927279,,regular,2026-06-18T20:13:26Z
153179,COP,107.7425,21592729,2026-06-18T20:10:04Z,False,16503888.4075,average_price_trade,107.4,108,extended_hours_trade,L,30,20,31765650725341,,regular,2026-06-18T20:10:03Z
10364,COP,107.74,21439549,2026-06-18T20:09:52Z,False,1116617.36,prior_reference_price,107.4,108,extended_hours_trade,L,30,20,31765650713280,,regular,2026-06-18T20:09:52Z
1055,COP,107.74,21429185,2026-06-18T20:09:22Z,False,113665.70,average_price_trade,107.4,108,extended_hours_trade,L,30,20,31765650683557,,regular,2026-06-18T20:09:16Z
74955,COP,107.7405,21428108,2026-06-18T20:08:37Z,False,8075689.1775,average_price_trade,107.4,108,extended_hours_trade,L,30,20,31765650638546,,regular,2026-06-18T20:08:35Z
1091,COP,107.74,21352834,2026-06-18T20:07:48Z,False,117544.34,prior_reference_price,107.4,108,extended_hours_trade,L,30,20,31765650590190,,regular,2026-06-18T20:07:48Z
