size,ticker,price,volume,executed_at,canceled,premium,sale_cond_codes,nbbo_bid,nbbo_ask,ext_hour_sold_codes,market_center,nbbo_ask_quantity,nbbo_bid_quantity,tracking_id,trade_code,trade_settlement,trf_executed_at
6258,CPRI,18.21,3598733,2025-07-01T20:00:40Z,False,113958.18,prior_reference_price,15.77,19.66,extended_hours_trade,L,4,3,57640022426268,,regular,
9169,CPRI,18.21,3592475,2025-07-01T20:00:40Z,False,166967.49,prior_reference_price,15.77,19.66,extended_hours_trade,L,4,3,57640019437586,,regular,
8661,CPRI,18.21,3577326,2025-07-01T20:00:39Z,False,157716.81,prior_reference_price,15.77,19.66,extended_hours_trade,L,4,3,57639892745798,,regular,
16655,CPRI,18.21,3564837,2025-07-01T20:00:06Z,False,303287.55,,15.77,19.66,extended_hours_trade,L,4,3,57606842200528,,regular,
6300,CPRI,18.21,3545469,2025-07-01T20:00:06Z,False,114723.00,,15.77,19.66,extended_hours_trade,L,4,3,57606731498830,,regular,
9500,CPRI,18.41,2470782,2025-07-01T19:34:47Z,False,174895.00,,18.36,18.37,,L,302,455,56087125394445,intermarket_sweep,regular,
6400,CPRI,18.43,2265093,2025-07-01T19:14:11Z,False,117952.00,,18.38,18.39,,L,339,184,54851068286761,intermarket_sweep,regular,
12634,CPRI,18.46,2197689,2025-07-01T19:03:52Z,False,233223.64,,18.39,18.42,,L,400,51,54232353244409,intermarket_sweep,regular,
8180,CPRI,18.48,1995078,2025-07-01T18:23:58Z,False,151166.40,,18.42,18.43,,L,100,156,51838811951006,intermarket_sweep,regular,
6300,CPRI,18.49,1922533,2025-07-01T18:07:45Z,False,116487.00,,18.48,18.49,,L,19,358,50865542577301,,regular,
25000,CPRI,18.46,1907125,2025-07-01T18:07:33Z,False,461500.00,,18.46,18.47,,L,189,462,50853057303898,,regular,
6096,CPRI,18.47,1840032,2025-07-01T17:57:54Z,False,112593.12,,18.47,18.48,,L,207,215,50274092655117,,regular,
9598,CPRI,18.44,1820502,2025-07-01T17:56:26Z,False,176987.12,,18.41,18.43,,L,30,224,50186103177741,,regular,
9075,CPRI,18.40,1807413,2025-07-01T17:56:10Z,False,166980.00,,18.39,18.40,,L,600,102,50170968677543,,regular,
6542,CPRI,18.39,1783296,2025-07-01T17:56:06Z,False,120307.38,,18.37,18.39,,L,1,101,50166737241562,,regular,
50000,CPRI,18.76,1291470,2025-07-01T16:18:24Z,False,938000.00,,18.77,18.82,,L,200,107,44304289048534,,regular,
27500,CPRI,18.83,1172578,2025-07-01T16:15:35Z,False,517825.00,,18.83,18.85,,L,700,610,44135456097788,,regular,
8100,CPRI,18.655,1041634,2025-07-01T15:50:37Z,False,151105.500,,18.65,18.66,,L,207,103,42637225089968,,regular,
13050,CPRI,18.50,697008,2025-07-01T15:19:34Z,False,241425.00,,18.49,18.50,,L,100,513,40774151835273,,regular,
15215,CPRI,18.36,609670,2025-07-01T15:08:51Z,False,279347.40,,18.41,18.43,,L,204,102,40131028566998,,regular,
7000,CPRI,18.41,585423,2025-07-01T15:08:51Z,False,128870.00,,18.41,18.43,,L,204,102,40131022467509,,regular,
7465,CPRI,18.38,512135,2025-07-01T15:02:25Z,False,137206.70,,18.37,18.39,,L,156,153,39745978122266,,regular,
7231,CPRI,18.2219,206297,2025-07-01T14:13:34Z,False,131762.5589,,18.22,18.25,,L,69,221,36814259074264,,regular,
