size,ticker,price,volume,executed_at,canceled,premium,sale_cond_codes,nbbo_ask,nbbo_bid,ext_hour_sold_codes,market_center,nbbo_ask_quantity,nbbo_bid_quantity,tracking_id,trade_code,trade_settlement,trf_executed_at
16272,CPRI,24.84,2684596,2026-01-16T22:23:35Z,False,404196.48,prior_reference_price,25.35,24.5,extended_hours_trade,L,98,125,33990451796347,,regular,2026-01-16T22:23:35Z
17322,CPRI,24.84,2668324,2026-01-16T22:16:32Z,False,430278.48,average_price_trade,25.35,24.5,extended_hours_trade_late_or_out_of_sequence,L,98,125,33990451373346,,regular,2026-01-16T22:16:32Z
7352,CPRI,24.84,2644025,2026-01-16T21:00:36Z,False,182623.68,prior_reference_price,26.95,24.5,extended_hours_trade,L,1000,125,33990446817430,,regular,2026-01-16T21:00:36Z
4477,CPRI,24.84,2636673,2026-01-16T21:00:36Z,False,111208.68,prior_reference_price,26.95,24.5,extended_hours_trade,L,1000,125,33990446817413,,regular,2026-01-16T21:00:36Z
5600,CPRI,24.84,2623116,2026-01-16T21:00:04Z,False,139104.00,,26.95,24.5,extended_hours_trade,L,1000,125,33990446784574,,regular,2026-01-16T21:00:04Z
38800,CPRI,24.88,1792719,2026-01-16T20:26:56Z,False,965344.00,,24.88,24.86,,L,402,351,33990444797034,,regular,2026-01-16T20:26:56Z
20000,CPRI,24.75,697622,2026-01-16T16:07:51Z,False,495000.00,,24.77,24.74,,L,16,205,33990429252436,,regular,2026-01-16T16:07:51Z
7700,CPRI,24.7,657597,2026-01-16T16:04:01Z,False,190190.0,,24.73,24.67,,L,52,210,33990429022228,,regular,2026-01-16T16:04:01Z
7128,CPRI,24.71,632117,2026-01-16T16:03:09Z,False,176132.88,,24.72,24.68,,L,4,32,33990428969687,,regular,2026-01-16T16:03:09Z
5300,CPRI,24.72,597454,2026-01-16T16:02:04Z,False,131016.00,,24.74,24.68,,L,12,16,33990428904886,,regular,2026-01-16T16:02:04Z
10220,CPRI,24.9,387169,2026-01-16T15:27:27Z,False,254478.0,,24.82,24.8,,L,254,110,33990426827743,intermarket_sweep,regular,2026-01-16T15:27:27Z
7000,CPRI,24.9,351215,2026-01-16T15:22:59Z,False,174300.0,,24.91,24.87,,L,122,10,33990426559886,intermarket_sweep,regular,2026-01-16T15:22:59Z
6552,CPRI,24.8854,226931,2026-01-16T15:14:00Z,False,163049.1408,,24.91,24.87,,L,210,100,33990426020594,,regular,2026-01-16T15:14:00Z
6000,CPRI,24.9,130959,2026-01-16T14:58:13Z,False,149400.0,,24.87,24.81,,L,66,2,33990425073638,intermarket_sweep,regular,2026-01-16T14:58:13Z
