size,ticker,price,volume,executed_at,canceled,premium,sale_cond_codes,nbbo_bid,nbbo_ask,ext_hour_sold_codes,market_center,nbbo_ask_quantity,nbbo_bid_quantity,tracking_id,trade_code,trade_settlement,trf_executed_at
20977,CRL,170.1,900397,2025-10-07T21:52:22Z,False,3568187.7,prior_reference_price,168,173.77,extended_hours_trade,L,300,1,0,,regular,
671,CRL,170.1,877892,2025-10-07T20:00:29Z,False,114137.1,prior_reference_price,168,173.77,extended_hours_trade,L,300,1,0,,regular,
1031,CRL,170.1,876273,2025-10-07T20:00:29Z,False,175373.1,prior_reference_price,168,173.77,extended_hours_trade,L,300,1,0,,regular,
600,CRL,169.97,723219,2025-10-07T19:58:15Z,False,101982.00,,169.95,169.98,,L,25,39,0,,regular,
600,CRL,169.885,706588,2025-10-07T19:57:57Z,False,101931.000,,169.91,170.05,,L,100,109,0,,regular,
600,CRL,169.795,692671,2025-10-07T19:57:31Z,False,101877.000,,169.72,169.84,,L,18,17,0,,regular,
600,CRL,169.165,612314,2025-10-07T19:54:17Z,False,101499.000,,169.06,169.27,,L,149,242,0,,regular,
600,CRL,169.16,607116,2025-10-07T19:53:46Z,False,101496.00,,168.98,169.27,,L,113,20,0,,regular,
600,CRL,169.255,602605,2025-10-07T19:53:32Z,False,101553.000,,169.29,169.42,,L,40,422,0,,regular,
600,CRL,169.09,576525,2025-10-07T19:49:11Z,False,101454.00,,169.09,169.17,,L,109,77,0,,regular,
607,CRL,169.13,573912,2025-10-07T19:48:43Z,False,102661.91,,169.09,169.16,,L,6,90,0,,regular,
5000,CRL,169.265,567456,2025-10-07T19:47:25Z,False,846325.000,,169.19,169.35,,L,44,52,0,,regular,
600,CRL,169.265,561739,2025-10-07T19:46:49Z,False,101559.000,,169.18,169.29,,L,40,151,0,,regular,
600,CRL,169.265,560770,2025-10-07T19:46:46Z,False,101559.000,,169.18,169.29,,L,40,61,0,,regular,
600,CRL,168.975,543753,2025-10-07T19:42:01Z,False,101385.000,,168.88,169.04,,L,6,110,0,,regular,
600,CRL,169.015,538981,2025-10-07T19:39:02Z,False,101409.000,,168.91,169.14,,L,40,41,0,,regular,
600,CRL,169.11,536553,2025-10-07T19:39:00Z,False,101466.00,,169.02,169.16,,L,14,94,0,,regular,
600,CRL,169.11,535816,2025-10-07T19:38:46Z,False,101466.00,,169.02,169.18,,L,2,94,0,,regular,
600,CRL,168.94,529364,2025-10-07T19:35:39Z,False,101364.00,,168.86,168.98,,L,18,14,0,,regular,
600,CRL,168.88,522864,2025-10-07T19:32:21Z,False,101328.00,,168.8,168.96,,L,92,156,0,,regular,
600,CRL,168.88,521923,2025-10-07T19:32:05Z,False,101328.00,,168.8,168.96,,L,34,152,0,,regular,
600,CRL,168.88,520907,2025-10-07T19:32:03Z,False,101328.00,,168.87,168.97,,L,121,5,0,,regular,
600,CRL,168.705,507691,2025-10-07T19:26:41Z,False,101223.000,,168.68,168.86,,L,326,23,0,,regular,
700,CRL,168.6,499752,2025-10-07T19:23:45Z,False,118020.0,,168.49,168.61,,L,1,10,0,,regular,
600,CRL,168.6,499052,2025-10-07T19:23:45Z,False,101160.0,,168.49,168.61,,L,1,10,0,,regular,
10000,CRL,168.6,482952,2025-10-07T19:21:09Z,False,1686000.0,,168.67,168.8,,L,192,4,0,,regular,
1000,CRL,169,424421,2025-10-07T18:49:54Z,False,169000,,168.8,168.94,,L,8,53,0,,regular,
1080,CRL,169.0801,410672,2025-10-07T18:43:03Z,False,182606.5080,,169.08,169.3,,L,4,181,0,,regular,
3400,CRL,169.06,393641,2025-10-07T18:23:08Z,False,574804.00,,169,169.19,,L,1,1,0,,regular,
1503,CRL,169.56,313440,2025-10-07T17:18:18Z,False,254848.68,,169.59,169.91,,L,2,33,0,,regular,
3700,CRL,170.575,213963,2025-10-07T15:58:13Z,False,631127.500,,170.46,170.79,,L,4,10,0,,regular,
600,CRL,170.6,190163,2025-10-07T15:43:33Z,False,102360.0,,170.45,170.68,,L,14,107,0,,regular,
600,CRL,170.44,186496,2025-10-07T15:43:33Z,False,102264.00,,170.45,170.68,,L,14,107,0,,regular,
600,CRL,170.4387,187096,2025-10-07T15:43:33Z,False,102263.2200,,170.45,170.68,,L,14,107,0,,regular,
728,CRL,171.515,102520,2025-10-07T14:58:33Z,False,124862.920,,171.32,171.64,,L,5,13,0,,regular,
800,CRL,171.64,101631,2025-10-07T14:58:32Z,False,137312.00,,171.32,171.64,,2,5,13,0,,regular,
1500,CRL,173.38,74510,2025-10-07T14:40:39Z,False,260070.00,,173.23,173.53,,L,16,118,0,,regular,
1414,CRL,173.21,60994,2025-10-07T14:33:24Z,False,244918.94,,172.89,173.21,,L,28,6,0,,regular,
