size,ticker,price,volume,executed_at,canceled,premium,sale_cond_codes,nbbo_ask,nbbo_bid,ext_hour_sold_codes,market_center,nbbo_ask_quantity,nbbo_bid_quantity,tracking_id,trade_code,trade_settlement,trf_executed_at
2182,CRL,187.93,1102929,2025-10-28T20:29:57Z,False,410063.26,,187.9,157.87,extended_hours_trade,L,32,8,0,,regular,
67985,CRL,187.93,1100747,2025-10-28T20:21:09Z,False,12776421.05,prior_reference_price,187.9,162.92,extended_hours_trade,L,32,100,0,,regular,
1910,CRL,187.93,1032549,2025-10-28T20:05:42Z,False,358946.30,average_price_trade,187.9,162.12,extended_hours_trade,L,32,100,0,,regular,
941,CRL,187.93,1029443,2025-10-28T20:01:54Z,False,176842.13,prior_reference_price,187.9,157.87,extended_hours_trade,L,32,8,0,,regular,
1188,CRL,187.93,1027449,2025-10-28T20:00:34Z,False,223260.84,prior_reference_price,187.99,187.84,extended_hours_trade,L,32,17,0,,regular,
1100,CRL,187.93,1025302,2025-10-28T20:00:32Z,False,206723.00,prior_reference_price,187.99,187.84,extended_hours_trade,L,32,17,0,,regular,
1800,CRL,187.93,1023485,2025-10-28T20:00:31Z,False,338274.00,prior_reference_price,187.99,187.84,extended_hours_trade,L,32,17,0,,regular,
668,CRL,187.93,1021188,2025-10-28T20:00:27Z,False,125537.24,prior_reference_price,187.99,187.84,extended_hours_trade,L,32,17,0,,regular,
900,CRL,187.61,838062,2025-10-28T19:58:11Z,False,168849.00,,187.68,187.48,,L,117,19,0,,regular,
800,CRL,187.9345,789947,2025-10-28T19:56:29Z,False,150347.6000,average_price_trade,188.06,187.92,,L,228,39,0,derivative_priced,regular,
800,CRL,187.9418,756327,2025-10-28T19:53:00Z,False,150353.4400,average_price_trade,188.22,188.07,,L,90,8,0,derivative_priced,regular,
1200,CRL,187.8867,751818,2025-10-28T19:52:23Z,False,225464.0400,average_price_trade,188.31,188.18,,L,1,66,0,derivative_priced,regular,
1200,CRL,187.8403,747019,2025-10-28T19:51:18Z,False,225408.3600,average_price_trade,188.05,187.96,,L,5,80,0,derivative_priced,regular,
700,CRL,187.6607,711323,2025-10-28T19:45:53Z,False,131362.4900,average_price_trade,187.62,187.43,,L,267,1,0,derivative_priced,regular,
600,CRL,187.5305,672834,2025-10-28T19:32:16Z,False,112518.3000,average_price_trade,187.59,187.49,,L,6,5,0,derivative_priced,regular,
753,CRL,187.29,640680,2025-10-28T19:19:11Z,False,141029.37,,187.29,187.13,,L,100,14,0,,regular,
881,CRL,187.83,574130,2025-10-28T18:32:18Z,False,165478.23,,187.93,187.75,,L,6,14,0,,regular,
673,CRL,188.2201,560975,2025-10-28T18:20:24Z,False,126672.1273,,188.38,188.29,,L,43,1,0,,regular,
1062,CRL,189.74,291106,2025-10-28T15:36:13Z,False,201503.88,,189.94,189.48,,L,4,105,0,,regular,
1500,CRL,189.89,289855,2025-10-28T15:36:12Z,False,284835.00,,189.94,189.48,,2,8,105,0,,regular,
530,CRL,190.5618,261556,2025-10-28T15:15:57Z,False,100997.7540,,190.6,190.27,,L,5,5,0,,regular,
10000,CRL,190,252483,2025-10-28T15:11:05Z,False,1900000,,190.06,189.83,,L,9,3,0,,regular,
1210,CRL,189.77,168524,2025-10-28T14:13:55Z,False,229621.70,,190.3,189.7,,L,205,200,0,,regular,
10000,CRL,190,147222,2025-10-28T14:05:22Z,False,1900000,,190.7,190.21,,L,12,7,0,,regular,
10000,CRL,191.285,132227,2025-10-28T14:02:56Z,False,1912850.000,,191.57,191.03,,L,10,1,0,,regular,
10500,CRL,190.9,115408,2025-10-28T14:01:01Z,False,2004450.0,,191.44,190.62,,L,208,35,0,,regular,
5000,CRL,192.56,92495,2025-10-28T13:55:32Z,False,962800.00,,192.97,192.33,,L,100,100,0,,regular,
1200,CRL,192.4,59288,2025-10-28T13:41:03Z,False,230880.0,,192.97,191.8,,L,6,2,0,,regular,
1200,CRL,192.4,58022,2025-10-28T13:41:03Z,False,230880.0,,192.97,191.8,,L,6,2,0,,regular,
1800,CRL,192.405,52359,2025-10-28T13:36:39Z,False,346329.000,,192.21,191.85,,L,3,200,0,,regular,
3000,CRL,192.405,50559,2025-10-28T13:36:39Z,False,577215.000,,192.21,191.85,,L,3,200,0,,regular,
5000,CRL,191.325,37742,2025-10-28T13:35:03Z,False,956625.000,,192.2,190.46,,L,200,1,0,,regular,
1600,CRL,191.325,39342,2025-10-28T13:35:03Z,False,306120.000,,192.2,190.46,,L,200,1,0,,regular,
1200,CRL,190.9,22718,2025-10-28T13:33:28Z,False,229080.0,,191.42,189.1,,L,203,5,0,,regular,
