size,ticker,price,volume,executed_at,canceled,premium,sale_cond_codes,nbbo_ask,nbbo_bid,ext_hour_sold_codes,market_center,nbbo_ask_quantity,nbbo_bid_quantity,tracking_id,trade_code,trade_settlement,trf_executed_at
5464,CRM,258.14,6264863,2025-12-17T23:14:20Z,False,1410476.96,average_price_trade,258.85,258.1,extended_hours_trade,L,40,30,31323280150460,,regular,
4694,CRM,258.14,6255809,2025-12-17T21:46:47Z,False,1211709.16,prior_reference_price,258.5,258.23,extended_hours_trade,L,1,8,31323274897550,,regular,
2971,CRM,258.14,6249808,2025-12-17T21:20:10Z,False,766933.94,prior_reference_price,258.96,258.15,extended_hours_trade,L,22,4,31323273300022,,regular,
1904,CRM,258.14,6243022,2025-12-17T21:09:29Z,False,491498.56,,258.1,257.1,extended_hours_trade,L,2,22,31323272659580,,regular,
674,CRM,258.14,6237983,2025-12-17T21:05:31Z,False,173986.36,average_price_trade,258.96,258.14,extended_hours_trade,L,22,2,31323272421331,,regular,
5413,CRM,258.14,6236411,2025-12-17T21:03:49Z,False,1397311.82,,258.79,258.15,extended_hours_trade,L,28,1,31323272319315,,regular,
1106,CRM,258.14,6230884,2025-12-17T21:03:37Z,False,285502.84,prior_reference_price,258.79,258.15,extended_hours_trade,L,28,1,31323272307156,,regular,
1092,CRM,258.14,6229525,2025-12-17T21:03:34Z,False,281888.88,prior_reference_price,258.79,258.15,extended_hours_trade,L,28,1,31323272304689,,regular,
2112,CRM,258.14,6228433,2025-12-17T21:03:34Z,False,545191.68,prior_reference_price,258.79,258.15,extended_hours_trade,L,28,1,31323272304637,,regular,
521,CRM,258.14,6226321,2025-12-17T21:03:33Z,False,134490.94,prior_reference_price,258.79,258.15,extended_hours_trade,L,28,1,31323272303111,,regular,
896,CRM,258.14,6225800,2025-12-17T21:03:31Z,False,231293.44,prior_reference_price,258.79,258.15,extended_hours_trade,L,28,1,31323272301541,,regular,
16617,CRM,258.14,6224750,2025-12-17T21:03:29Z,False,4289512.38,,258.79,258.15,extended_hours_trade,L,28,1,31323272299102,,regular,
3960,CRM,258.14,6207919,2025-12-17T21:03:29Z,False,1022234.40,prior_reference_price,258.79,258.15,extended_hours_trade,L,28,1,31323272298828,,regular,
402,CRM,258.14,6203959,2025-12-17T21:03:29Z,False,103772.28,prior_reference_price,258.79,258.15,extended_hours_trade,L,28,1,31323272298827,,regular,
17298,CRM,258.14,6203269,2025-12-17T21:03:25Z,False,4465305.72,prior_reference_price,258.79,258.15,extended_hours_trade,L,28,1,31323272294953,,regular,
1061,CRM,258.14,6185971,2025-12-17T21:03:24Z,False,273886.54,prior_reference_price,258.79,258.15,extended_hours_trade,L,28,1,31323272294196,,regular,
1500,CRM,258.14,6184416,2025-12-17T21:03:23Z,False,387210.00,prior_reference_price,258.79,258.15,extended_hours_trade,L,28,1,31323272293176,,regular,
4040,CRM,258.14,6182267,2025-12-17T21:03:15Z,False,1042885.60,prior_reference_price,258.96,258.25,extended_hours_trade,L,22,118,31323272285199,,regular,
640,CRM,258.14,6177999,2025-12-17T21:03:10Z,False,165209.60,prior_reference_price,258.96,258.25,extended_hours_trade,L,22,118,31323272279985,,regular,
