size,ticker,price,volume,executed_at,canceled,premium,sale_cond_codes,nbbo_bid,nbbo_ask,ext_hour_sold_codes,market_center,nbbo_ask_quantity,nbbo_bid_quantity,tracking_id,trade_code,trade_settlement,trf_executed_at
2800,CRM,183.4494,21731029,2026-02-25T23:54:42Z,False,513658.3200,,183.3,183.45,extended_hours_trade,L,2500,326,31323282572519,,regular,2026-02-25T23:54:42Z
1450,CRM,183.39,21719788,2026-02-25T23:51:35Z,False,265915.50,,183,183.5,extended_hours_trade,L,2,65,31323282385332,,regular,2026-02-25T23:51:35Z
1000,CRM,183.1369,21716723,2026-02-25T23:50:39Z,False,183136.9000,,183,183.14,extended_hours_trade,L,1000,65,31323282329713,,regular,2026-02-25T23:50:39Z
1395,CRM,183.1001,21715440,2026-02-25T23:50:23Z,False,255424.6395,,183.01,183.28,extended_hours_trade,L,100,137,31323282313508,,regular,2026-02-25T23:50:23Z
1111,CRM,183.4,21710733,2026-02-25T23:48:40Z,False,203757.4,,183.15,183.3,extended_hours_trade,L,70,140,31323282210224,,regular,2026-02-25T23:48:40Z
700,CRM,182.92,21696797,2026-02-25T23:45:13Z,False,128044.00,,182.88,183.19,extended_hours_trade,L,200,36,31323282003066,,regular,2026-02-25T23:45:13Z
1974,CRM,182.92,21698771,2026-02-25T23:45:13Z,False,361084.08,,182.88,183.19,extended_hours_trade,L,200,36,31323282003066,,regular,2026-02-25T23:45:13Z
1000,CRM,182.6,21685362,2026-02-25T23:42:11Z,False,182600.0,,182.4,182.75,extended_hours_trade,L,300,11,31323281821147,,regular,2026-02-25T23:42:11Z
16395,CRM,182.75,21656627,2026-02-25T23:40:35Z,False,2996186.25,,182.4,182.88,extended_hours_trade,L,400,11,31323281725619,,regular,2026-02-25T23:40:35Z
2464,CRM,182.78,21636534,2026-02-25T23:40:17Z,False,450369.92,,182.41,183,extended_hours_trade,L,400,155,31323281707297,,regular,2026-02-25T23:40:17Z
1000,CRM,182.4001,21629965,2026-02-25T23:39:38Z,False,182400.1000,,182.4,182.74,extended_hours_trade,L,135,201,31323281668473,,regular,2026-02-25T23:39:38Z
1000,CRM,183,21621936,2026-02-25T23:39:17Z,False,183000,,183.1,183.19,extended_hours_trade,L,1340,14,31323281646848,,regular,2026-02-25T23:39:17Z
600,CRM,183.68,21611855,2026-02-25T23:38:19Z,False,110208.00,,183.67,183.75,extended_hours_trade,L,408,79,31323281589400,,regular,2026-02-25T23:38:19Z
1000,CRM,183.7,21608664,2026-02-25T23:38:08Z,False,183700.0,,183.61,183.7,extended_hours_trade,L,300,46,31323281578102,,regular,2026-02-25T23:38:08Z
2890,CRM,183.6202,21605341,2026-02-25T23:37:46Z,False,530662.3780,,183.6,183.73,extended_hours_trade,L,227,107,31323281555728,,regular,2026-02-25T23:37:46Z
1000,CRM,183.54,21601033,2026-02-25T23:37:31Z,False,183540.00,,183.58,183.75,extended_hours_trade,L,108,40,31323281541398,,regular,2026-02-25T23:37:31Z
700,CRM,183.65,21599151,2026-02-25T23:37:23Z,False,128555.00,,183.46,183.6,extended_hours_trade,L,250,1,31323281533019,,regular,2026-02-25T23:37:23Z
1500,CRM,183.45,21594808,2026-02-25T23:37:10Z,False,275175.00,,183.45,183.5,extended_hours_trade,L,129,31,31323281520002,,regular,2026-02-25T23:37:10Z
1000,CRM,183.3573,21591049,2026-02-25T23:37:03Z,False,183357.3000,,183.35,183.44,extended_hours_trade,L,500,87,31323281513392,,regular,2026-02-25T23:37:03Z
1000,CRM,183.14,21581195,2026-02-25T23:36:15Z,False,183140.00,,183,183.2,extended_hours_trade,L,300,5,31323281465333,,regular,2026-02-25T23:36:15Z
1000,CRM,182.9403,21571762,2026-02-25T23:35:44Z,False,182940.3000,,182.94,183,extended_hours_trade,L,414,145,31323281433798,,regular,2026-02-25T23:35:44Z
700,CRM,182.88,21554528,2026-02-25T23:35:01Z,False,128016.00,,182.88,182.97,extended_hours_trade,L,677,20,31323281391021,,regular,2026-02-25T23:35:01Z
1000,CRM,182.9803,21552984,2026-02-25T23:35:01Z,False,182980.3000,,182.88,182.98,extended_hours_trade,L,260,20,31323281390949,,regular,2026-02-25T23:35:01Z
600,CRM,182.8204,21549116,2026-02-25T23:34:46Z,False,109692.2400,,182.76,182.86,extended_hours_trade,L,300,110,31323281376271,,regular,2026-02-25T23:34:46Z
10000,CRM,182.8483,21545731,2026-02-25T23:34:09Z,False,1828483.0000,,182.8,182.85,extended_hours_trade,L,700,10,31323281339478,,regular,2026-02-25T23:34:09Z
