size,ticker,price,volume,executed_at,canceled,premium,sale_cond_codes,nbbo_bid,nbbo_ask,ext_hour_sold_codes,market_center,nbbo_ask_quantity,nbbo_bid_quantity,tracking_id,trade_code,trade_settlement,trf_executed_at
3616,CROX,75.2401,6455208,2025-08-08T20:20:00Z,False,272068.2016,average_price_trade,75.24,75.50,extended_hours_trade,L,159,200,58800222726145,,regular,
1351,CROX,75.24,6449990,2025-08-08T20:09:24Z,False,101649.24,,74.94,75.25,extended_hours_trade,L,35,10,58164538823241,,regular,
1963,CROX,75.2465,6223804,2025-08-08T19:59:50Z,False,147708.8795,,75.23,75.25,,L,6225,401,57590796291194,,regular,
1603,CROX,75.14,6109953,2025-08-08T19:58:00Z,False,120449.42,,75.13,75.14,,L,403,1807,57480421410672,,regular,
3515,CROX,75.0999,5978634,2025-08-08T19:54:54Z,False,263976.1485,,75.06,75.09,,L,2,1,57294033255581,,regular,
1600,CROX,74.93,5715543,2025-08-08T19:47:20Z,False,119888.00,,74.91,74.96,,L,100,100,56840883309174,,regular,
1500,CROX,75.3002,5563314,2025-08-08T19:39:27Z,False,112950.3000,,75.30,75.32,,L,420,100,56367836243424,,regular,
2000,CROX,75.28,5429722,2025-08-08T19:29:24Z,False,150560.00,,75.27,75.28,,L,66,211,55764776941297,,regular,
2000,CROX,75.3899,5188052,2025-08-08T19:10:01Z,False,150779.8000,,75.34,75.37,,L,19,200,54601337148274,,regular,
2257,CROX,75.15,5129942,2025-08-08T19:05:58Z,False,169613.55,,75.15,75.17,,L,105,217,54358598327216,,regular,
1972,CROX,75.18,5085605,2025-08-08T19:02:15Z,False,148254.96,,75.14,75.18,,L,309,354,54135455370040,,regular,
2000,CROX,75.129,5078818,2025-08-08T19:01:50Z,False,150258.000,,75.10,75.13,,L,603,122,54110273428602,,regular,
1497,CROX,75.055,5032344,2025-08-08T18:58:25Z,False,112357.335,,75.03,75.07,,L,89,600,53905374729186,,regular,
1900,CROX,75.0799,5030067,2025-08-08T18:58:07Z,False,142651.8100,,75.02,75.07,,L,2,410,53887419082087,,regular,
1494,CROX,74.81,4970060,2025-08-08T18:52:34Z,False,111766.14,,74.82,74.83,,L,200,242,53554215708948,,regular,
2000,CROX,74.4201,4849108,2025-08-08T18:40:13Z,False,148840.2000,,74.42,74.44,,L,600,200,52813178032571,,regular,
2100,CROX,74.25,4575611,2025-08-08T18:03:50Z,False,155925.00,,74.25,74.26,,L,403,904,50630398892506,,regular,
1637,CROX,74.0801,4561986,2025-08-08T18:02:16Z,False,121269.1237,,74.08,74.13,,L,350,17,50536569821148,,regular,
3000,CROX,74.1699,4555051,2025-08-08T18:01:55Z,False,222509.7000,,74.14,74.15,,L,50,610,50515672834083,,regular,
1400,CROX,74.0101,4476314,2025-08-08T17:54:17Z,False,103614.1400,,74.01,74.04,,L,254,342,50057876198102,,regular,
3000,CROX,74.049,4468825,2025-08-08T17:53:35Z,False,222147.000,,74.02,74.05,,L,400,200,50015572443973,,regular,
2187,CROX,74.1499,4358476,2025-08-08T17:40:40Z,False,162165.8313,,74.10,74.15,,L,478,545,49240322108854,,regular,
1771,CROX,74.59,4208615,2025-08-08T17:28:03Z,False,132098.89,,74.43,74.51,,L,100,281,48483810759456,intermarket_sweep,regular,
2000,CROX,74.4505,4198068,2025-08-08T17:28:02Z,False,148901.0000,,74.42,74.49,,2,400,155,48482237723286,,regular,
1387,CROX,74.41,4195071,2025-08-08T17:28:01Z,False,103206.67,,74.50,74.52,,L,1242,15,48481538752058,,regular,
2500,CROX,74.9203,4117390,2025-08-08T17:22:22Z,False,187300.7500,,74.93,74.98,,L,300,85,48142802974161,,regular,
2500,CROX,74.7897,4106760,2025-08-08T17:21:01Z,False,186974.2500,,74.78,74.85,,L,100,9,48061248098825,,regular,
1500,CROX,74.5792,4035807,2025-08-08T17:11:36Z,False,111868.8000,,74.50,74.58,,L,200,233,47496645197900,,regular,
1800,CROX,74.415,3971779,2025-08-08T17:05:04Z,False,133947.000,,74.39,74.44,,L,277,189,47104605465145,,regular,
1828,CROX,73.9599,3850154,2025-08-08T16:48:53Z,False,135198.6972,,73.95,73.96,,L,869,134,46133535824716,,regular,
1500,CROX,74.0507,3815310,2025-08-08T16:44:56Z,False,111076.0500,,74.04,74.06,,L,116,965,45896138942621,,regular,
2000,CROX,74.0399,3715663,2025-08-08T16:35:46Z,False,148079.8000,,74.01,74.04,,L,712,207,45346156521764,,regular,
1470,CROX,74.2551,3595426,2025-08-08T16:18:55Z,False,109154.9970,,74.25,74.28,,L,457,481,44335006463373,,regular,
2000,CROX,74.35,3566321,2025-08-08T16:16:13Z,False,148700.00,,74.32,74.35,,L,832,100,44173226465729,,regular,
2300,CROX,74.30,3546233,2025-08-08T16:14:32Z,False,170890.00,,74.26,74.34,,L,565,125,44072043458909,,regular,
2179,CROX,74.8296,3514283,2025-08-08T16:11:56Z,False,163053.6984,,74.78,74.84,,L,501,122,43916454149438,,regular,
2000,CROX,74.46,3460604,2025-08-08T16:06:13Z,False,148920.00,,74.43,74.48,,L,350,307,43573794251539,,regular,
7300,CROX,74.01,3363291,2025-08-08T16:00:07Z,False,540273.00,,74.01,74.02,,L,100,100,43207253478767,,regular,
2000,CROX,74.0763,3299737,2025-08-08T15:55:54Z,False,148152.6000,,74.06,74.08,,L,100,160,42954738612326,,regular,
2000,CROX,74.23,3225842,2025-08-08T15:50:27Z,False,148460.00,,74.22,74.24,,L,2,200,42627318443400,,regular,
1500,CROX,74.3899,3049447,2025-08-08T15:39:07Z,False,111584.8500,,74.33,74.39,,L,395,319,41947993357664,,regular,
1800,CROX,74.4675,3001983,2025-08-08T15:36:27Z,False,134041.5000,,74.44,74.49,,L,669,122,41787150535575,,regular,
4276,CROX,74.63,2848312,2025-08-08T15:23:42Z,False,319117.88,,74.62,74.66,,L,417,4,41022907056175,,regular,
4752,CROX,74.70,2802852,2025-08-08T15:21:06Z,False,354974.40,,74.64,74.70,,L,786,2,40866614751831,,regular,
2428,CROX,74.6605,2793146,2025-08-08T15:20:22Z,False,181275.6940,,74.65,74.70,,L,540,23,40822078851023,,regular,
3265,CROX,74.52,2660583,2025-08-08T15:11:10Z,False,243307.80,,74.52,74.57,,L,100,100,40270084987410,,regular,
1500,CROX,74.873,2579554,2025-08-08T15:05:47Z,False,112309.500,,74.85,74.90,,L,523,51,39947649685648,,regular,
1500,CROX,74.84,2505635,2025-08-08T15:01:07Z,False,112260.00,,74.77,74.81,,L,400,5,39667109554630,,regular,
1374,CROX,75,2452667,2025-08-08T14:56:58Z,False,103050,,74.98,75.01,,L,100,100,39418431038905,,regular,
1440,CROX,75.6601,2281468,2025-08-08T14:49:32Z,False,108950.5440,,75.66,75.71,,L,197,13,38972369486384,,regular,
2000,CROX,75.7409,2265590,2025-08-08T14:48:16Z,False,151481.8000,,75.70,75.78,,L,1015,713,38896917464989,,regular,
1500,CROX,75.874,2242925,2025-08-08T14:46:51Z,False,113811.000,,75.84,75.91,,L,485,20,38811296571047,,regular,
1450,CROX,76.0031,2142267,2025-08-08T14:39:34Z,False,110204.4950,,75.98,76.04,,L,423,252,38374442104554,,regular,
2500,CROX,76.0101,2091981,2025-08-08T14:37:00Z,False,190025.2500,,76.02,76.13,,L,34,10,38220745698442,,regular,
1608,CROX,76.20,2043520,2025-08-08T14:33:56Z,False,122529.60,,76.25,76.35,,L,101,217,38036059139959,,regular,
1500,CROX,76.3825,2022935,2025-08-08T14:32:43Z,False,114573.7500,,76.36,76.41,,L,201,104,37963525333423,,regular,
1500,CROX,76.5299,1826525,2025-08-08T14:19:21Z,False,114794.8500,,76.52,76.53,,L,528,492,37161904336160,,regular,
1400,CROX,76.76,1786442,2025-08-08T14:17:24Z,False,107464.00,,76.72,76.85,,L,31,300,37044732515203,,regular,
6500,CROX,76.72,1783869,2025-08-08T14:17:21Z,False,498680.00,,76.72,76.85,,L,31,200,37041440197740,,regular,
2500,CROX,77.055,1742187,2025-08-08T14:15:43Z,False,192637.500,,77,77.09,,L,57,106,36943302861752,,regular,
1500,CROX,77.3232,1725662,2025-08-08T14:15:09Z,False,115984.8000,,77.22,77.37,,L,544,138,36909491511746,,regular,
