size,ticker,price,volume,executed_at,canceled,premium,sale_cond_codes,nbbo_ask,nbbo_bid,ext_hour_sold_codes,market_center,nbbo_ask_quantity,nbbo_bid_quantity,tracking_id,trade_code,trade_settlement,trf_executed_at
1296,CROX,78.43,1637171,2025-11-06T21:00:22Z,False,101645.28,prior_reference_price,78.42,78.41,extended_hours_trade,L,503,396,0,,regular,
5000,CROX,78.43,1633259,2025-11-06T21:00:22Z,False,392150.00,prior_reference_price,78.42,78.41,extended_hours_trade,L,503,396,0,,regular,
1300,CROX,78.43,1627953,2025-11-06T21:00:04Z,False,101959.00,,78.42,78.41,extended_hours_trade,L,503,396,0,,regular,
2315,CROX,78.43,1626562,2025-11-06T21:00:04Z,False,181565.45,,78.42,78.41,extended_hours_trade,L,503,396,0,,regular,
11100,CROX,78.185,737520,2025-11-06T18:55:26Z,False,867853.500,,78.2,78.16,,L,21,280,0,,regular,
1400,CROX,78.185,726412,2025-11-06T18:55:12Z,False,109459.000,,78.2,78.16,,L,21,204,0,,regular,
1500,CROX,78.23,327596,2025-11-06T16:51:02Z,False,117345.00,,78.34,78.23,,L,23,146,0,,regular,
2421,CROX,78.37,285321,2025-11-06T16:32:20Z,False,189733.77,,78.43,78.37,,L,7,21,0,,regular,
1900,CROX,80,52459,2025-11-06T14:39:10Z,False,152000,,80.3,79.88,,L,855,1202,0,,regular,
1575,CROX,80.456,24430,2025-11-06T14:31:51Z,False,126718.200,,80.76,80.32,,L,4,7,0,,regular,
1400,CROX,80.48,21815,2025-11-06T14:31:11Z,False,112672.00,,80.2,79.82,,L,1,5,0,,regular,
