size,ticker,price,volume,executed_at,canceled,premium,sale_cond_codes,nbbo_bid,nbbo_ask,ext_hour_sold_codes,market_center,nbbo_ask_quantity,nbbo_bid_quantity,tracking_id,trade_code,trade_settlement,trf_executed_at
1984,CRSP,56.65,2180992,2025-08-12T23:42:49Z,False,112393.60,,56.43,56.90,extended_hours_trade,L,6,1,70969715889782,,regular,
74940,CRSP,56.60,2172113,2025-08-12T20:04:55Z,False,4241604.00,prior_reference_price,56.43,56.98,extended_hours_trade,L,20,1,57895003526524,,regular,
2672,CRSP,56.60,2096703,2025-08-12T20:01:51Z,False,151235.20,prior_reference_price,56.43,56.98,extended_hours_trade,L,20,1,57711543562282,,regular,
2951,CRSP,56.60,2093843,2025-08-12T20:00:46Z,False,167026.60,prior_reference_price,56.43,56.98,extended_hours_trade,L,20,1,57646745630137,,regular,
2167,CRSP,56.60,2090521,2025-08-12T20:00:40Z,False,122652.20,prior_reference_price,56.43,56.98,extended_hours_trade,L,20,1,57640134312421,,regular,
3923,CRSP,56.60,2086293,2025-08-12T20:00:08Z,False,222041.80,,56.43,56.98,extended_hours_trade,L,20,1,57608440488675,,regular,
1934,CRSP,56.8031,1667587,2025-08-12T19:48:54Z,False,109857.1954,,56.79,56.80,,L,18,60,56934050435488,,regular,
2791,CRSP,56.7899,1151788,2025-08-12T18:04:47Z,False,158500.6109,,56.67,56.79,,L,81,246,50687223091009,,regular,
2204,CRSP,56.515,1128848,2025-08-12T18:01:04Z,False,124559.060,,56.49,56.53,,L,126,100,50464031800510,,regular,
2204,CRSP,56.35,1106020,2025-08-12T17:54:28Z,False,124195.40,,56.30,56.39,,L,71,156,50068032613641,,regular,
2200,CRSP,56.425,1092498,2025-08-12T17:52:52Z,False,124135.000,,56.41,56.44,,L,2,555,49972349574549,,regular,
2500,CRSP,56.48,1088619,2025-08-12T17:52:42Z,False,141200.00,,56.45,56.48,,L,120,368,49962732660339,,regular,
2204,CRSP,56.44,1067953,2025-08-12T17:48:10Z,False,124393.76,,56.36,56.48,,L,10,100,49690535712602,,regular,
2204,CRSP,56.445,1054013,2025-08-12T17:44:49Z,False,124404.780,,56.41,56.47,,L,19,100,49489029671231,,regular,
7209,CRSP,56.489,1047199,2025-08-12T17:43:53Z,False,407229.201,,56.45,56.50,,L,219,237,49433243085113,,regular,
2204,CRSP,56.495,1033859,2025-08-12T17:43:21Z,False,124514.980,,56.47,56.52,,L,326,100,49401030449300,,regular,
2204,CRSP,56.335,970289,2025-08-12T17:25:59Z,False,124162.340,,56.32,56.36,,L,260,56,48359029983221,,regular,
2204,CRSP,56.42,940643,2025-08-12T17:17:16Z,False,124349.68,,56.39,56.44,,L,92,150,47836037982869,,regular,
2204,CRSP,56.205,926881,2025-08-12T17:15:08Z,False,123875.820,,56.17,56.23,,L,191,529,47708036536928,,regular,
2204,CRSP,56.395,887393,2025-08-12T17:04:05Z,False,124294.580,,56.35,56.43,,L,4,420,47045032274641,,regular,
