size,ticker,price,volume,executed_at,canceled,premium,sale_cond_codes,nbbo_ask,nbbo_bid,ext_hour_sold_codes,market_center,nbbo_ask_quantity,nbbo_bid_quantity,tracking_id,trade_code,trade_settlement,trf_executed_at
2618,CRSP,49.8,1148057,2026-06-12T20:00:45Z,False,130376.4,prior_reference_price,50.5,49.78,extended_hours_trade,L,600,46,37087114646024,,regular,2026-06-12T20:00:45Z
2100,CRSP,50.03,879735,2026-06-12T19:46:18Z,False,105063.00,,50.03,49.95,,L,169,10,37087113779232,,regular,2026-06-12T19:46:18Z
3000,CRSP,49.9,718224,2026-06-12T18:28:34Z,False,149700.0,,49.92,49.85,,L,1,40,37087109115793,,regular,2026-06-12T18:28:34Z
2196,CRSP,49.77,689465,2026-06-12T18:10:22Z,False,109294.92,,49.99,49.82,,L,163,10,37087108023740,,regular,2026-06-12T18:10:22Z
2000,CRSP,50.58,599682,2026-06-12T17:37:56Z,False,101160.00,,50.61,50.53,,L,5,170,37087106077641,,regular,2026-06-12T17:37:56Z
2000,CRSP,50.75,535276,2026-06-12T17:06:00Z,False,101500.00,,50.73,50.68,,L,550,161,37087104161932,,regular,2026-06-12T17:06:00Z
3719,CRSP,49.92,424361,2026-06-12T16:03:11Z,False,185652.48,,49.98,49.95,,L,31,1,37087100392956,,regular,2026-06-12T16:03:11Z
2000,CRSP,50.8099,153396,2026-06-12T14:11:09Z,False,101619.8000,,50.81,50.64,,L,141,1,37087093670003,,regular,2026-06-12T14:11:09Z
2000,CRSP,50.8873,130812,2026-06-12T14:08:23Z,False,101774.6000,,50.99,50.76,,L,128,60,37087093504558,,regular,2026-06-12T14:08:23Z
2000,CRSP,50.4,105374,2026-06-12T13:57:42Z,False,100800.0,,50.63,50.4,,L,200,150,37087092863740,,regular,2026-06-12T13:57:42Z
3042,CRSP,50.34,97136,2026-06-12T13:52:23Z,False,153134.28,,50.56,50.43,,L,16,34,37087092544051,,regular,2026-06-12T13:52:23Z
