size,ticker,price,volume,executed_at,canceled,premium,sale_cond_codes,nbbo_bid,nbbo_ask,ext_hour_sold_codes,market_center,nbbo_ask_quantity,nbbo_bid_quantity,tracking_id,trade_code,trade_settlement,trf_executed_at
20571,CRUS,101.91,444543,2025-01-15T22:04:13Z,False,2096390.61,prior_reference_price,99.51,103.89,extended_hours_trade,L,16,12,61453736919333,,,
2840,CRUS,101.91,423683,2025-01-15T21:01:25Z,False,289424.40,prior_reference_price,99.51,103.89,extended_hours_trade,L,16,12,57685846619101,,,
1048,CRUS,101.91,420027,2025-01-15T21:00:11Z,False,106801.68,prior_reference_price,99.51,105,extended_hours_trade,L,20,12,57611875208977,,,
2407,CRUS,101.91,418871,2025-01-15T21:00:11Z,False,245297.37,prior_reference_price,99.51,105,extended_hours_trade,L,20,12,57611833738852,,,
10155,CRUS,101.91,415743,2025-01-15T21:00:11Z,False,1034896.05,prior_reference_price,99.51,105,extended_hours_trade,L,20,12,57611751786367,,,
1000,CRUS,102.72,181879,2025-01-15T19:22:08Z,False,102720.00,,102.67,102.77,,L,114,167,51728556095185,,,
1000,CRUS,102.87,169260,2025-01-15T18:51:07Z,False,102870.00,,102.79,102.96,,L,317,26,49867761449930,,,
1000,CRUS,102.156,125471,2025-01-15T17:27:21Z,False,102156.000,,102.10,102.22,,L,321,12,44841583426682,,,
1250,CRUS,103.47,29963,2025-01-15T14:55:21Z,False,129337.50,,103.31,103.77,,L,52,20,35721444805511,,,
1197,CRUS,103.375,22458,2025-01-15T14:54:23Z,False,123739.875,,102.99,103.49,,L,10,11,35663363428378,,,
2203,CRUS,103.245,18172,2025-01-15T14:52:52Z,False,227448.735,,103.07,103.40,,L,5,20,35572795260317,,,
1000,CRUS,103.17,11556,2025-01-15T14:45:00Z,False,103170.00,,103.06,103.22,,L,49,60,35100038609198,,,
1250,CRUS,103.245,4399,2025-01-15T14:33:51Z,False,129056.250,,102.72,103.89,,L,36,22,34431235637928,,,
