size,ticker,price,volume,executed_at,canceled,premium,sale_cond_codes,nbbo_bid,nbbo_ask,ext_hour_sold_codes,market_center,nbbo_ask_quantity,nbbo_bid_quantity,tracking_id,trade_code,trade_settlement,trf_executed_at
300,CRWD,365.15,15944446,2025-03-05T23:44:53Z,False,109545.00,,365,365.84,extended_hours_trade,L,125,5,67493066754853,,,
500,CRWD,365.3737,15943734,2025-03-05T23:43:20Z,False,182686.8500,,365,365.84,extended_hours_trade,L,125,55,67400487882301,,,
500,CRWD,365.10,15943234,2025-03-05T23:43:09Z,False,182550.00,,365,365.84,extended_hours_trade,L,125,55,67389048225382,,,
467,CRWD,365,15942514,2025-03-05T23:41:42Z,False,170455,,364.96,365.84,extended_hours_trade,L,125,40,67302961023280,,,
600,CRWD,365.40,15938306,2025-03-05T23:26:47Z,False,219240.00,,365.33,365.63,extended_hours_trade,L,5,35,66407215346909,,,
490,CRWD,365.44,15931246,2025-03-05T22:55:28Z,False,179065.60,,365.20,365.44,extended_hours_trade,L,3,4,64528825940062,,,
500,CRWD,365.1899,15930583,2025-03-05T22:54:59Z,False,182594.9500,,364.52,365.40,extended_hours_trade,L,10,50,64499056841784,,,
400,CRWD,364.132,15929720,2025-03-05T22:51:34Z,False,145652.800,,364.50,364.60,extended_hours_trade,L,6,3,64294499607212,,,
408,CRWD,364.51,15928426,2025-03-05T22:36:40Z,False,148720.08,,364.52,365.01,extended_hours_trade,L,1,90,63400705803200,,,
694,CRWD,364.60,15927690,2025-03-05T22:33:05Z,False,253032.40,,364.50,365.44,extended_hours_trade,L,3,3,63185699392753,,,
366,CRWD,364.90,15924425,2025-03-05T22:14:17Z,False,133553.40,,364.60,364.78,extended_hours_trade,L,1,25,62057754168668,,,
547,CRWD,364.9847,15923584,2025-03-05T22:10:11Z,False,199646.6309,,364.60,364.77,extended_hours_trade,L,30,25,61811279117462,,,
505,CRWD,364.75,15921018,2025-03-05T22:03:51Z,False,184198.75,,364,364.90,extended_hours_trade,L,60,10,61431654991469,,,
32280,CRWD,365.44,15919715,2025-03-05T21:53:55Z,False,11796403.20,prior_reference_price,364.30,364.85,extended_hours_trade,L,3,10,60835158974709,,,
5908,CRWD,365.44,15887434,2025-03-05T21:53:49Z,False,2159019.52,prior_reference_price,364.30,364.85,extended_hours_trade,L,3,10,60829720292373,,,
400,CRWD,364.9763,15878912,2025-03-05T21:24:49Z,False,145990.5200,,364.52,364.99,extended_hours_trade,L,7,20,59089412488549,,,
8410,CRWD,365.44,15877599,2025-03-05T21:20:00Z,False,3073350.40,prior_reference_price,364.80,365,extended_hours_trade,L,30,8,58800261368560,,,
310,CRWD,365.44,15866633,2025-03-05T21:11:43Z,False,113286.40,,365.05,365.96,extended_hours_trade,L,1500,50,58303490019913,,seller,
300,CRWD,357.2362,15866120,2025-03-05T21:10:58Z,False,107170.8600,average_price_trade,365.05,365.96,extended_hours_trade,L,1500,50,58258818614381,,,
500,CRWD,365.49,15864926,2025-03-05T21:10:19Z,False,182745.00,,364.55,365.87,extended_hours_trade,L,100,50,58219809232102,,,
300,CRWD,365.34,15862381,2025-03-05T21:08:44Z,False,109602.00,,364.50,365.87,extended_hours_trade,L,100,11,58124505137329,,,
349,CRWD,364.50,15862058,2025-03-05T21:08:39Z,False,127210.50,,364.50,365.30,extended_hours_trade,L,1,1,58119937024386,,,
300,CRWD,364.91,15861217,2025-03-05T21:08:03Z,False,109473.00,,364.50,365.30,extended_hours_trade,L,1,1,58083205259256,,,
9050,CRWD,365.44,15860848,2025-03-05T21:07:45Z,False,3307232.00,,364.50,365.30,extended_hours_trade,L,1,1,58065500154478,,,
67329,CRWD,365.44,15851604,2025-03-05T21:06:56Z,False,24604709.76,prior_reference_price,364,365.30,extended_hours_trade,L,1,10,58016143939245,,,
1000,CRWD,365,15783666,2025-03-05T21:05:17Z,False,365000,,364,365,extended_hours_trade,L,20,10,57917813225676,,,
