size,ticker,price,volume,executed_at,canceled,premium,sale_cond_codes,nbbo_ask,nbbo_bid,ext_hour_sold_codes,market_center,nbbo_ask_quantity,nbbo_bid_quantity,tracking_id,trade_code,trade_settlement,trf_executed_at
1000,CRWD,186.75,6472813,2026-07-13T23:04:15Z,False,186750.00,,186.89,186.25,extended_hours_trade,L,2,25,40132257468947,,regular,2026-07-13T23:04:15Z
680,CRWD,186.75,6471746,2026-07-13T23:03:41Z,False,126990.00,,186.89,186.6,extended_hours_trade,L,2,61,40132257435073,,regular,2026-07-13T23:03:41Z
282841,CRWD,187.91,6467426,2026-07-13T21:22:55Z,False,53148652.31,prior_reference_price,187.65,187.2,extended_hours_trade,L,2,561,40132251388989,,regular,2026-07-13T21:22:55Z
13559,CRWD,187.91,6184429,2026-07-13T21:19:33Z,False,2547871.69,prior_reference_price,187.65,187.2,extended_hours_trade,L,2,676,40132251187686,,regular,2026-07-13T21:19:33Z
1626,CRWD,187.91,6166109,2026-07-13T20:22:24Z,False,305541.66,,188.07,187.5,extended_hours_trade,L,300,25,40132247758104,,regular,2026-07-13T20:22:22Z
961,CRWD,187.91,6164082,2026-07-13T20:18:26Z,False,180581.51,prior_reference_price,188,187.5,extended_hours_trade,L,10,25,40132247520425,,regular,2026-07-13T20:18:25Z
3500,CRWD,187.91,6162173,2026-07-13T20:12:02Z,False,657685.00,,188,187.82,extended_hours_trade,L,8,6,40132247136371,,regular,2026-07-13T20:12:02Z
6288,CRWD,187.91,6158372,2026-07-13T20:05:45Z,False,1181578.08,prior_reference_price,187.91,187.5,extended_hours_trade,L,8,25,40132246758999,,regular,2026-07-13T20:05:45Z
569,CRWD,187.91,6152082,2026-07-13T20:05:18Z,False,106920.79,prior_reference_price,187.91,187.5,extended_hours_trade,L,8,25,40132246731880,,regular,2026-07-13T20:05:17Z
551,CRWD,187.91,6151242,2026-07-13T20:02:52Z,False,103538.41,prior_reference_price,187.91,187.75,extended_hours_trade,L,8,25,40132246586519,,regular,2026-07-13T20:02:52Z
544,CRWD,187.91,6150362,2026-07-13T20:00:45Z,False,102223.04,prior_reference_price,188.5,187.94,extended_hours_trade,L,25,1,40132246459750,,regular,2026-07-13T20:00:45Z
544,CRWD,187.91,6149818,2026-07-13T20:00:45Z,False,102223.04,prior_reference_price,188.5,187.94,extended_hours_trade,L,25,1,40132246459458,,regular,2026-07-13T20:00:45Z
560,CRWD,187.91,6149274,2026-07-13T20:00:45Z,False,105229.60,prior_reference_price,188.5,187.94,extended_hours_trade,L,25,1,40132246459320,,regular,2026-07-13T20:00:45Z
612,CRWD,187.91,6148714,2026-07-13T20:00:45Z,False,115000.92,prior_reference_price,188.5,187.94,extended_hours_trade,L,25,1,40132246459135,,regular,2026-07-13T20:00:45Z
837,CRWD,187.91,6148102,2026-07-13T20:00:44Z,False,157280.67,prior_reference_price,188.5,187.94,extended_hours_trade,L,25,1,40132246458659,,regular,2026-07-13T20:00:44Z
