size,ticker,price,volume,executed_at,canceled,premium,sale_cond_codes,nbbo_bid,nbbo_ask,ext_hour_sold_codes,market_center,nbbo_ask_quantity,nbbo_bid_quantity,tracking_id,trade_code,trade_settlement,trf_executed_at
1000,CSCO,120.47,42171443,2026-05-29T22:28:05Z,False,120470.00,,120.35,120.53,extended_hours_trade,L,26,49,28544433534509,,regular,2026-05-29T22:28:05Z
2664,CSCO,120.42,42169446,2026-05-29T22:17:56Z,False,320798.88,prior_reference_price,120.42,120.53,extended_hours_trade,L,26,5,28544432925282,,regular,2026-05-29T22:17:55Z
4181,CSCO,120.42,42159637,2026-05-29T21:30:56Z,False,503476.02,prior_reference_price,120.27,120.6,extended_hours_trade,L,3,100,28544430105571,,regular,2026-05-29T21:30:53Z
29571,CSCO,120.42,42130583,2026-05-29T21:09:34Z,False,3560939.82,prior_reference_price,120.67,121,extended_hours_trade,L,1,59,28544428823303,,regular,2026-05-29T21:09:33Z
4829,CSCO,120.42,42097973,2026-05-29T21:01:51Z,False,581508.18,prior_reference_price,120.76,121,extended_hours_trade,L,1,3,28544428360247,,regular,2026-05-29T21:01:51Z
429840,CSCO,120.42,42092857,2026-05-29T20:58:02Z,False,51761332.80,average_price_trade,120.67,121,extended_hours_trade,L,1,59,28544428131219,,regular,2026-05-29T20:58:01Z
61768,CSCO,120.42,41661265,2026-05-29T20:46:04Z,False,7438102.56,average_price_trade,120.67,121,extended_hours_trade,L,1,871,28544427413886,,regular,2026-05-29T20:46:04Z
7135,CSCO,120.4159,41597130,2026-05-29T20:32:37Z,False,859167.4465,average_price_trade,120.67,121,extended_hours_trade,L,1,59,28544426607197,,regular,2026-05-29T20:32:37Z
31070,CSCO,120.4243,41587511,2026-05-29T20:22:47Z,False,3741583.0010,average_price_trade,120.8,120.87,extended_hours_trade,L,26,20,28544426016911,,regular,2026-05-29T20:22:47Z
16094,CSCO,120.42,41555279,2026-05-29T20:20:00Z,False,1938039.48,prior_reference_price,120.75,120.87,extended_hours_trade,L,26,21,28544425849880,,regular,2026-05-29T20:20:00Z
99862,CSCO,120.4308,41536999,2026-05-29T20:17:59Z,False,12026460.5496,prior_reference_price,120.75,121.64,extended_hours_trade,L,10,26,28544425728502,,regular,2026-05-29T20:17:58Z
8410,CSCO,120.42,41436391,2026-05-29T20:17:51Z,False,1012732.20,prior_reference_price,120.75,121.64,extended_hours_trade,L,10,26,28544425720919,,regular,2026-05-29T20:17:51Z
1290,CSCO,120.42,41427981,2026-05-29T20:17:51Z,False,155341.80,prior_reference_price,120.75,121.64,extended_hours_trade,L,10,26,28544425720873,,regular,2026-05-29T20:17:51Z
2529,CSCO,120.42,41426691,2026-05-29T20:17:51Z,False,304542.18,prior_reference_price,120.75,121.64,extended_hours_trade,L,10,26,28544425720825,,regular,2026-05-29T20:17:51Z
5056,CSCO,120.42,41424162,2026-05-29T20:17:51Z,False,608843.52,prior_reference_price,120.75,121.64,extended_hours_trade,L,10,26,28544425720654,,regular,2026-05-29T20:17:51Z
41865,CSCO,120.4234,41419106,2026-05-29T20:17:51Z,False,5041525.6410,average_price_trade,120.75,121.64,extended_hours_trade,L,10,26,28544425720608,,regular,2026-05-29T20:17:51Z
14141,CSCO,120.42,41377241,2026-05-29T20:17:51Z,False,1702859.22,prior_reference_price,120.75,121.64,extended_hours_trade,L,10,26,28544425720524,,regular,2026-05-29T20:17:51Z
1408,CSCO,120.42,41362862,2026-05-29T20:17:51Z,False,169551.36,prior_reference_price,120.75,121.64,extended_hours_trade,L,10,26,28544425720270,,regular,2026-05-29T20:17:51Z
25409,CSCO,120.42,41361454,2026-05-29T20:17:50Z,False,3059751.78,prior_reference_price,120.75,121.64,extended_hours_trade,L,10,26,28544425720157,,regular,2026-05-29T20:17:50Z
1331,CSCO,120.4314,41336045,2026-05-29T20:17:50Z,False,160294.1934,average_price_trade,120.75,121.64,extended_hours_trade,L,10,26,28544425720014,,regular,2026-05-29T20:17:50Z
4701,CSCO,120.42,41334714,2026-05-29T20:17:50Z,False,566094.42,prior_reference_price,120.75,121.64,extended_hours_trade,L,10,26,28544425719870,,regular,2026-05-29T20:17:50Z
5688,CSCO,120.42,41330013,2026-05-29T20:17:50Z,False,684948.96,prior_reference_price,120.75,121.64,extended_hours_trade,L,10,26,28544425719633,,regular,2026-05-29T20:17:50Z
3020,CSCO,120.42,41324204,2026-05-29T20:17:50Z,False,363668.40,prior_reference_price,120.75,121.64,extended_hours_trade,L,10,26,28544425719463,,regular,2026-05-29T20:17:50Z
9078,CSCO,120.42,41321184,2026-05-29T20:17:49Z,False,1093172.76,prior_reference_price,120.75,121.64,extended_hours_trade,L,10,26,28544425719141,,regular,2026-05-29T20:17:49Z
