size,ticker,price,volume,executed_at,canceled,premium,sale_cond_codes,nbbo_ask,nbbo_bid,ext_hour_sold_codes,market_center,nbbo_ask_quantity,nbbo_bid_quantity,tracking_id,trade_code,trade_settlement,trf_executed_at
698174,CSCO,113.98,22914848,2026-07-06T22:03:49Z,False,79577872.52,average_price_trade,113.98,113.8,extended_hours_trade,L,315,1,28544432078944,,regular,2026-07-06T22:03:49Z
73597,CSCO,113.98,22216599,2026-07-06T21:51:13Z,False,8388586.06,prior_reference_price,113.98,113.8,extended_hours_trade,L,315,1,28544431322464,,regular,2026-07-06T21:51:13Z
796400,CSCO,113.98,22142968,2026-07-06T21:48:25Z,False,90773672.00,prior_reference_price,113.98,113.8,extended_hours_trade,L,315,1,28544431154690,,regular,2026-07-06T21:48:25Z
2210,CSCO,113.98,21346446,2026-07-06T21:25:57Z,False,251895.80,prior_reference_price,113.98,113.45,extended_hours_trade,L,315,40,28544429806496,,regular,2026-07-06T21:25:56Z
53245,CSCO,113.98,21344021,2026-07-06T21:17:51Z,False,6068865.10,prior_reference_price,113.98,113.59,extended_hours_trade,L,315,40,28544429320915,,regular,2026-07-06T21:17:51Z
47336,CSCO,113.988,21289004,2026-07-06T20:22:35Z,False,5395735.968,,114.33,113.73,extended_hours_trade,L,60,40,28544426004958,,regular,2026-07-06T20:22:34Z
1052,CSCO,113.98,21240916,2026-07-06T20:09:33Z,False,119906.96,average_price_trade,114.29,113.45,extended_hours_trade,L,40,40,28544425222356,,regular,2026-07-06T20:09:31Z
484448,CSCO,113.98,21239764,2026-07-06T20:08:27Z,False,55217383.04,,114.35,113.71,extended_hours_trade,L,80,40,28544425156374,,regular,2026-07-06T20:08:27Z
872169,CSCO,113.98,20754612,2026-07-06T20:07:57Z,False,99409822.62,prior_reference_price,114.45,113.61,extended_hours_trade,L,40,40,28544425127205,,regular,2026-07-06T20:07:57Z
11901,CSCO,113.98,19882335,2026-07-06T20:06:48Z,False,1356475.98,prior_reference_price,114.47,113.55,extended_hours_trade,L,40,40,28544425058127,,regular,2026-07-06T20:06:48Z
12415,CSCO,113.98,19870434,2026-07-06T20:06:43Z,False,1415061.70,prior_reference_price,114.47,113.55,extended_hours_trade,L,40,40,28544425053012,,regular,2026-07-06T20:06:43Z
1601,CSCO,113.98,19858019,2026-07-06T20:06:15Z,False,182481.98,average_price_trade,114.47,113.55,extended_hours_trade,L,40,40,28544425024302,,regular,2026-07-06T20:06:15Z
3994,CSCO,113.98,19856418,2026-07-06T20:06:04Z,False,455236.12,average_price_trade,114.47,113.55,extended_hours_trade,L,40,40,28544425013226,,regular,2026-07-06T20:06:03Z
1972,CSCO,113.98,19851512,2026-07-06T20:05:49Z,False,224768.56,average_price_trade,114.47,113.55,extended_hours_trade,L,40,40,28544424998474,,regular,2026-07-06T20:05:47Z
912,CSCO,113.98,19852424,2026-07-06T20:05:49Z,False,103949.76,average_price_trade,114.47,113.55,extended_hours_trade,L,40,40,28544424998474,,regular,2026-07-06T20:05:47Z
5429,CSCO,113.98,19849372,2026-07-06T20:05:49Z,False,618797.42,average_price_trade,114.47,113.55,extended_hours_trade,L,40,40,28544424998471,,regular,2026-07-06T20:05:47Z
2381,CSCO,113.98,19843743,2026-07-06T20:05:47Z,False,271386.38,average_price_trade,114.47,113.55,extended_hours_trade,L,40,40,28544424996580,,regular,2026-07-06T20:05:47Z
2000,CSCO,114,19838210,2026-07-06T20:01:32Z,False,228000,,114.55,113.75,extended_hours_trade,L,40,40,28544424741756,,regular,2026-07-06T20:01:32Z
930,CSCO,113.98,19833426,2026-07-06T20:00:40Z,False,106001.40,prior_reference_price,114.57,113.69,extended_hours_trade,L,40,1,28544424689800,,regular,2026-07-06T20:00:40Z
1538,CSCO,113.98,19832496,2026-07-06T20:00:40Z,False,175301.24,prior_reference_price,114.57,113.69,extended_hours_trade,L,40,1,28544424689783,,regular,2026-07-06T20:00:40Z
1650,CSCO,113.98,19830958,2026-07-06T20:00:40Z,False,188067.00,prior_reference_price,114.57,113.69,extended_hours_trade,L,40,1,28544424689602,,regular,2026-07-06T20:00:40Z
1679,CSCO,113.98,19829308,2026-07-06T20:00:40Z,False,191372.42,prior_reference_price,114.57,113.69,extended_hours_trade,L,40,1,28544424689421,,regular,2026-07-06T20:00:40Z
1719,CSCO,113.98,19827629,2026-07-06T20:00:40Z,False,195931.62,prior_reference_price,114.57,113.69,extended_hours_trade,L,40,1,28544424689366,,regular,2026-07-06T20:00:40Z
1852,CSCO,113.98,19825910,2026-07-06T20:00:40Z,False,211090.96,prior_reference_price,114.57,113.69,extended_hours_trade,L,40,1,28544424689345,,regular,2026-07-06T20:00:40Z
1995,CSCO,113.98,19824058,2026-07-06T20:00:39Z,False,227390.10,prior_reference_price,114.57,113.69,extended_hours_trade,L,40,1,28544424689192,,regular,2026-07-06T20:00:39Z
1996,CSCO,113.98,19822063,2026-07-06T20:00:39Z,False,227504.08,prior_reference_price,114.57,113.69,extended_hours_trade,L,40,1,28544424688992,,regular,2026-07-06T20:00:39Z
2344,CSCO,113.98,19820067,2026-07-06T20:00:39Z,False,267169.12,prior_reference_price,114.57,113.69,extended_hours_trade,L,40,1,28544424688939,,regular,2026-07-06T20:00:39Z
2344,CSCO,113.98,19817723,2026-07-06T20:00:39Z,False,267169.12,prior_reference_price,114.57,113.69,extended_hours_trade,L,40,1,28544424688931,,regular,2026-07-06T20:00:39Z
2506,CSCO,113.98,19815379,2026-07-06T20:00:39Z,False,285633.88,prior_reference_price,114.57,113.69,extended_hours_trade,L,40,1,28544424688713,,regular,2026-07-06T20:00:39Z
2777,CSCO,113.98,19812873,2026-07-06T20:00:39Z,False,316522.46,prior_reference_price,114.57,113.69,extended_hours_trade,L,40,1,28544424688648,,regular,2026-07-06T20:00:39Z
2877,CSCO,113.98,19810056,2026-07-06T20:00:39Z,False,327920.46,prior_reference_price,114.57,113.69,extended_hours_trade,L,40,1,28544424688274,,regular,2026-07-06T20:00:39Z
3192,CSCO,113.98,19807179,2026-07-06T20:00:39Z,False,363824.16,prior_reference_price,114.57,113.69,extended_hours_trade,L,40,1,28544424688259,,regular,2026-07-06T20:00:39Z
3526,CSCO,113.98,19803987,2026-07-06T20:00:38Z,False,401893.48,prior_reference_price,114.57,113.69,extended_hours_trade,L,40,1,28544424688183,,regular,2026-07-06T20:00:38Z
5037,CSCO,113.98,19800461,2026-07-06T20:00:38Z,False,574117.26,prior_reference_price,114.57,113.69,extended_hours_trade,L,40,1,28544424688128,,regular,2026-07-06T20:00:38Z
5119,CSCO,113.98,19795424,2026-07-06T20:00:38Z,False,583463.62,prior_reference_price,114.57,113.69,extended_hours_trade,L,40,1,28544424687763,,regular,2026-07-06T20:00:38Z
5376,CSCO,113.98,19790305,2026-07-06T20:00:38Z,False,612756.48,prior_reference_price,114.57,113.69,extended_hours_trade,L,40,1,28544424687700,,regular,2026-07-06T20:00:38Z
5704,CSCO,113.98,19784929,2026-07-06T20:00:37Z,False,650141.92,prior_reference_price,114.79,113.69,extended_hours_trade,L,200,1,28544424687171,,regular,2026-07-06T20:00:37Z
6043,CSCO,113.98,19779225,2026-07-06T20:00:37Z,False,688781.14,prior_reference_price,114.57,113.69,extended_hours_trade,L,40,1,28544424686835,,regular,2026-07-06T20:00:37Z
6247,CSCO,113.98,19773182,2026-07-06T20:00:37Z,False,712033.06,prior_reference_price,114.79,113.69,extended_hours_trade,L,200,1,28544424686743,,regular,2026-07-06T20:00:37Z
10187,CSCO,113.98,19766935,2026-07-06T20:00:36Z,False,1161114.26,prior_reference_price,114.51,113.69,extended_hours_trade,L,40,1,28544424686014,,regular,2026-07-06T20:00:36Z
13447,CSCO,113.98,19756748,2026-07-06T20:00:36Z,False,1532689.06,prior_reference_price,114.57,113.69,extended_hours_trade,L,40,1,28544424685587,,regular,2026-07-06T20:00:36Z
16085,CSCO,113.98,19743301,2026-07-06T20:00:36Z,False,1833368.30,prior_reference_price,114.59,113.69,extended_hours_trade,L,40,41,28544424685321,,regular,2026-07-06T20:00:36Z
16471,CSCO,113.98,19727216,2026-07-06T20:00:34Z,False,1877364.58,prior_reference_price,114.59,113.69,extended_hours_trade,L,40,41,28544424684150,,regular,2026-07-06T20:00:34Z
18383,CSCO,113.98,19710745,2026-07-06T20:00:33Z,False,2095294.34,prior_reference_price,114.59,113.69,extended_hours_trade,L,40,41,28544424683165,,regular,2026-07-06T20:00:33Z
18726,CSCO,113.98,19692362,2026-07-06T20:00:32Z,False,2134389.48,prior_reference_price,114.59,113.69,extended_hours_trade,L,40,41,28544424681548,,regular,2026-07-06T20:00:32Z
1320,CSCO,113.98,19671273,2026-07-06T20:00:24Z,False,150453.60,prior_reference_price,114.61,113.69,extended_hours_trade,L,40,41,28544424673624,,regular,2026-07-06T20:00:24Z
1229,CSCO,113.98,19666170,2026-07-06T20:00:24Z,False,140081.42,prior_reference_price,114.61,113.69,extended_hours_trade,L,40,41,28544424673623,,regular,2026-07-06T20:00:24Z
3783,CSCO,113.98,19669953,2026-07-06T20:00:24Z,False,431186.34,prior_reference_price,114.61,113.69,extended_hours_trade,L,40,41,28544424673623,,regular,2026-07-06T20:00:24Z
5618,CSCO,113.98,19664808,2026-07-06T20:00:24Z,False,640339.64,prior_reference_price,114.61,113.69,extended_hours_trade,L,40,41,28544424673622,,regular,2026-07-06T20:00:24Z
1679,CSCO,113.98,19659190,2026-07-06T20:00:24Z,False,191372.42,prior_reference_price,114.61,113.69,extended_hours_trade,L,40,41,28544424673432,,regular,2026-07-06T20:00:24Z
19440,CSCO,113.98,19655078,2026-07-06T20:00:22Z,False,2215771.20,prior_reference_price,114.61,113.69,extended_hours_trade,L,40,41,28544424671361,,regular,2026-07-06T20:00:22Z
45000,CSCO,113.98,19635422,2026-07-06T20:00:12Z,False,5129100.00,prior_reference_price,114.49,113.51,extended_hours_trade,L,40,1,28544424662024,,regular,2026-07-06T20:00:12Z
8363,CSCO,113.98,19589010,2026-07-06T20:00:11Z,False,953214.74,prior_reference_price,114.49,113.51,extended_hours_trade,L,40,41,28544424660527,,regular,2026-07-06T20:00:11Z
24009,CSCO,113.98,19579579,2026-07-06T20:00:11Z,False,2736545.82,prior_reference_price,114.49,113.51,extended_hours_trade,L,40,41,28544424660514,,regular,2026-07-06T20:00:11Z
1701,CSCO,113.98,19555570,2026-07-06T20:00:11Z,False,193879.98,prior_reference_price,114.49,113.51,extended_hours_trade,L,40,41,28544424660503,,regular,2026-07-06T20:00:11Z
1540,CSCO,113.98,19553869,2026-07-06T20:00:11Z,False,175529.20,prior_reference_price,114.49,113.51,extended_hours_trade,L,40,41,28544424660489,,regular,2026-07-06T20:00:11Z
15317,CSCO,113.98,19546462,2026-07-06T20:00:11Z,False,1745831.66,prior_reference_price,114.49,113.51,extended_hours_trade,L,40,41,28544424660486,,regular,2026-07-06T20:00:11Z
5867,CSCO,113.98,19552329,2026-07-06T20:00:11Z,False,668720.66,prior_reference_price,114.49,113.51,extended_hours_trade,L,40,41,28544424660486,,regular,2026-07-06T20:00:11Z
1351,CSCO,113.98,19531145,2026-07-06T20:00:11Z,False,153986.98,prior_reference_price,114.49,113.51,extended_hours_trade,L,40,41,28544424660482,,regular,2026-07-06T20:00:11Z
109364,CSCO,113.98,19529794,2026-07-06T20:00:11Z,False,12465308.72,prior_reference_price,114.49,113.51,extended_hours_trade,L,40,41,28544424660480,,regular,2026-07-06T20:00:11Z
6409,CSCO,113.98,19414930,2026-07-06T20:00:11Z,False,730497.82,prior_reference_price,114.49,113.51,extended_hours_trade,L,40,41,28544424660477,,regular,2026-07-06T20:00:11Z
5500,CSCO,113.98,19420430,2026-07-06T20:00:11Z,False,626890.00,prior_reference_price,114.49,113.51,extended_hours_trade,L,40,41,28544424660477,,regular,2026-07-06T20:00:11Z
2276,CSCO,113.98,19408521,2026-07-06T20:00:11Z,False,259418.48,prior_reference_price,114.49,113.51,extended_hours_trade,L,40,41,28544424660446,,regular,2026-07-06T20:00:11Z
1730,CSCO,113.98,19404267,2026-07-06T20:00:01Z,False,197185.40,,114.06,113.69,extended_hours_trade,L,438,774,28544424650787,,regular,2026-07-06T20:00:00Z
1800,CSCO,113.98,19401595,2026-07-06T20:00:01Z,False,205164.00,,114.06,113.69,extended_hours_trade,L,438,774,28544424650786,,regular,2026-07-06T20:00:00Z
898,CSCO,113.98,19402493,2026-07-06T20:00:01Z,False,102354.04,,114.06,113.69,extended_hours_trade,L,438,774,28544424650786,,regular,2026-07-06T20:00:00Z
4637,CSCO,113.98,19399795,2026-07-06T20:00:01Z,False,528525.26,,114.06,113.69,extended_hours_trade,L,438,774,28544424650766,,regular,2026-07-06T20:00:00Z
13605,CSCO,113.98,19393355,2026-07-06T20:00:01Z,False,1550697.90,,114.06,113.69,extended_hours_trade,L,438,774,28544424650657,,regular,2026-07-06T20:00:00Z
1427,CSCO,113.98,19377991,2026-07-06T20:00:01Z,False,162649.46,,114.06,113.69,extended_hours_trade,L,438,774,28544424650586,,regular,2026-07-06T20:00:00Z
1528,CSCO,113.98,19375848,2026-07-06T20:00:01Z,False,174161.44,,114.06,113.69,extended_hours_trade,L,438,774,28544424650534,,regular,2026-07-06T20:00:00Z
885,CSCO,113.98,19373775,2026-07-06T20:00:01Z,False,100872.30,,114.06,113.69,extended_hours_trade,L,438,774,28544424650527,,regular,2026-07-06T20:00:00Z
1188,CSCO,113.98,19369746,2026-07-06T20:00:01Z,False,135408.24,,114.06,113.69,extended_hours_trade,L,438,774,28544424650523,,regular,2026-07-06T20:00:00Z
2190,CSCO,113.98,19371936,2026-07-06T20:00:01Z,False,249616.20,,114.06,113.69,extended_hours_trade,L,438,774,28544424650523,,regular,2026-07-06T20:00:00Z
1200,CSCO,113.98,19368558,2026-07-06T20:00:01Z,False,136776.00,,114.06,113.69,extended_hours_trade,L,438,774,28544424650522,,regular,2026-07-06T20:00:00Z
4311,CSCO,113.98,19367203,2026-07-06T20:00:01Z,False,491367.78,,114.06,113.69,extended_hours_trade,L,438,774,28544424650471,,regular,2026-07-06T20:00:00Z
3188,CSCO,113.98,19362892,2026-07-06T20:00:01Z,False,363368.24,,114.06,113.69,extended_hours_trade,L,438,774,28544424650469,,regular,2026-07-06T20:00:00Z
3375,CSCO,113.98,19359704,2026-07-06T20:00:01Z,False,384682.50,,114.06,113.69,extended_hours_trade,L,438,774,28544424650467,,regular,2026-07-06T20:00:00Z
2218,CSCO,113.98,19356329,2026-07-06T20:00:01Z,False,252807.64,,114.06,113.69,extended_hours_trade,L,438,774,28544424650465,,regular,2026-07-06T20:00:00Z
9153,CSCO,113.98,12029150,2026-07-06T20:00:01Z,False,1043258.94,,114.06,113.69,extended_hours_trade,L,438,774,28544424650379,,regular,2026-07-06T20:00:01Z
3400,CSCO,113.98,12018148,2026-07-06T20:00:01Z,False,387532.00,,114.06,113.69,extended_hours_trade,L,438,774,28544424650330,,regular,2026-07-06T20:00:00Z
1400,CSCO,113.98,12019548,2026-07-06T20:00:01Z,False,159572.00,,114.06,113.69,extended_hours_trade,L,438,774,28544424650330,,regular,2026-07-06T20:00:00Z
