size,ticker,price,volume,executed_at,canceled,premium,sale_cond_codes,nbbo_bid,nbbo_ask,ext_hour_sold_codes,market_center,nbbo_ask_quantity,nbbo_bid_quantity,tracking_id,trade_code,trade_settlement,trf_executed_at
3038,CSGP,44.25,4298227,2026-03-17T20:03:08Z,False,134431.50,prior_reference_price,43.65,44.99,extended_hours_trade,L,111,290,30769217896561,,regular,2026-03-17T20:03:08Z
11115,CSGP,44.25,4291945,2026-03-17T20:02:45Z,False,491838.75,prior_reference_price,43.65,45.11,extended_hours_trade,L,44,290,30769217873559,,regular,2026-03-17T20:02:45Z
3831,CSGP,44.25,4280830,2026-03-17T20:02:39Z,False,169521.75,prior_reference_price,43.65,45.11,extended_hours_trade,L,44,290,30769217867866,,regular,2026-03-17T20:02:39Z
45000,CSGP,44.25,4276999,2026-03-17T20:02:28Z,False,1991250.00,prior_reference_price,43.65,45.11,extended_hours_trade,L,44,290,30769217856887,,regular,2026-03-17T20:02:28Z
8975,CSGP,44.25,4224745,2026-03-17T20:00:31Z,False,397143.75,prior_reference_price,43.65,45.28,extended_hours_trade,L,1,290,30769217740456,,regular,2026-03-17T20:00:31Z
3333,CSGP,44.25,4214354,2026-03-17T20:00:28Z,False,147485.25,prior_reference_price,43.65,45.28,extended_hours_trade,L,1,290,30769217736968,,regular,2026-03-17T20:00:28Z
2960,CSGP,44.25,4210680,2026-03-17T20:00:20Z,False,130980.00,prior_reference_price,44.23,45.28,extended_hours_trade,L,1,105,30769217728935,,regular,2026-03-17T20:00:20Z
6458,CSGP,44.25,4207720,2026-03-17T20:00:20Z,False,285766.50,prior_reference_price,44.23,45.28,extended_hours_trade,L,1,105,30769217728926,,regular,2026-03-17T20:00:20Z
114877,CSGP,44.25,4199113,2026-03-17T20:00:06Z,False,5083307.25,,44.25,44.31,extended_hours_trade,L,1128,3,30769217714839,,regular,2026-03-17T20:00:06Z
4775,CSGP,44.25,4084236,2026-03-17T20:00:06Z,False,211293.75,,44.25,44.31,extended_hours_trade,L,1128,3,30769217714793,,regular,2026-03-17T20:00:06Z
2861,CSGP,44.25,4079461,2026-03-17T20:00:06Z,False,126599.25,,44.25,44.31,extended_hours_trade,L,1128,3,30769217714784,,regular,2026-03-17T20:00:06Z
3695,CSGP,44.25,4076600,2026-03-17T20:00:06Z,False,163503.75,,44.25,44.31,extended_hours_trade,L,1128,3,30769217714767,,regular,2026-03-17T20:00:06Z
2525,CSGP,44.25,4068754,2026-03-17T20:00:06Z,False,111731.25,,44.25,44.31,extended_hours_trade,L,1128,3,30769217714590,,regular,2026-03-17T20:00:06Z
14295,CSGP,44.25,4065952,2026-03-17T20:00:05Z,False,632553.75,,44.25,44.31,extended_hours_trade,L,1128,3,30769217714542,,regular,2026-03-17T20:00:05Z
26816,CSGP,44.25,4049755,2026-03-17T20:00:05Z,False,1186608.00,,44.25,44.31,extended_hours_trade,L,1128,3,30769217714465,,regular,2026-03-17T20:00:05Z
6887,CSGP,44.25,4022195,2026-03-17T20:00:01Z,False,304749.75,,44.25,44.31,extended_hours_trade,L,1128,3,30769217710321,,regular,2026-03-17T20:00:01Z
6888,CSGP,44.25,4015238,2026-03-17T20:00:01Z,False,304794.00,,44.25,44.31,extended_hours_trade,L,1128,3,30769217710270,,regular,2026-03-17T20:00:01Z
14100,CSGP,44.25,4008007,2026-03-17T20:00:01Z,False,623925.00,,44.25,44.31,extended_hours_trade,L,1128,3,30769217710242,,regular,2026-03-17T20:00:01Z
6888,CSGP,44.25,3993207,2026-03-17T20:00:01Z,False,304794.00,,44.25,44.31,extended_hours_trade,L,1128,3,30769217710187,,regular,2026-03-17T20:00:01Z
6888,CSGP,44.25,3211925,2026-03-17T20:00:00Z,False,304794.00,,44.23,44.26,extended_hours_trade,L,400,100,30769217709347,,regular,2026-03-17T20:00:00Z
4220,CSGP,44.25,3205037,2026-03-17T20:00:00Z,False,186735.00,,44.23,44.26,extended_hours_trade,L,400,100,30769217709345,,regular,2026-03-17T20:00:00Z
2307,CSGP,44.25,3199234,2026-03-17T20:00:00Z,False,102084.75,,44.23,44.26,extended_hours_trade,L,400,100,30769217709322,,regular,2026-03-17T20:00:00Z
22200,CSGP,44.25,3193423,2026-03-17T20:00:00Z,False,982350.00,,44.23,44.26,extended_hours_trade,L,400,100,30769217709023,,regular,2026-03-17T20:00:00Z
2528,CSGP,44.25,3168980,2026-03-17T20:00:00Z,False,111864.00,,44.23,44.26,extended_hours_trade,L,400,100,30769217708767,,regular,2026-03-17T20:00:00Z
2400,CSGP,44.31,3096624,2026-03-17T19:59:25Z,False,106344.00,,44.27,44.31,,L,1469,800,30769217673707,,regular,2026-03-17T19:59:25Z
7400,CSGP,44.18,2957687,2026-03-17T19:59:00Z,False,326932.00,,44.17,44.18,,L,6132,2417,30769217649531,,regular,2026-03-17T19:59:00Z
2900,CSGP,44.12,2853301,2026-03-17T19:58:31Z,False,127948.00,,44.11,44.12,,L,1830,2692,30769217619742,,regular,2026-03-17T19:58:31Z
4500,CSGP,44.12,2857801,2026-03-17T19:58:31Z,False,198540.00,,44.11,44.12,,L,1830,2692,30769217619742,,regular,2026-03-17T19:58:31Z
2900,CSGP,44.115,2850401,2026-03-17T19:58:31Z,False,127933.500,,44.11,44.12,,L,1830,2692,30769217619740,,regular,2026-03-17T19:58:31Z
2500,CSGP,44.17,2603386,2026-03-17T19:53:01Z,False,110425.00,,44.16,44.18,,L,919,711,30769217289824,,regular,2026-03-17T19:53:01Z
2500,CSGP,44.205,2594864,2026-03-17T19:52:34Z,False,110512.500,,44.19,44.22,,L,105,102,30769217262785,,regular,2026-03-17T19:52:34Z
2500,CSGP,44.19,2588483,2026-03-17T19:52:14Z,False,110475.00,,44.17,44.2,,L,200,200,30769217242787,,regular,2026-03-17T19:52:14Z
25000,CSGP,44.02,2401872,2026-03-17T19:40:49Z,False,1100500.00,,44.01,44.02,,L,19,100,30769216558470,,regular,2026-03-17T19:40:49Z
25000,CSGP,44.02,2272901,2026-03-17T19:32:01Z,False,1100500.00,,44.02,44.03,,L,100,97,30769216030499,,regular,2026-03-17T19:32:01Z
25000,CSGP,43.84,2192379,2026-03-17T19:27:04Z,False,1096000.00,,43.83,43.85,,L,96,50,30769215732893,,regular,2026-03-17T19:27:04Z
25000,CSGP,43.7,1899620,2026-03-17T18:46:06Z,False,1092500.0,,43.69,43.71,,L,426,315,30769213274562,,regular,2026-03-17T18:46:06Z
4588,CSGP,43.62,1820539,2026-03-17T18:32:31Z,False,200128.56,,43.62,43.64,,L,49,320,30769212459595,,regular,2026-03-17T18:32:31Z
2512,CSGP,44.05,1621233,2026-03-17T17:52:10Z,False,110653.60,,44.05,44.06,,L,152,422,30769210039069,,regular,2026-03-17T17:52:10Z
5959,CSGP,44.145,1505704,2026-03-17T17:29:50Z,False,263060.055,,44.13,44.15,,L,44,312,30769208699527,,regular,2026-03-17T17:29:50Z
2864,CSGP,44.1351,1313013,2026-03-17T16:49:54Z,False,126402.9264,,44.13,44.15,,L,101,20,30769206303529,,regular,2026-03-17T16:49:54Z
18887,CSGP,44.045,1245524,2026-03-17T16:36:16Z,False,831877.915,,44.04,44.05,,L,402,261,30769205485365,,regular,2026-03-17T16:36:16Z
3250,CSGP,43.99,1181251,2026-03-17T16:27:41Z,False,142967.50,,43.97,44.01,,L,450,78,30769204969544,,regular,2026-03-17T16:27:41Z
4302,CSGP,44.205,996609,2026-03-17T15:48:18Z,False,190169.910,,44.2,44.22,,L,51,21,30769202607003,,regular,2026-03-17T15:48:18Z
2500,CSGP,44.2051,821651,2026-03-17T15:14:49Z,False,110512.7500,,44.2,44.21,,L,69,161,30769200598299,,regular,2026-03-17T15:14:49Z
2338,CSGP,44.36,681115,2026-03-17T14:49:59Z,False,103713.68,,44.35,44.38,,L,426,29,30769199108263,,regular,2026-03-17T14:49:59Z
3723,CSGP,44.315,619424,2026-03-17T14:37:31Z,False,164984.745,,44.3,44.34,,L,217,6,30769198359714,,regular,2026-03-17T14:37:31Z
3250,CSGP,44.55,469279,2026-03-17T14:15:08Z,False,144787.50,,44.55,44.59,,L,213,200,30769197017403,,regular,2026-03-17T14:15:08Z
19300,CSGP,44.715,351204,2026-03-17T14:04:59Z,False,862999.500,,44.7,44.73,,L,7,100,30769196407812,,regular,2026-03-17T14:04:59Z
3700,CSGP,44.76,326420,2026-03-17T14:04:07Z,False,165612.00,,44.75,44.79,,L,114,73,30769196356139,,regular,2026-03-17T14:04:07Z
9971,CSGP,44.945,133629,2026-03-17T13:42:55Z,False,448146.595,,44.9,44.96,,L,20,114,30769195084475,,regular,2026-03-17T13:42:55Z
5840,CSGP,44.81,42536,2026-03-17T13:32:30Z,False,261690.40,,44.71,44.81,,L,102,20,30769194458731,,regular,2026-03-17T13:32:30Z
