size,ticker,price,volume,executed_at,canceled,premium,sale_cond_codes,nbbo_ask,nbbo_bid,ext_hour_sold_codes,market_center,nbbo_ask_quantity,nbbo_bid_quantity,tracking_id,trade_code,trade_settlement,trf_executed_at
885949,CSGP,28.76,8229870,2026-07-31T21:15:40Z,False,25479893.24,prior_reference_price,29.33,28.29,extended_hours_trade,L,68,8,30769222248544,,regular,2026-07-31T21:15:39Z
22908,CSGP,28.76,7343921,2026-07-31T21:13:39Z,False,658834.08,prior_reference_price,29.33,28.29,extended_hours_trade,L,68,8,30769222127982,,regular,2026-07-31T21:13:39Z
7514,CSGP,28.76,7318698,2026-07-31T20:07:25Z,False,216102.64,prior_reference_price,29.33,28.27,extended_hours_trade,L,68,8,30769218153968,,regular,2026-07-31T20:07:25Z
20174,CSGP,28.76,7303597,2026-07-31T20:00:42Z,False,580204.24,prior_reference_price,29.33,28.24,extended_hours_trade,L,68,8,30769217750850,,regular,2026-07-31T20:00:42Z
6500,CSGP,28.76,7283423,2026-07-31T20:00:41Z,False,186940.00,prior_reference_price,29.33,28.45,extended_hours_trade,L,68,100,30769217750372,,regular,2026-07-31T20:00:41Z
6545,CSGP,28.76,7276923,2026-07-31T20:00:40Z,False,188234.20,prior_reference_price,29.33,28.45,extended_hours_trade,L,68,100,30769217748754,,regular,2026-07-31T20:00:40Z
10672,CSGP,28.76,7270378,2026-07-31T20:00:38Z,False,306926.72,prior_reference_price,29.33,28.45,extended_hours_trade,L,68,100,30769217746697,,regular,2026-07-31T20:00:38Z
39800,CSGP,28.76,7259706,2026-07-31T20:00:28Z,False,1144648.00,prior_reference_price,29.2,28.65,extended_hours_trade,L,37,100,30769217736626,,regular,2026-07-31T20:00:28Z
14500,CSGP,28.76,7204099,2026-07-31T20:00:25Z,False,417020.00,prior_reference_price,29.2,28.65,extended_hours_trade,L,37,100,30769217733574,,regular,2026-07-31T20:00:25Z
4300,CSGP,28.76,7189325,2026-07-31T20:00:25Z,False,123668.00,prior_reference_price,29.2,28.65,extended_hours_trade,L,37,100,30769217733557,,regular,2026-07-31T20:00:25Z
5999,CSGP,28.76,7182028,2026-07-31T20:00:02Z,False,172531.24,,29.2,28.65,extended_hours_trade,L,37,100,30769217710735,,regular,2026-07-31T20:00:01Z
