size,ticker,price,volume,executed_at,canceled,premium,sale_cond_codes,nbbo_ask,nbbo_bid,ext_hour_sold_codes,market_center,nbbo_ask_quantity,nbbo_bid_quantity,tracking_id,trade_code,trade_settlement,trf_executed_at
4596,CVLT,89.61,835491,2026-04-14T20:01:39Z,False,411847.56,prior_reference_price,91.38,80.81,extended_hours_trade,L,21,20,31825779763071,,regular,2026-04-14T20:01:39Z
2861,CVLT,89.61,829744,2026-04-14T20:00:15Z,False,256374.21,prior_reference_price,92,88,extended_hours_trade,L,100,19,31825779679136,,regular,2026-04-14T20:00:15Z
3991,CVLT,89.61,825162,2026-04-14T20:00:14Z,False,357633.51,prior_reference_price,92,88,extended_hours_trade,L,100,19,31825779678073,,regular,2026-04-14T20:00:14Z
1609,CVLT,89.62,654199,2026-04-14T19:58:09Z,False,144198.58,,89.65,89.62,,L,1027,215,31825779552761,,regular,2026-04-14T19:58:09Z
2781,CVLT,88.4699,431065,2026-04-14T18:37:57Z,False,246034.7919,,88.44,88.16,,L,1,139,31825774741153,,regular,2026-04-14T18:37:57Z
1593,CVLT,88.5399,410492,2026-04-14T18:32:13Z,False,141044.0607,,88.5,88.39,,L,10,258,31825774396486,,regular,2026-04-14T18:32:13Z
1199,CVLT,88.21,398506,2026-04-14T18:23:34Z,False,105763.79,,88.29,88.15,,L,110,9,31825773877817,,regular,2026-04-14T18:23:34Z
3185,CVLT,89.04,331648,2026-04-14T17:35:59Z,False,283592.40,,89.14,88.99,,L,263,253,31825771023297,,regular,2026-04-14T17:35:59Z
1332,CVLT,88.905,295961,2026-04-14T16:59:59Z,False,118421.460,,88.99,88.82,,L,1,21,31825768862545,,regular,2026-04-14T16:59:59Z
1200,CVLT,89.64,59732,2026-04-14T13:57:56Z,False,107568.00,,89.64,89.04,,L,111,277,31825757940177,,regular,2026-04-14T13:57:56Z
2500,CVLT,91.125,23859,2026-04-14T13:38:34Z,False,227812.500,,91.49,90.77,,L,400,368,31825756777918,,regular,2026-04-14T13:38:34Z
