size,ticker,price,volume,executed_at,canceled,premium,sale_cond_codes,nbbo_ask,nbbo_bid,ext_hour_sold_codes,market_center,nbbo_ask_quantity,nbbo_bid_quantity,tracking_id,trade_code,trade_settlement,trf_executed_at
150551,CVNA,354.24,3505214,2025-09-11T20:41:11Z,False,53331186.24,,356.75,354.04,extended_hours_trade,L,50,5,0,,regular,
1112,CVNA,354.24,3354602,2025-09-11T20:34:03Z,False,393914.88,prior_reference_price,356.75,354.04,extended_hours_trade,L,50,5,0,,regular,
554,CVNA,354.24,3352784,2025-09-11T20:04:22Z,False,196248.96,,356.75,354,extended_hours_trade,L,50,125,0,,regular,
389,CVNA,354.24,3352102,2025-09-11T20:01:21Z,False,137799.36,prior_reference_price,356.75,354,extended_hours_trade,L,50,25,0,,regular,
1647,CVNA,354.24,3350790,2025-09-11T20:00:39Z,False,583433.28,prior_reference_price,356.75,354,extended_hours_trade,L,50,25,0,,regular,
500,CVNA,354.24,3348972,2025-09-11T20:00:39Z,False,177120.00,prior_reference_price,356.75,354,extended_hours_trade,L,50,25,0,,regular,
3258,CVNA,354.24,3348402,2025-09-11T20:00:39Z,False,1154113.92,prior_reference_price,356.75,354,extended_hours_trade,L,50,25,0,,regular,
1087,CVNA,354.24,3345025,2025-09-11T20:00:39Z,False,385058.88,prior_reference_price,356.75,354,extended_hours_trade,L,50,25,0,,regular,
468,CVNA,354.24,3343335,2025-09-11T20:00:28Z,False,165784.32,prior_reference_price,356.75,354,extended_hours_trade,L,50,25,0,,regular,
1062,CVNA,354.24,3342863,2025-09-11T20:00:28Z,False,376202.88,prior_reference_price,356.75,354,extended_hours_trade,L,50,25,0,,regular,
339,CVNA,354.24,3341801,2025-09-11T20:00:26Z,False,120087.36,prior_reference_price,356.75,354,extended_hours_trade,L,50,25,0,,regular,
1000,CVNA,354.24,3341462,2025-09-11T20:00:20Z,False,354240.00,prior_reference_price,356.75,354,extended_hours_trade,L,50,25,0,,regular,
7922,CVNA,354.24,3340433,2025-09-11T20:00:09Z,False,2806289.28,,355,354.77,extended_hours_trade,L,3,263,0,,regular,
412,CVNA,354.24,3332163,2025-09-11T20:00:08Z,False,145946.88,,355,354.77,extended_hours_trade,L,3,263,0,,regular,
510,CVNA,354.24,3331751,2025-09-11T20:00:08Z,False,180662.40,,355,354.77,extended_hours_trade,L,3,263,0,,regular,
928,CVNA,354.24,3331164,2025-09-11T20:00:08Z,False,328734.72,,355,354.77,extended_hours_trade,L,3,263,0,,regular,
417,CVNA,354.24,3330136,2025-09-11T20:00:02Z,False,147718.08,,355,354.77,extended_hours_trade,L,3,263,0,,regular,
584,CVNA,354.19,3161878,2025-09-11T19:59:55Z,False,206846.96,,355,354.77,,L,3,263,0,,regular,
392,CVNA,354.8527,3136680,2025-09-11T19:59:44Z,False,139102.2584,,355,354.77,,L,3,263,0,,regular,
549,CVNA,354.965,3114201,2025-09-11T19:59:23Z,False,194875.785,,355.3,355.06,,L,6,100,0,,regular,
500,CVNA,355.02,3089035,2025-09-11T19:59:02Z,False,177510.00,,355.07,354.92,,L,2,44,0,,regular,
300,CVNA,355.12,3075905,2025-09-11T19:58:53Z,False,106536.00,,355.07,354.92,,L,2,44,0,,regular,
700,CVNA,355.12,3071898,2025-09-11T19:58:49Z,False,248584.00,,355.04,354.89,,L,173,5,0,,regular,
300,CVNA,354.77,3061732,2025-09-11T19:58:32Z,False,106431.00,,355.04,354.89,,L,173,5,0,,regular,
300,CVNA,354.96,3031632,2025-09-11T19:57:49Z,False,106488.00,,354.96,354.77,,L,192,696,0,,regular,
300,CVNA,355.13,3027283,2025-09-11T19:57:44Z,False,106539.00,,355.32,355.14,,L,152,5,0,,regular,
600,CVNA,355.14,3020522,2025-09-11T19:57:43Z,False,213084.00,,355.32,355.14,,L,152,5,0,,regular,
500,CVNA,355.02,3010217,2025-09-11T19:57:22Z,False,177510.00,,355.34,355.08,,L,100,7,0,,regular,
800,CVNA,354.39,2978184,2025-09-11T19:56:26Z,False,283512.00,,354.6,354.48,,L,28,1,0,,regular,
300,CVNA,354.485,2976984,2025-09-11T19:56:26Z,False,106345.500,,354.6,354.48,,L,28,1,0,,regular,
400,CVNA,354.485,2977384,2025-09-11T19:56:26Z,False,141794.000,,354.6,354.48,,L,28,1,0,,regular,
300,CVNA,354.93,2964569,2025-09-11T19:56:09Z,False,106479.00,,355.09,354.93,,L,100,1801,0,,regular,
300,CVNA,355.0293,2960142,2025-09-11T19:56:05Z,False,106508.7900,,355.09,354.93,,L,100,1801,0,,regular,
600,CVNA,354.885,2945068,2025-09-11T19:55:40Z,False,212931.000,,355.04,354.73,,L,34,131,0,,regular,
400,CVNA,355.03,2941537,2025-09-11T19:55:21Z,False,142012.00,,355.55,355.15,,L,49,210,0,,regular,
300,CVNA,355.15,2940808,2025-09-11T19:55:21Z,False,106545.00,,355.55,355.15,,L,49,210,0,,regular,
25000,CVNA,355.4,2928749,2025-09-11T19:55:06Z,False,8885000.0,average_price_trade,355.43,355.25,,L,15,483,0,derivative_priced,regular,
300,CVNA,355.11,2883716,2025-09-11T19:54:16Z,False,106533.00,,355.27,354.85,,L,58,11,0,,regular,
300,CVNA,355.7065,2876491,2025-09-11T19:54:02Z,False,106711.9500,average_price_trade,355.53,355.24,,L,3,703,0,derivative_priced,regular,
400,CVNA,355.566,2867830,2025-09-11T19:53:55Z,False,142226.400,,355.9,355.42,,L,40,100,0,,regular,
300,CVNA,355.686,2846488,2025-09-11T19:53:20Z,False,106705.800,,355.7,355.56,,L,2,101,0,,regular,
700,CVNA,355.56,2846118,2025-09-11T19:53:20Z,False,248892.00,,355.7,355.56,,L,2,101,0,,regular,
500,CVNA,355.94,2839298,2025-09-11T19:52:40Z,False,177970.00,,356.23,355.93,,L,14,2,0,,regular,
2600,CVNA,356.475,2830641,2025-09-11T19:52:06Z,False,926835.000,,356.77,356.18,,L,337,149,0,,regular,
300,CVNA,357.0448,2825860,2025-09-11T19:52:00Z,False,107113.4400,average_price_trade,356.88,356.37,,L,99,210,0,derivative_priced,regular,
800,CVNA,356.39,2825494,2025-09-11T19:51:58Z,False,285112.00,,356.88,356.37,,L,33,210,0,,regular,
300,CVNA,356.6,2818886,2025-09-11T19:51:24Z,False,106980.0,,357.06,356.67,,L,5,1,0,,regular,
400,CVNA,356.96,2797517,2025-09-11T19:50:38Z,False,142784.00,,357.27,356.92,,L,111,23,0,,regular,
300,CVNA,357.755,2780595,2025-09-11T19:50:00Z,False,107326.500,,357.76,357.43,,L,100,111,0,,regular,
338,CVNA,357.755,2775891,2025-09-11T19:50:00Z,False,120921.190,,357.76,357.43,,L,100,111,0,,regular,
300,CVNA,356.9049,2770681,2025-09-11T19:49:54Z,False,107071.4700,average_price_trade,357.76,357.42,,L,100,300,0,derivative_priced,regular,
400,CVNA,357.4158,2758327,2025-09-11T19:49:07Z,False,142966.3200,average_price_trade,357.53,357.28,,L,4,26,0,derivative_priced,regular,
1271,CVNA,357.34,2757783,2025-09-11T19:49:07Z,False,454179.14,,357.53,357.28,,L,4,26,0,,regular,
300,CVNA,357.34,2752210,2025-09-11T19:48:33Z,False,107202.00,,357.53,357.16,,L,100,1,0,,regular,
900,CVNA,357.5578,2744575,2025-09-11T19:47:16Z,False,321802.0200,average_price_trade,357.81,357.53,,L,2,11,0,derivative_priced,regular,
300,CVNA,357.57,2742899,2025-09-11T19:47:07Z,False,107271.00,,357.81,357.52,,L,2,223,0,,regular,
700,CVNA,357.4469,2728186,2025-09-11T19:46:05Z,False,250212.8300,average_price_trade,357.81,357.27,,L,15,1,0,derivative_priced,regular,
300,CVNA,357.445,2724768,2025-09-11T19:45:42Z,False,107233.500,,357.81,357.17,,L,412,8,0,,regular,
400,CVNA,356.4902,2709788,2025-09-11T19:44:16Z,False,142596.0800,average_price_trade,357.26,356.9,,L,295,331,0,derivative_priced,regular,
300,CVNA,357,2709388,2025-09-11T19:44:16Z,False,107100,,357.26,356.9,,L,295,436,0,,regular,
