size,ticker,price,volume,executed_at,canceled,premium,sale_cond_codes,nbbo_bid,nbbo_ask,ext_hour_sold_codes,market_center,nbbo_ask_quantity,nbbo_bid_quantity,tracking_id,trade_code,trade_settlement,trf_executed_at
2367,CVNA,73,16461328,2026-05-29T21:30:56Z,False,172791,prior_reference_price,72.81,73.2,extended_hours_trade,L,31,250,37671235609423,,regular,2026-05-29T21:30:54Z
5291,CVNA,73,16458595,2026-05-29T21:09:34Z,False,386243,prior_reference_price,72.81,73.6,extended_hours_trade,L,38,250,37671234327253,,regular,2026-05-29T21:09:33Z
10935,CVNA,73,16453221,2026-05-29T20:53:36Z,False,798255,prior_reference_price,72.81,73.65,extended_hours_trade,L,1,250,37671233369567,,regular,2026-05-29T20:53:36Z
8082,CVNA,72.9975,16440757,2026-05-29T20:34:41Z,False,589965.7950,average_price_trade,72.81,74.07,extended_hours_trade,L,250,250,37671232234815,,regular,2026-05-29T20:34:41Z
11429,CVNA,73,16432207,2026-05-29T20:23:34Z,False,834317,prior_reference_price,72.81,74.07,extended_hours_trade,L,250,250,37671231568184,,regular,2026-05-29T20:23:34Z
78008,CVNA,72.9984,16420559,2026-05-29T20:17:24Z,False,5694459.1872,average_price_trade,72.81,74.07,extended_hours_trade,L,250,250,37671231198031,,regular,2026-05-29T20:17:24Z
19016,CVNA,73,16342551,2026-05-29T20:17:24Z,False,1388168,,72.81,74.07,extended_hours_trade,L,250,250,37671231197466,,regular,2026-05-29T20:17:24Z
5152,CVNA,73,16323482,2026-05-29T20:17:23Z,False,376096,prior_reference_price,72.81,74.07,extended_hours_trade,L,250,250,37671231196292,,regular,2026-05-29T20:17:23Z
13411,CVNA,73,16318330,2026-05-29T20:17:22Z,False,979003,prior_reference_price,72.81,74.07,extended_hours_trade,L,250,250,37671231195680,,regular,2026-05-29T20:17:22Z
4481,CVNA,73,16304919,2026-05-29T20:17:21Z,False,327113,,72.81,74.07,extended_hours_trade,L,250,250,37671231195071,,regular,2026-05-29T20:17:21Z
2840,CVNA,73,16300117,2026-05-29T20:17:20Z,False,207320,,72.81,74.07,extended_hours_trade,L,250,250,37671231193807,,regular,2026-05-29T20:17:20Z
11200,CVNA,73,16297277,2026-05-29T20:17:19Z,False,817600,,72.81,74.07,extended_hours_trade,L,250,250,37671231193172,,regular,2026-05-29T20:17:19Z
2483,CVNA,73,16286076,2026-05-29T20:17:18Z,False,181259,prior_reference_price,72.81,74.07,extended_hours_trade,L,250,250,37671231191870,,regular,2026-05-29T20:17:18Z
2890,CVNA,73,16283593,2026-05-29T20:17:17Z,False,210970,prior_reference_price,72.81,74.07,extended_hours_trade,L,250,250,37671231191201,,regular,2026-05-29T20:17:17Z
