size,ticker,price,volume,executed_at,canceled,premium,sale_cond_codes,nbbo_ask,nbbo_bid,ext_hour_sold_codes,market_center,nbbo_ask_quantity,nbbo_bid_quantity,tracking_id,trade_code,trade_settlement,trf_executed_at
169515,CVS,52.14,10960607,2025-01-15T22:04:17Z,False,8838512.10,prior_reference_price,52.25,52.19,extended_hours_trade,L,10,1692,61457546941266,,,
380360,CVS,52.14,10789953,2025-01-15T21:42:11Z,False,19831970.40,average_price_trade,52.19,52.15,extended_hours_trade,L,300,300,60131689930832,,,
28000,CVS,52.14,10408953,2025-01-15T21:31:10Z,False,1459920.00,average_price_trade,52.25,52.11,extended_hours_trade,L,10,300,59470878735015,,,
4893,CVS,52.14,10380939,2025-01-15T21:20:00Z,False,255121.02,prior_reference_price,52.16,52.11,extended_hours_trade,L,131,300,58800655367086,,,
2042,CVS,52.14,10375404,2025-01-15T21:13:17Z,False,106469.88,prior_reference_price,52.16,52.11,extended_hours_trade,L,131,300,58397999235061,,,
4595,CVS,51.9925,10373342,2025-01-15T21:09:12Z,False,238905.5375,average_price_trade,52.16,52.11,extended_hours_trade,L,131,300,58152956135656,,,
4176,CVS,52.14,10365496,2025-01-15T21:04:38Z,False,217736.64,,52.14,52.11,extended_hours_trade,L,5,300,57878679795518,,,
2098,CVS,52.14,10361320,2025-01-15T21:03:57Z,False,109389.72,prior_reference_price,52.16,52.11,extended_hours_trade,L,25,300,57837803421476,,,
15410,CVS,52.14,10354853,2025-01-15T21:03:51Z,False,803477.40,prior_reference_price,52.16,52.11,extended_hours_trade,L,25,300,57831233569815,,,
4105,CVS,52.14,10335900,2025-01-15T21:03:41Z,False,214034.70,prior_reference_price,52.16,52.11,extended_hours_trade,L,25,300,57821917671014,,,
2016,CVS,52.14,10329288,2025-01-15T21:03:09Z,False,105114.24,prior_reference_price,52.17,52.11,extended_hours_trade,L,300,300,57789389424261,,,
5100,CVS,52.14,10326662,2025-01-15T21:01:12Z,False,265914.00,prior_reference_price,52.25,52.10,extended_hours_trade,L,10,100,57672973583905,,,
18694,CVS,52.14,10320562,2025-01-15T21:00:37Z,False,974705.16,prior_reference_price,52.25,51.90,extended_hours_trade,L,10,100,57637540982106,,,
2448,CVS,52.14,10301056,2025-01-15T21:00:31Z,False,127638.72,prior_reference_price,52.25,51.90,extended_hours_trade,L,10,100,57631490332477,,,
4643,CVS,52.14,10298608,2025-01-15T21:00:25Z,False,242086.02,prior_reference_price,52.25,51.90,extended_hours_trade,L,10,100,57625373182319,,,
7400,CVS,52.14,10289942,2025-01-15T21:00:25Z,False,385836.00,prior_reference_price,52.25,51.90,extended_hours_trade,L,10,100,57625212077077,,,
4242,CVS,52.14,10279762,2025-01-15T21:00:24Z,False,221177.88,prior_reference_price,52.25,51.90,extended_hours_trade,L,10,100,57624097701505,,,
14800,CVS,52.14,10272684,2025-01-15T21:00:23Z,False,771672.00,prior_reference_price,52.25,51.90,extended_hours_trade,L,10,100,57623974001038,,,
14800,CVS,52.14,10257884,2025-01-15T21:00:23Z,False,771672.00,prior_reference_price,52.25,51.90,extended_hours_trade,L,10,100,57623972156039,,,
2376,CVS,52.14,10241864,2025-01-15T21:00:21Z,False,123884.64,prior_reference_price,52.25,51.90,extended_hours_trade,L,10,100,57621596180225,,,
