size,ticker,price,volume,executed_at,canceled,premium,sale_cond_codes,nbbo_bid,nbbo_ask,ext_hour_sold_codes,market_center,nbbo_ask_quantity,nbbo_bid_quantity,tracking_id,trade_code,trade_settlement,trf_executed_at
6643,CZR,29.42,3952340,2025-07-07T20:20:00Z,False,195437.06,prior_reference_price,29.30,30.02,extended_hours_trade,L,199,5,58800723557099,,regular,
8702,CZR,29.42,3944381,2025-07-07T20:04:51Z,False,256012.84,,29.30,30.02,extended_hours_trade,L,199,5,57891466962093,,regular,
134000,CZR,29.42,3933209,2025-07-07T20:00:59Z,False,3942280.00,prior_reference_price,29.30,30.10,extended_hours_trade,L,1,5,57659356778153,,regular,
11113,CZR,29.42,3798594,2025-07-07T20:00:02Z,False,326944.46,,29.30,29.68,extended_hours_trade,L,1,5,57602543476994,,regular,
6000,CZR,29.38,2121396,2025-07-07T18:51:35Z,False,176280.00,,29.37,29.39,,L,306,138,53495622052720,,regular,
4100,CZR,29.2281,2021071,2025-07-07T18:32:00Z,False,119835.2100,,29.22,29.23,,L,249,140,52320415795803,,regular,
8000,CZR,29.2199,1994456,2025-07-07T18:27:07Z,False,233759.2000,,29.20,29.22,,L,170,98,52027659314796,,regular,
3526,CZR,29.39,1882800,2025-07-07T18:07:27Z,False,103629.14,,29.38,29.40,,L,440,482,50847131670326,,regular,
3400,CZR,29.56,1266791,2025-07-07T15:48:27Z,False,100504.00,,29.55,29.57,,L,70,150,42507867685123,,regular,
4391,CZR,29.70,1219421,2025-07-07T15:38:13Z,False,130412.70,,29.70,29.72,,L,50,1,41893892511698,,regular,
5000,CZR,29.7001,1194221,2025-07-07T15:35:45Z,False,148500.5000,,29.70,29.72,,L,252,150,41745465459951,,regular,
10000,CZR,29.9001,1007211,2025-07-07T15:06:55Z,False,299001.0000,,29.90,29.92,,L,208,150,40015562540008,,regular,
8551,CZR,30.24,525606,2025-07-07T14:08:25Z,False,258582.24,,30.23,30.25,,L,108,250,36505760526363,,regular,
5318,CZR,29.9501,273286,2025-07-07T13:57:56Z,False,159274.6318,,29.95,29.99,,L,289,102,35876989447165,,regular,
6208,CZR,29.49,68044,2025-07-07T13:31:19Z,False,183073.92,,29.49,29.60,,L,266,223,34279253386217,,regular,
