size,ticker,price,volume,executed_at,canceled,premium,sale_cond_codes,nbbo_ask,nbbo_bid,ext_hour_sold_codes,market_center,nbbo_ask_quantity,nbbo_bid_quantity,tracking_id,trade_code,trade_settlement,trf_executed_at
25911,CZR,28.06,4775085,2026-03-13T20:03:02Z,False,727062.66,prior_reference_price,28.58,27.93,extended_hours_trade,L,174,28,35150084532520,,regular,2026-03-13T20:03:02Z
249573,CZR,28.06,4746066,2026-03-13T20:00:08Z,False,7003018.38,average_price_trade,28.6,27.77,extended_hours_trade,L,50,100,35150084359217,,regular,2026-03-13T20:00:08Z
3584,CZR,28.02,3680515,2026-03-13T19:57:10Z,False,100423.68,,28.04,28.03,,L,1753,345,35150084181058,,regular,2026-03-13T19:57:10Z
5000,CZR,28.01,2962887,2026-03-13T19:23:26Z,False,140050.00,,28.01,28,,L,11,606,35150082156568,,regular,2026-03-13T19:23:26Z
7010,CZR,27.908,2716646,2026-03-13T19:10:17Z,False,195635.080,,27.91,27.9,,L,804,500,35150081367593,,regular,2026-03-13T19:10:17Z
6647,CZR,27.95,2549981,2026-03-13T19:01:29Z,False,185783.65,,27.94,27.93,,L,100,208,35150080839498,,regular,2026-03-13T19:01:29Z
4700,CZR,27.95,2513171,2026-03-13T18:58:21Z,False,131365.00,,27.94,27.93,,L,30,405,35150080652158,,regular,2026-03-13T18:58:21Z
3968,CZR,27.95,2507020,2026-03-13T18:58:21Z,False,110905.60,,27.91,27.89,,L,42,309,35150080652153,,regular,2026-03-13T18:58:21Z
5000,CZR,27.977,2479531,2026-03-13T18:55:36Z,False,139885.000,,27.98,27.97,,L,143,355,35150080486656,,regular,2026-03-13T18:55:36Z
4400,CZR,28.03,2402069,2026-03-13T18:50:14Z,False,123332.00,,28.04,28.02,,L,205,577,35150080165095,,regular,2026-03-13T18:50:14Z
5000,CZR,28.0497,1903572,2026-03-13T18:16:17Z,False,140248.5000,,28.05,28.04,,L,290,300,35150078128258,,regular,2026-03-13T18:16:17Z
6900,CZR,28.04,1893486,2026-03-13T18:16:11Z,False,193476.00,,28.05,28.04,,L,939,400,35150078122283,,regular,2026-03-13T18:16:11Z
9860,CZR,28.1606,1787863,2026-03-13T18:05:16Z,False,277663.5160,,28.17,28.16,,L,82,605,35150077466792,,regular,2026-03-13T18:05:16Z
18098,CZR,28.32,1486664,2026-03-13T17:32:08Z,False,512535.36,,28.33,28.32,,L,600,209,35150075478725,,regular,2026-03-13T17:32:08Z
5000,CZR,28.32,1428999,2026-03-13T17:20:11Z,False,141600.00,,28.34,28.31,,L,303,300,35150074761820,,regular,2026-03-13T17:20:11Z
5300,CZR,28.33,1421513,2026-03-13T17:19:50Z,False,150149.00,,28.34,28.32,,L,203,138,35150074740558,,regular,2026-03-13T17:19:50Z
4000,CZR,28.2477,1376667,2026-03-13T17:14:26Z,False,112990.8000,,28.25,28.24,,L,200,800,35150074417287,,regular,2026-03-13T17:14:26Z
3726,CZR,28.175,1332277,2026-03-13T17:04:43Z,False,104980.050,,28.18,28.17,,L,352,352,35150073833769,,regular,2026-03-13T17:04:43Z
5000,CZR,28.2299,1082518,2026-03-13T16:20:35Z,False,141149.5000,,28.23,28.22,,L,625,1870,35150071185578,,regular,2026-03-13T16:20:35Z
4104,CZR,28.25,1060416,2026-03-13T16:16:02Z,False,115938.00,,28.25,28.24,,L,185,102,35150070912600,,regular,2026-03-13T16:16:02Z
9913,CZR,28.32,804913,2026-03-13T15:24:47Z,False,280736.16,,28.37,28.34,,L,380,353,35150067838025,,regular,2026-03-13T15:24:47Z
5000,CZR,28.44,751568,2026-03-13T15:12:40Z,False,142200.00,,28.45,28.42,,L,247,303,35150067111438,,regular,2026-03-13T15:12:40Z
4582,CZR,28.34,733602,2026-03-13T15:07:49Z,False,129853.88,,28.35,28.33,,L,100,141,35150066819646,,regular,2026-03-13T15:07:49Z
4300,CZR,28.2999,721076,2026-03-13T15:04:45Z,False,121689.5700,,28.3,28.28,,L,120,11,35150066636247,,regular,2026-03-13T15:04:45Z
7900,CZR,28.275,714517,2026-03-13T15:04:19Z,False,223372.500,,28.29,28.24,,L,201,301,35150066610359,,regular,2026-03-13T15:04:19Z
4600,CZR,28.25,660311,2026-03-13T14:59:34Z,False,129950.00,,28.27,28.23,,L,35,309,35150066324792,,regular,2026-03-13T14:59:34Z
4955,CZR,28.42,565538,2026-03-13T14:48:28Z,False,140821.10,,28.42,28.41,,L,120,23,35150065658503,,regular,2026-03-13T14:48:28Z
12100,CZR,28.66,461741,2026-03-13T14:33:50Z,False,346786.00,,28.68,28.66,,L,105,200,35150064780996,,regular,2026-03-13T14:33:50Z
4400,CZR,28.6036,388387,2026-03-13T14:25:22Z,False,125855.8400,,28.62,28.57,,L,2,301,35150064273032,,regular,2026-03-13T14:25:22Z
4400,CZR,28.5011,119972,2026-03-13T13:42:59Z,False,125404.8400,,28.58,28.51,,L,111,18,35150061730342,,regular,2026-03-13T13:42:59Z
5500,CZR,28.47,114953,2026-03-13T13:42:06Z,False,156585.00,,28.57,28.51,,L,39,18,35150061677286,,regular,2026-03-13T13:42:06Z
8800,CZR,28.66,45058,2026-03-13T13:30:45Z,False,252208.00,,28.65,28.51,,L,50,100,35150060995981,,regular,2026-03-13T13:30:45Z
