size,ticker,price,volume,executed_at,canceled,premium,sale_cond_codes,nbbo_bid,nbbo_ask,ext_hour_sold_codes,market_center,nbbo_ask_quantity,nbbo_bid_quantity,tracking_id,trade_code,trade_settlement,trf_executed_at
4678,DAL,49,9847680,2025-03-24T22:55:27Z,False,229222,,48.66,49.43,extended_hours_trade,L,5,3,68127074940530,,,
15591,DAL,48.88,9824449,2025-03-24T20:29:21Z,False,762088.08,prior_reference_price,48.88,48.95,extended_hours_trade,L,100,100,59361967358220,,,
2120,DAL,48.88,9808520,2025-03-24T20:24:18Z,False,103625.60,prior_reference_price,48.88,48.95,extended_hours_trade,L,100,100,59058523915052,,,
129399,DAL,48.88,9804912,2025-03-24T20:19:42Z,False,6325023.12,prior_reference_price,48.88,48.95,extended_hours_trade,L,100,100,58782659899704,,,
22045,DAL,48.879,9671344,2025-03-24T20:02:32Z,False,1077537.555,prior_reference_price,48.88,49.43,extended_hours_trade,L,5,21,57752611865561,,,
10626,DAL,48.88,9643964,2025-03-24T20:01:50Z,False,519398.88,prior_reference_price,48.61,49.43,extended_hours_trade,L,5,100,57710641108722,,,
14095,DAL,48.88,9633097,2025-03-24T20:00:47Z,False,688963.60,prior_reference_price,48.61,49.43,extended_hours_trade,L,5,100,57647254250631,,,
5134,DAL,48.88,9615587,2025-03-24T20:00:30Z,False,250949.92,prior_reference_price,48.61,49.43,extended_hours_trade,L,5,100,57630804815147,,,
4363,DAL,48.88,9600409,2025-03-24T20:00:20Z,False,213263.44,prior_reference_price,48.61,49.43,extended_hours_trade,L,5,100,57620786947819,,,
3000,DAL,48.88,9595892,2025-03-24T20:00:20Z,False,146640.00,prior_reference_price,48.61,49.43,extended_hours_trade,L,5,100,57620760232547,,,
2593,DAL,48.88,9592892,2025-03-24T20:00:20Z,False,126745.84,prior_reference_price,48.61,49.43,extended_hours_trade,L,5,100,57620755221134,,,
8807,DAL,48.88,9590299,2025-03-24T20:00:20Z,False,430486.16,prior_reference_price,48.61,49.43,extended_hours_trade,L,5,100,57620748197305,,,
54100,DAL,48.88,9581492,2025-03-24T20:00:20Z,False,2644408.00,prior_reference_price,48.61,49.43,extended_hours_trade,L,5,100,57620740413284,,,
2377,DAL,48.88,9508550,2025-03-24T20:00:02Z,False,116187.76,,48.86,48.88,extended_hours_trade,L,100,140,57602294500940,,,
2170,DAL,48.88,9513246,2025-03-24T20:00:02Z,False,106069.60,,48.86,48.88,extended_hours_trade,L,100,140,57602294683650,,,
4589,DAL,48.88,9517835,2025-03-24T20:00:02Z,False,224310.32,,48.86,48.88,extended_hours_trade,L,100,140,57602294720725,,,
3011,DAL,48.88,9520846,2025-03-24T20:00:02Z,False,147177.68,,48.86,48.88,extended_hours_trade,L,100,140,57602294750461,,,
