size,ticker,price,volume,executed_at,canceled,premium,sale_cond_codes,nbbo_ask,nbbo_bid,ext_hour_sold_codes,market_center,nbbo_ask_quantity,nbbo_bid_quantity,tracking_id,trade_code,trade_settlement,trf_executed_at
3335,DAL,41.96,8368724,2025-04-28T20:28:47Z,False,139936.60,,42.77,41.75,extended_hours_trade,L,7,200,59327243718324,,,
4722,DAL,41.96,8365337,2025-04-28T20:24:27Z,False,198135.12,prior_reference_price,42.77,41.75,extended_hours_trade,L,7,200,59067608314101,,,
2982,DAL,41.96,8357655,2025-04-28T20:04:20Z,False,125124.72,,41.95,41.56,extended_hours_trade,L,46,12,57860383649686,,,
28400,DAL,41.96,8353813,2025-04-28T20:02:25Z,False,1191664.00,prior_reference_price,41.95,41.56,extended_hours_trade,L,46,12,57745005183589,,,
2834,DAL,41.96,8325379,2025-04-28T20:02:03Z,False,118914.64,prior_reference_price,41.95,41.56,extended_hours_trade,L,46,12,57723147858662,,,
12507,DAL,41.96,8317784,2025-04-28T20:00:19Z,False,524793.72,prior_reference_price,42.77,41.56,extended_hours_trade,L,7,12,57619127474235,,,
5709,DAL,41.96,8305277,2025-04-28T20:00:19Z,False,239549.64,prior_reference_price,42.77,41.56,extended_hours_trade,L,7,12,57619122281476,,,
3081,DAL,41.96,8298657,2025-04-28T20:00:19Z,False,129278.76,prior_reference_price,42.77,41.56,extended_hours_trade,L,7,12,57619008185959,,,
4000,DAL,41.96,8295484,2025-04-28T20:00:18Z,False,167840.00,prior_reference_price,42.77,41.56,extended_hours_trade,L,7,12,57618989588856,,,
3077,DAL,41.96,8291484,2025-04-28T20:00:18Z,False,129110.92,prior_reference_price,42.77,41.56,extended_hours_trade,L,7,12,57618960532746,,,
131532,DAL,41.96,8286447,2025-04-28T20:00:18Z,False,5519082.72,prior_reference_price,42.77,41.56,extended_hours_trade,L,7,12,57618649802412,,,
2387,DAL,41.96,8152525,2025-04-28T20:00:03Z,False,100158.52,,42.88,41.56,extended_hours_trade,L,100,12,57603320177822,,,
7849,DAL,41.96,8150138,2025-04-28T20:00:03Z,False,329344.04,,42.88,41.56,extended_hours_trade,L,100,12,57603319383274,,,
4707,DAL,41.96,8142289,2025-04-28T20:00:03Z,False,197505.72,,42.88,41.56,extended_hours_trade,L,100,12,57603316405811,,,
4750,DAL,41.98,7240061,2025-04-28T19:59:33Z,False,199405.00,,41.98,41.96,,L,300,100,57573438313551,,,
4600,DAL,42.0881,6858038,2025-04-28T19:56:05Z,False,193605.2600,average_price_trade,42.05,42.04,,L,29,225,57365269190422,derivative_priced,,
5000,DAL,42.1117,6512328,2025-04-28T19:52:20Z,False,210558.5000,average_price_trade,42.05,42.04,,L,43,207,57140013179826,derivative_priced,,
2575,DAL,42.08,6475636,2025-04-28T19:51:44Z,False,108356.00,,42.09,42.08,,L,177,400,57104446460066,,,
5000,DAL,42.13,6309237,2025-04-28T19:45:52Z,False,210650.00,,42.14,42.13,,L,38,617,56752678954632,,,
2500,DAL,42.15,6253523,2025-04-28T19:44:07Z,False,105375.00,,42.14,42.13,,L,2,25,56647334018898,,,
3500,DAL,42.0634,6212735,2025-04-28T19:42:17Z,False,147221.9000,average_price_trade,42.14,42.13,,L,25,203,56537186829807,derivative_priced,,
9697,DAL,42.05,6125428,2025-04-28T19:37:44Z,False,407758.85,,42.07,42.05,,L,135,325,56264064783261,,,
2400,DAL,42.05,6114496,2025-04-28T19:37:39Z,False,100920.00,,42.06,42.03,,L,227,400,56259320333070,,,
5000,DAL,42.0401,6100718,2025-04-28T19:37:02Z,False,210200.5000,,42.06,42.04,,L,25,50,56222136596713,,,
10853,DAL,42,5836972,2025-04-28T19:21:51Z,False,455826,,42.01,42,,L,34,3,55311236071403,,,
4160,DAL,41.9901,5566418,2025-04-28T18:58:06Z,False,174678.8160,,42,41.99,,L,165,202,53886153685344,,,
