size,ticker,price,volume,executed_at,canceled,premium,sale_cond_codes,nbbo_ask,nbbo_bid,ext_hour_sold_codes,market_center,nbbo_ask_quantity,nbbo_bid_quantity,tracking_id,trade_code,trade_settlement,trf_executed_at
1756,DAR,59.62,1931602,2026-05-28T20:59:55Z,False,104692.72,average_price_trade,65.2,58,extended_hours_trade,L,100,1,29493616016783,,regular,2026-05-28T20:59:55Z
31801,DAR,59.62,1929566,2026-05-28T20:55:32Z,False,1895975.62,average_price_trade,65.2,58,extended_hours_trade,L,100,1,29493615754187,,regular,2026-05-28T20:55:32Z
3937,DAR,59.62,1893803,2026-05-28T20:00:41Z,False,234723.94,prior_reference_price,0,58,extended_hours_trade,L,0,1,29493612463542,,regular,2026-05-28T20:00:41Z
3450,DAR,59.63,1453162,2026-05-28T19:59:33Z,False,205723.50,,59.64,59.63,,L,129,2170,29493612394860,,regular,2026-05-28T19:59:33Z
12800,DAR,59.655,1104944,2026-05-28T19:39:02Z,False,763584.000,,59.66,59.65,,L,66,4,29493611164568,,regular,2026-05-28T19:39:02Z
3346,DAR,59.42,901913,2026-05-28T18:58:45Z,False,198819.32,,59.4,59.37,,L,67,136,29493608746971,,regular,2026-05-28T18:58:45Z
10000,DAR,59.25,806582,2026-05-28T18:29:17Z,False,592500.00,average_price_trade,59.37,59.32,,L,581,435,29493606979251,derivative_priced,regular,2026-05-28T18:29:16Z
3067,DAR,59.3401,777483,2026-05-28T18:26:25Z,False,181996.0867,,59.4,59.34,,L,13,491,29493606807213,,regular,2026-05-28T18:26:25Z
3350,DAR,59.0201,724146,2026-05-28T18:02:21Z,False,197717.3350,,59.15,59.09,,L,95,100,29493605363330,,regular,2026-05-28T18:02:21Z
8750,DAR,59.475,537974,2026-05-28T15:35:12Z,False,520406.250,,59.52,59.44,,L,100,100,29493596533890,,regular,2026-05-28T15:35:12Z
3000,DAR,59.51,522144,2026-05-28T15:30:10Z,False,178530.00,,59.55,59.49,,L,210,120,29493596232348,,regular,2026-05-28T15:30:10Z
2183,DAR,59.1,436568,2026-05-28T14:51:22Z,False,129015.3,,59.18,59.06,,L,306,152,29493593904505,,regular,2026-05-28T14:51:22Z
1700,DAR,59.21,393775,2026-05-28T14:38:05Z,False,100657.00,,59.27,59.21,,L,118,100,29493593107088,,regular,2026-05-28T14:38:05Z
5972,DAR,59.225,294736,2026-05-28T13:57:41Z,False,353691.700,,59.32,59.06,,L,6,52,29493590682783,,regular,2026-05-28T13:57:41Z
4048,DAR,59.365,281145,2026-05-28T13:53:48Z,False,240309.520,,59.45,59.29,,L,310,270,29493590450008,,regular,2026-05-28T13:53:48Z
74540,DAR,59.15,247800,2026-05-28T13:46:29Z,False,4409041.00,,59.43,59.15,,L,167,112,29493590010761,,regular,2026-05-28T13:46:29Z
3592,DAR,59.3202,102942,2026-05-28T13:46:28Z,False,213078.1584,,59.55,59.32,,L,200,293,29493590010624,,regular,2026-05-28T13:46:28Z
3200,DAR,59.3202,99350,2026-05-28T13:46:28Z,False,189824.6400,,59.55,59.32,,L,200,293,29493590010623,,regular,2026-05-28T13:46:28Z
15000,DAR,59.32,89648,2026-05-28T13:46:19Z,False,889800.00,,59.55,59.32,,L,100,193,29493590001503,,regular,2026-05-28T13:46:19Z
1797,DAR,59.44,74582,2026-05-28T13:45:52Z,False,106813.68,,59.55,59.28,,L,37,156,29493589973889,,regular,2026-05-28T13:45:52Z
1783,DAR,59.2,26764,2026-05-28T13:36:02Z,False,105553.6,,59.45,59.18,,L,58,100,29493589384532,,regular,2026-05-28T13:36:02Z
2800,DAR,59,17619,2026-05-28T13:31:48Z,False,165200,,59.42,58.81,,L,56,2,29493589129694,,regular,2026-05-28T13:31:48Z
1727,DAR,59,11065,2026-05-28T13:30:01Z,False,101893,,59,58.07,,L,60,100,29493589022702,,regular,2026-05-28T13:30:01Z
