size,ticker,price,volume,executed_at,canceled,premium,sale_cond_codes,nbbo_bid,nbbo_ask,ext_hour_sold_codes,market_center,nbbo_ask_quantity,nbbo_bid_quantity,tracking_id,trade_code,trade_settlement,trf_executed_at
4699,DASH,172.01,5378923,2025-04-02T23:57:33Z,False,808274.99,,172.10,173,extended_hours_trade,L,764,100,71853824078493,,,
1000,DASH,174.20,5369139,2025-04-02T23:49:26Z,False,174200.00,,174.15,174.99,extended_hours_trade,L,48,372,71366510975459,,,
1000,DASH,174.20,5368139,2025-04-02T23:48:48Z,False,174200.00,,174.15,174.99,extended_hours_trade,L,48,372,71328314889124,,,
800,DASH,174.20,5366759,2025-04-02T23:48:37Z,False,139360.00,,174.15,174.99,extended_hours_trade,L,48,372,71317495913480,,,
1000,DASH,174.20,5365758,2025-04-02T23:47:59Z,False,174200.00,,174.15,174.99,extended_hours_trade,L,48,372,71279250953091,,,
900,DASH,174.15,5364758,2025-04-02T23:47:34Z,False,156735.00,,174.15,174.99,extended_hours_trade,L,48,372,71254859693095,,,
750,DASH,178,5348574,2025-04-02T22:08:50Z,False,133500,,178.50,179,extended_hours_trade,L,1175,20,65330470735033,,,
600,DASH,182.50,5337731,2025-04-02T21:01:22Z,False,109500.00,,182.50,183.50,extended_hours_trade,L,28,122,61282628080436,,,
900,DASH,184.20,5333558,2025-04-02T20:41:32Z,False,165780.00,,183,184.20,extended_hours_trade,L,500,50,60092983835585,,,
9286,DASH,189.25,5325608,2025-04-02T20:20:01Z,False,1757375.50,prior_reference_price,191.25,192.50,extended_hours_trade,L,50,50,58801002278666,,,
676,DASH,189.25,5314049,2025-04-02T20:02:51Z,False,127933.00,prior_reference_price,189,190.25,extended_hours_trade,L,50,50,57771218211833,,,
1615,DASH,189.25,5312840,2025-04-02T20:02:51Z,False,305638.75,prior_reference_price,189,190.25,extended_hours_trade,L,50,50,57771090508136,,,
1354,DASH,189.25,5310929,2025-04-02T20:02:46Z,False,256244.50,prior_reference_price,189,190.25,extended_hours_trade,L,50,50,57766777511525,,,
4302,DASH,189.25,5309414,2025-04-02T20:02:42Z,False,814153.50,prior_reference_price,189,189.24,extended_hours_trade,L,3,50,57762081685238,,,
3364,DASH,189.25,5305112,2025-04-02T20:02:35Z,False,636637.00,prior_reference_price,189,189.24,extended_hours_trade,L,3,50,57755201410515,,,
2340,DASH,189.25,5301748,2025-04-02T20:02:30Z,False,442845.00,prior_reference_price,189,189.24,extended_hours_trade,L,3,50,57750554868571,,,
7973,DASH,189.25,5296852,2025-04-02T20:01:13Z,False,1508890.25,prior_reference_price,189,189.24,extended_hours_trade,L,3,50,57673766074469,,,
2948,DASH,189.25,5288131,2025-04-02T20:00:21Z,False,557909.00,prior_reference_price,189,189.24,extended_hours_trade,L,3,55,57621151294784,,,
580,DASH,189.25,5284521,2025-04-02T20:00:21Z,False,109765.00,prior_reference_price,189,189.24,extended_hours_trade,L,3,55,57621094636045,,,
3760,DASH,189.25,5283235,2025-04-02T20:00:17Z,False,711580.00,prior_reference_price,189,189.24,extended_hours_trade,L,5,55,57617275365264,,,
680,DASH,189.25,5279475,2025-04-02T20:00:17Z,False,128690.00,prior_reference_price,189,189.24,extended_hours_trade,L,5,55,57617262621807,,,
6027,DASH,189.25,5278795,2025-04-02T20:00:17Z,False,1140609.75,prior_reference_price,189,189.24,extended_hours_trade,L,5,55,57617223760156,,,
998,DASH,189.25,5272479,2025-04-02T20:00:16Z,False,188871.50,prior_reference_price,189,189.24,extended_hours_trade,L,5,55,57616752862535,,,
605,DASH,189.25,5271481,2025-04-02T20:00:13Z,False,114496.25,prior_reference_price,189,189.24,extended_hours_trade,L,5,55,57613738698732,,,
10598,DASH,189.25,5270831,2025-04-02T20:00:13Z,False,2005671.50,prior_reference_price,189,189.24,extended_hours_trade,L,5,55,57613713735415,,,
1786,DASH,189.25,5260228,2025-04-02T20:00:13Z,False,338000.50,prior_reference_price,189,189.24,extended_hours_trade,L,5,55,57613690912057,,,
600,DASH,189.25,5258442,2025-04-02T20:00:13Z,False,113550.00,prior_reference_price,189,189.24,extended_hours_trade,L,5,55,57613675655319,,,
784,DASH,189.25,5257842,2025-04-02T20:00:13Z,False,148372.00,prior_reference_price,189,189.24,extended_hours_trade,L,5,55,57613585093464,,,
4070,DASH,189.25,5257058,2025-04-02T20:00:13Z,False,770247.50,prior_reference_price,189,189.24,extended_hours_trade,L,5,55,57613560684962,,,
6520,DASH,189.25,5252988,2025-04-02T20:00:05Z,False,1233910.00,,189,189.24,extended_hours_trade,L,5,55,57605813230552,,,
4318,DASH,189.25,5246468,2025-04-02T20:00:05Z,False,817181.50,,189,189.24,extended_hours_trade,L,5,55,57605812760419,,,
758,DASH,189.25,5241267,2025-04-02T20:00:03Z,False,143451.50,,189,189.24,extended_hours_trade,L,5,55,57603536262572,,,
927,DASH,189.25,5239331,2025-04-02T20:00:03Z,False,175434.75,,189,189.24,extended_hours_trade,L,5,55,57603449429890,,,
776,DASH,189.25,5238404,2025-04-02T20:00:03Z,False,146858.00,,189,189.24,extended_hours_trade,L,5,55,57603423086948,,,
792,DASH,189.25,5237528,2025-04-02T20:00:03Z,False,149886.00,,189,189.24,extended_hours_trade,L,5,55,57603216345465,,,
734,DASH,189.25,4925255,2025-04-02T20:00:00Z,False,138909.50,average_price_trade,189,189.24,extended_hours_trade,L,5,55,57600643029508,,,
5378,DASH,189.25,4919119,2025-04-02T20:00:00Z,False,1017786.50,,189,189.24,extended_hours_trade,L,5,55,57600476671604,,,
2692,DASH,189.25,4921811,2025-04-02T20:00:00Z,False,509461.00,,189,189.24,extended_hours_trade,L,5,55,57600476738424,,,
1080,DASH,189.25,4922891,2025-04-02T20:00:00Z,False,204390.00,,189,189.24,extended_hours_trade,L,5,55,57600476808031,,,
577,DASH,189.25,4923468,2025-04-02T20:00:00Z,False,109197.25,,189,189.24,extended_hours_trade,L,5,55,57600476876264,,,
600,DASH,189.44,4895012,2025-04-02T19:59:52Z,False,113664.00,,189.38,189.50,,L,133,590,57592296285427,,,
896,DASH,189.45,4892755,2025-04-02T19:59:50Z,False,169747.20,,189.38,189.49,,L,100,450,57590221751970,,,
1440,DASH,189.3948,4783995,2025-04-02T19:59:01Z,False,272728.5120,average_price_trade,189.33,189.37,,L,222,3904,57541363039081,derivative_priced,,
720,DASH,189.3959,4768997,2025-04-02T19:58:51Z,False,136365.0480,average_price_trade,189.33,189.34,,L,135,39,57531749453710,derivative_priced,,
700,DASH,189.303,4748983,2025-04-02T19:58:35Z,False,132512.100,average_price_trade,189.29,189.31,,L,21,214,57515411700751,,,
720,DASH,189.31,4706789,2025-04-02T19:57:54Z,False,136303.20,,189.31,189.33,,L,670,1012,57474349088931,,,
