size,ticker,price,volume,executed_at,canceled,premium,sale_cond_codes,nbbo_ask,nbbo_bid,ext_hour_sold_codes,market_center,nbbo_ask_quantity,nbbo_bid_quantity,tracking_id,trade_code,trade_settlement,trf_executed_at
75943,DASH,232.06,1223243,2025-12-24T19:56:54Z,False,17623332.58,average_price_trade,232.5,231,extended_hours_trade,L,25,26,23802780569253,,regular,
27600,DASH,232.06,1147239,2025-12-24T19:25:12Z,False,6404856.00,prior_reference_price,232.5,231,extended_hours_trade,L,25,26,23802778667161,,regular,
5504,DASH,232.06,1119410,2025-12-24T18:50:54Z,False,1277258.24,prior_reference_price,232,231,extended_hours_trade,L,20,6,23802776608805,,regular,
2040,DASH,232.06,1113129,2025-12-24T18:01:00Z,False,473402.40,prior_reference_price,232.77,231,extended_hours_trade,L,10,3,23802773614649,,regular,
8927,DASH,232.06,1111089,2025-12-24T18:00:53Z,False,2071599.62,prior_reference_price,232.77,231,extended_hours_trade,L,10,3,23802773608334,,regular,
467,DASH,232.06,1101597,2025-12-24T18:00:49Z,False,108372.02,,232.77,231,extended_hours_trade,L,10,3,23802773604158,,seller,
4142,DASH,232.06,1100895,2025-12-24T18:00:23Z,False,961192.52,prior_reference_price,232.77,231,extended_hours_trade,L,10,3,23802773578104,,regular,
582,DASH,232.06,953612,2025-12-24T18:00:00Z,False,135058.92,,232.77,231.53,extended_hours_trade,L,10,56,23802773555119,,regular,
1000,DASH,232.06,952559,2025-12-24T18:00:00Z,False,232060.00,,232.15,232.09,extended_hours_trade,L,284,21,23802773554513,,regular,
492,DASH,232.19,945425,2025-12-24T17:59:51Z,False,114237.48,,232.21,232.15,,L,360,4,23802773545441,,regular,
500,DASH,232.3,927203,2025-12-24T17:59:18Z,False,116150.0,,232.35,232.3,,L,1017,8,23802773513300,,regular,
500,DASH,232.3204,922069,2025-12-24T17:59:11Z,False,116160.2000,,232.35,232.32,,L,477,140,23802773506141,,regular,
600,DASH,232.3,918822,2025-12-24T17:59:02Z,False,139380.0,,232.32,232.27,,L,1179,43,23802773497113,,regular,
500,DASH,232.29,905391,2025-12-24T17:58:51Z,False,116145.00,,232.3,232.28,,L,223,167,23802773486202,,regular,
500,DASH,232.27,899594,2025-12-24T17:58:28Z,False,116135.00,,232.3,232.24,,L,50,50,23802773463418,,regular,
500,DASH,232.24,891523,2025-12-24T17:58:09Z,False,116120.00,,232.27,232.24,,L,751,32,23802773443563,,regular,
500,DASH,232.2188,887610,2025-12-24T17:58:02Z,False,116109.4000,,232.23,232.21,,L,660,141,23802773436777,,regular,
500,DASH,232.264,854563,2025-12-24T17:56:05Z,False,116132.000,,232.33,232.26,,L,174,1,23802773319850,,regular,
500,DASH,232.46,769067,2025-12-24T17:41:51Z,False,116230.00,,232.46,232.33,,L,211,161,23802772465708,,regular,
500,DASH,232.4599,768476,2025-12-24T17:41:47Z,False,116229.9500,,232.46,232.33,,L,201,161,23802772462224,,regular,
500,DASH,232.42,767826,2025-12-24T17:41:39Z,False,116210.00,,232.47,232.33,,L,141,201,23802772454216,,regular,
500,DASH,232.42,767274,2025-12-24T17:41:34Z,False,116210.00,,232.47,232.34,,L,141,10,23802772449044,,regular,
500,DASH,232.42,766677,2025-12-24T17:41:31Z,False,116210.00,,232.47,232.34,,L,91,10,23802772446333,,regular,
500,DASH,232.42,765628,2025-12-24T17:41:26Z,False,116210.00,,232.47,232.34,,L,91,10,23802772440555,,regular,
760,DASH,232.385,757942,2025-12-24T17:40:21Z,False,176612.600,,232.44,232.33,,L,58,51,23802772375954,,regular,
464,DASH,232.41,750653,2025-12-24T17:40:04Z,False,107838.24,,232.5,232.41,,L,38,20,23802772358568,,regular,
462,DASH,232.375,728680,2025-12-24T17:33:40Z,False,107357.250,,232.4,232.35,,L,25,100,23802771974989,,regular,
500,DASH,232.52,726474,2025-12-24T17:33:16Z,False,116260.00,,232.52,232.31,,L,10,10,23802771950814,,regular,
500,DASH,232.54,725568,2025-12-24T17:33:02Z,False,116270.00,,232.54,232.39,,L,107,1,23802771937075,,regular,
500,DASH,232.46,725027,2025-12-24T17:32:59Z,False,116230.00,,232.54,232.39,,L,67,1,23802771933807,,regular,
500,DASH,232.46,724487,2025-12-24T17:32:52Z,False,116230.00,,232.54,232.39,,L,67,1,23802771926684,,regular,
500,DASH,232.39,723980,2025-12-24T17:32:49Z,False,116195.00,,232.54,232.39,,L,67,11,23802771924106,,regular,
500,DASH,232.47,723383,2025-12-24T17:32:45Z,False,116235.00,,232.54,232.38,,L,67,40,23802771920065,,regular,
500,DASH,232.46,722749,2025-12-24T17:32:42Z,False,116230.00,,232.54,232.38,,L,67,40,23802771917288,,regular,
500,DASH,232.47,722217,2025-12-24T17:32:39Z,False,116235.00,,232.54,232.38,,L,67,40,23802771914306,,regular,
500,DASH,232.48,721677,2025-12-24T17:32:36Z,False,116240.00,,232.54,232.38,,L,66,40,23802771911313,,regular,
500,DASH,232.46,721082,2025-12-24T17:32:33Z,False,116230.00,,232.54,232.38,,L,66,40,23802771907892,,regular,
500,DASH,232.39,720565,2025-12-24T17:32:30Z,False,116195.00,,232.54,232.38,,L,56,40,23802771904808,,regular,
600,DASH,232.45,706676,2025-12-24T17:30:52Z,False,139470.00,,232.51,232.38,,L,10,84,23802771806769,,regular,
1627,DASH,232.2992,626315,2025-12-24T17:10:07Z,False,377950.7984,,232.3,232.24,,L,81,1,23802770562205,,regular,
440,DASH,232.2821,587189,2025-12-24T17:03:32Z,False,102204.1240,average_price_trade,232.79,232.65,,L,135,9,23802770166462,derivative_priced,regular,
500,DASH,232.78,586087,2025-12-24T17:02:50Z,False,116390.00,,232.78,232.6,,L,10,49,23802770125156,,regular,
500,DASH,232.736,585586,2025-12-24T17:02:48Z,False,116368.000,,232.79,232.6,,L,1,129,23802770122877,,regular,
500,DASH,232.4801,581863,2025-12-24T17:01:50Z,False,116240.0500,,232.68,232.49,,L,11,10,23802770065307,,regular,
700,DASH,232.115,571420,2025-12-24T16:59:51Z,False,162480.500,,232.18,232.11,,L,92,16,23802769946069,,regular,
700,DASH,232.1,570522,2025-12-24T16:59:49Z,False,162470.0,,232.17,232.04,,L,14,175,23802769943834,,regular,
700,DASH,232.1016,569781,2025-12-24T16:59:46Z,False,162471.1200,,232.18,232.1,,L,104,5,23802769940909,,regular,
700,DASH,232.11,568887,2025-12-24T16:59:43Z,False,162477.00,,232.18,232.1,,L,104,5,23802769937832,,regular,
700,DASH,232.17,568065,2025-12-24T16:59:38Z,False,162519.00,,232.18,232.1,,L,104,5,23802769932516,,regular,
700,DASH,232.1288,567231,2025-12-24T16:59:36Z,False,162490.1600,,232.18,232.11,,L,92,18,23802769930802,,regular,
700,DASH,232.0584,565511,2025-12-24T16:59:27Z,False,162440.8800,,232.17,232.05,,L,73,10,23802769921888,,regular,
700,DASH,232.05,564754,2025-12-24T16:59:24Z,False,162435.00,,232.17,232.05,,L,73,10,23802769918824,,regular,
700,DASH,232.09,564039,2025-12-24T16:59:18Z,False,162463.00,,232.17,232.05,,L,73,10,23802769913337,,regular,
700,DASH,232.05,562486,2025-12-24T16:59:14Z,False,162435.00,,232.17,232.05,,L,73,10,23802769908783,,regular,
700,DASH,232.085,561778,2025-12-24T16:59:06Z,False,162459.500,,232.17,232.04,,L,70,5,23802769900712,,regular,
700,DASH,232.17,561038,2025-12-24T16:59:03Z,False,162519.00,,232.17,232.04,,L,70,5,23802769898414,,regular,
700,DASH,232.1008,560338,2025-12-24T16:59:01Z,False,162470.5600,,232.18,232.04,,L,233,15,23802769896043,,regular,
700,DASH,232.1162,559567,2025-12-24T16:58:58Z,False,162481.3400,,232.18,232.05,,L,233,10,23802769893386,,regular,
700,DASH,232.095,558862,2025-12-24T16:58:55Z,False,162466.500,,232.18,232.05,,L,233,10,23802769890334,,regular,
700,DASH,232.065,556996,2025-12-24T16:58:45Z,False,162445.500,,232.12,232,,L,10,80,23802769880264,,regular,
700,DASH,232.0728,556007,2025-12-24T16:58:18Z,False,162450.9600,,232.12,232,,L,10,40,23802769852481,,regular,
700,DASH,232.0488,555184,2025-12-24T16:57:57Z,False,162434.1600,,232.13,232,,L,61,50,23802769832330,,regular,
700,DASH,232.01,554484,2025-12-24T16:57:55Z,False,162407.00,,232.13,232.01,,L,61,10,23802769829985,,regular,
500,DASH,232.065,553544,2025-12-24T16:57:47Z,False,116032.500,,232.13,231.98,,L,20,10,23802769821467,,regular,
500,DASH,232,552971,2025-12-24T16:57:44Z,False,116000,,232.13,231.98,,L,10,10,23802769818818,,regular,
500,DASH,232.0336,552391,2025-12-24T16:57:40Z,False,116016.8000,,232.13,231.98,,L,10,10,23802769815339,,regular,
500,DASH,232,551871,2025-12-24T16:57:38Z,False,116000,,232.13,231.98,,L,10,10,23802769812812,,regular,
500,DASH,231.9,538078,2025-12-24T16:53:49Z,False,115950.0,,231.96,231.89,,L,18,25,23802769583962,,regular,
500,DASH,231.9,537578,2025-12-24T16:53:46Z,False,115950.0,,231.96,231.89,,L,18,25,23802769580797,,regular,
500,DASH,231.9,537078,2025-12-24T16:53:43Z,False,115950.0,,231.96,231.89,,L,18,25,23802769578110,,regular,
500,DASH,231.975,535635,2025-12-24T16:53:36Z,False,115987.500,,232.02,231.93,,L,149,20,23802769570916,,regular,
500,DASH,232.02,535134,2025-12-24T16:53:33Z,False,116010.00,,232.02,231.93,,L,149,20,23802769568036,,regular,
500,DASH,231.94,534591,2025-12-24T16:53:29Z,False,115970.00,,232.02,231.94,,L,158,40,23802769564132,,regular,
500,DASH,231.9404,534050,2025-12-24T16:53:27Z,False,115970.2000,,232.04,231.94,,L,230,40,23802769562031,,regular,
500,DASH,231.94,533542,2025-12-24T16:53:24Z,False,115970.00,,232.04,231.94,,L,230,40,23802769559398,,regular,
500,DASH,231.99,532849,2025-12-24T16:53:22Z,False,115995.00,,232.04,231.94,,L,212,40,23802769557253,,regular,
500,DASH,232.02,507884,2025-12-24T16:48:31Z,False,116010.00,,232.1,232.02,,L,210,35,23802769266342,,regular,
500,DASH,232.05,507272,2025-12-24T16:48:27Z,False,116025.00,,232.1,232.02,,L,187,35,23802769261580,,regular,
500,DASH,232.06,506635,2025-12-24T16:48:18Z,False,116030.00,,232.1,232.04,,L,173,23,23802769252659,,regular,
500,DASH,232.0664,505975,2025-12-24T16:48:14Z,False,116033.2000,,232.1,232.04,,L,133,23,23802769248706,,regular,
500,DASH,232.08,505443,2025-12-24T16:48:10Z,False,116040.00,,232.1,232.04,,L,12,23,23802769244650,,regular,
500,DASH,232.08,504899,2025-12-24T16:48:07Z,False,116040.00,,232.1,232.04,,L,12,23,23802769242125,,regular,
500,DASH,232.09,502583,2025-12-24T16:47:58Z,False,116045.00,,232.2,232.04,,L,24,152,23802769232615,,regular,
500,DASH,232.2,502083,2025-12-24T16:47:55Z,False,116100.0,,232.2,232.04,,L,24,112,23802769229512,,regular,
500,DASH,232.2684,500583,2025-12-24T16:47:52Z,False,116134.2000,,232.32,232.19,,L,10,83,23802769227002,,regular,
500,DASH,232.3,500014,2025-12-24T16:47:39Z,False,116150.0,,232.32,232.19,,L,10,72,23802769213972,,regular,
500,DASH,232.19,499502,2025-12-24T16:47:37Z,False,116095.00,,232.32,232.19,,L,10,42,23802769211891,,regular,
500,DASH,232.239,498998,2025-12-24T16:47:35Z,False,116119.500,,232.32,232.19,,L,10,42,23802769209495,,regular,
500,DASH,232.26,498458,2025-12-24T16:47:32Z,False,116130.00,,232.32,232.19,,L,10,42,23802769206787,,regular,
1218,DASH,232.425,463285,2025-12-24T16:29:21Z,False,283093.650,,232.5,232.36,,L,138,10,23802768116246,,regular,
928,DASH,232.375,434822,2025-12-24T16:11:56Z,False,215644.000,,232.38,232.27,,L,24,1,23802767071063,,regular,
2352,DASH,232.375,433854,2025-12-24T16:11:56Z,False,546546.000,,232.38,232.27,,L,24,1,23802767070800,,regular,
949,DASH,232.27,428011,2025-12-24T16:11:12Z,False,220424.23,,232.33,232.2,,L,10,60,23802767026752,,regular,
1971,DASH,232.27,427062,2025-12-24T16:11:12Z,False,457804.17,,232.33,232.2,,L,10,60,23802767026647,,regular,
510,DASH,232.33,423426,2025-12-24T16:10:19Z,False,118488.30,,232.39,232.28,,L,184,3,23802766974137,,regular,
759,DASH,232.33,422195,2025-12-24T16:09:30Z,False,176338.47,,232.39,232.28,,L,104,3,23802766925056,,regular,
