size,ticker,price,volume,executed_at,canceled,premium,sale_cond_codes,nbbo_bid,nbbo_ask,ext_hour_sold_codes,market_center,nbbo_ask_quantity,nbbo_bid_quantity,tracking_id,trade_code,trade_settlement,trf_executed_at
1294,DDOG,214,4838672,2026-09-03T23:50:28Z,False,276916,,213.6,214,extended_hours_trade,L,100,1,40377073377722,,regular,2026-09-03T23:50:28Z
1000,DDOG,214.7389,4834303,2026-09-03T23:00:12Z,False,214738.9000,,214,215,extended_hours_trade,L,20,40,40377070362276,,regular,2026-09-03T23:00:12Z
63374,DDOG,214.76,4832091,2026-09-03T21:43:19Z,False,13610200.24,prior_reference_price,213.6,215,extended_hours_trade,L,20,1,40377065749181,,regular,2026-09-03T21:43:19Z
4787,DDOG,214.76,4768619,2026-09-03T21:07:48Z,False,1028056.12,prior_reference_price,213.6,215,extended_hours_trade,L,20,1,40377063618583,,regular,2026-09-03T21:07:48Z
3652,DDOG,214.76,4763832,2026-09-03T21:07:48Z,False,784303.52,prior_reference_price,213.6,215,extended_hours_trade,L,20,1,40377063618576,,regular,2026-09-03T21:07:48Z
30781,DDOG,214.76,4760150,2026-09-03T21:06:56Z,False,6610527.56,average_price_trade,213.6,215,extended_hours_trade,L,20,1,40377063565933,,regular,2026-09-03T21:06:55Z
39953,DDOG,214.76,4729139,2026-09-03T20:50:02Z,False,8580306.28,prior_reference_price,213.6,215,extended_hours_trade,L,20,1,40377062551770,,regular,2026-09-03T20:50:02Z
498,DDOG,214.76,4688275,2026-09-03T20:20:00Z,False,106950.48,prior_reference_price,213.31,215.5,extended_hours_trade,L,50,5,40377060750171,,regular,2026-09-03T20:20:00Z
2610,DDOG,214.76,4687534,2026-09-03T20:10:32Z,False,560523.60,prior_reference_price,213.31,215.59,extended_hours_trade,L,100,5,40377060182027,,regular,2026-09-03T20:10:31Z
806,DDOG,214.76,4683714,2026-09-03T20:07:43Z,False,173096.56,,213.31,215.59,extended_hours_trade,L,100,5,40377060013414,,regular,2026-09-03T20:07:43Z
2184,DDOG,214.76,4682021,2026-09-03T20:00:45Z,False,469035.84,prior_reference_price,213.31,215.59,extended_hours_trade,L,100,5,40377059594934,,regular,2026-09-03T20:00:45Z
1163,DDOG,214.76,4679556,2026-09-03T20:00:45Z,False,249765.88,prior_reference_price,213.31,215.59,extended_hours_trade,L,100,5,40377059594916,,regular,2026-09-03T20:00:45Z
538,DDOG,214.76,4678393,2026-09-03T20:00:45Z,False,115540.88,prior_reference_price,213.31,215.59,extended_hours_trade,L,100,5,40377059594914,,regular,2026-09-03T20:00:45Z
2190,DDOG,214.76,4677564,2026-09-03T20:00:44Z,False,470324.40,prior_reference_price,213.31,215.59,extended_hours_trade,L,100,5,40377059594540,,regular,2026-09-03T20:00:44Z
821,DDOG,214.76,4675203,2026-09-03T20:00:44Z,False,176317.96,prior_reference_price,213.31,215.59,extended_hours_trade,L,100,5,40377059594534,,regular,2026-09-03T20:00:44Z
521,DDOG,214.76,4674152,2026-09-03T20:00:29Z,False,111889.96,prior_reference_price,213.31,215.59,extended_hours_trade,L,100,5,40377059578996,,regular,2026-09-03T20:00:29Z
627,DDOG,214.76,4673631,2026-09-03T20:00:28Z,False,134654.52,prior_reference_price,213.31,215.59,extended_hours_trade,L,100,5,40377059578336,,regular,2026-09-03T20:00:28Z
705,DDOG,214.76,4673004,2026-09-03T20:00:27Z,False,151405.80,prior_reference_price,213.31,215.59,extended_hours_trade,L,100,5,40377059576964,,regular,2026-09-03T20:00:27Z
796,DDOG,214.76,4672299,2026-09-03T20:00:19Z,False,170948.96,prior_reference_price,213.31,215.59,extended_hours_trade,L,100,5,40377059569146,,regular,2026-09-03T20:00:19Z
65688,DDOG,214.76,4671497,2026-09-03T20:00:08Z,False,14107154.88,average_price_trade,214.68,215.28,extended_hours_trade,L,2800,1,40377059558098,,regular,2026-09-03T20:00:07Z
481,DDOG,214.76,4605402,2026-09-03T20:00:06Z,False,103299.56,,214.68,215.28,extended_hours_trade,L,2800,1,40377059556571,,regular,2026-09-03T20:00:05Z
4266,DDOG,214.76,4604921,2026-09-03T20:00:06Z,False,916166.16,average_price_trade,214.68,215.28,extended_hours_trade,L,2800,1,40377059556100,,regular,2026-09-03T20:00:06Z
541,DDOG,214.76,4600456,2026-09-03T20:00:04Z,False,116185.16,,214.68,215.28,extended_hours_trade,L,2800,1,40377059554544,,regular,2026-09-03T20:00:04Z
528,DDOG,214.76,4599521,2026-09-03T20:00:04Z,False,113393.28,,214.68,215.28,extended_hours_trade,L,2800,1,40377059554537,,regular,2026-09-03T20:00:04Z
1787,DDOG,214.76,4598283,2026-09-03T20:00:02Z,False,383776.12,,214.68,215.28,extended_hours_trade,L,2800,1,40377059552601,,regular,2026-09-03T20:00:01Z
500,DDOG,214.76,4596225,2026-09-03T20:00:01Z,False,107380.00,,214.68,215.28,extended_hours_trade,L,2800,1,40377059551665,,regular,2026-09-03T20:00:00Z
700,DDOG,214.76,3928744,2026-09-03T20:00:01Z,False,150332.00,,214.68,215.28,extended_hours_trade,L,2800,1,40377059551208,,regular,2026-09-03T20:00:00Z
600,DDOG,214.76,3927253,2026-09-03T20:00:01Z,False,128856.00,,214.68,215.28,extended_hours_trade,L,2800,1,40377059551131,,regular,2026-09-03T20:00:00Z
1083,DDOG,214.76,3926607,2026-09-03T20:00:01Z,False,232585.08,,214.68,215.28,extended_hours_trade,L,2800,1,40377059551020,,regular,2026-09-03T20:00:01Z
1923,DDOG,214.76,3925434,2026-09-03T20:00:00Z,False,412983.48,,214.73,214.86,extended_hours_trade,L,978,1575,40377059550169,,regular,2026-09-03T20:00:00Z
900,DDOG,214.69,3906147,2026-09-03T19:59:50Z,False,193221.00,,214.65,214.74,,L,300,639,40377059540527,,regular,2026-09-03T19:59:50Z
2241,DDOG,214.565,3831697,2026-09-03T19:59:10Z,False,480840.165,,214.5,214.58,,L,48,430,40377059499936,,regular,2026-09-03T19:59:10Z
743,DDOG,214.5,3796182,2026-09-03T19:58:59Z,False,159373.5,,214.5,214.55,,L,134,4,40377059488796,,regular,2026-09-03T19:58:59Z
625,DDOG,214.42,3790212,2026-09-03T19:58:54Z,False,134012.50,,214.42,214.48,,L,18,251,40377059484296,,regular,2026-09-03T19:58:54Z
1700,DDOG,214.4945,3781977,2026-09-03T19:58:47Z,False,364640.6500,average_price_trade,214.36,214.44,,L,239,222,40377059476888,derivative_priced,regular,2026-09-03T19:58:47Z
700,DDOG,214.22,3731010,2026-09-03T19:58:35Z,False,149954.00,,214.21,214.29,,L,127,549,40377059464980,,regular,2026-09-03T19:58:35Z
500,DDOG,214.615,3681426,2026-09-03T19:58:27Z,False,107307.500,,214.55,214.68,,L,95,1077,40377059457580,,regular,2026-09-03T19:58:27Z
900,DDOG,214.8227,3629657,2026-09-03T19:57:58Z,False,193340.4300,average_price_trade,214.52,214.61,,L,138,300,40377059428429,derivative_priced,regular,2026-09-03T19:57:58Z
1000,DDOG,214.8479,3615123,2026-09-03T19:57:54Z,False,214847.9000,average_price_trade,214.76,214.84,,L,3,1,40377059423905,derivative_priced,regular,2026-09-03T19:57:54Z
500,DDOG,214.888,3599064,2026-09-03T19:57:31Z,False,107444.000,average_price_trade,214.71,214.84,,L,21,430,40377059401305,derivative_priced,regular,2026-09-03T19:57:31Z
2390,DDOG,214.775,3585893,2026-09-03T19:57:07Z,False,513312.250,,214.71,214.83,,L,18,132,40377059377302,,regular,2026-09-03T19:57:07Z
809,DDOG,214.9629,3578807,2026-09-03T19:56:52Z,False,173904.9861,average_price_trade,214.69,214.9,,L,26,487,40377059361819,derivative_priced,regular,2026-09-03T19:56:52Z
2800,DDOG,214.7172,3573654,2026-09-03T19:56:47Z,False,601208.1600,average_price_trade,214.82,214.91,,L,3,17,40377059356785,derivative_priced,regular,2026-09-03T19:56:47Z
485,DDOG,214.71,3541358,2026-09-03T19:55:59Z,False,104134.35,,214.89,214.98,,L,100,322,40377059308995,,regular,2026-09-03T19:55:59Z
500,DDOG,214.8667,3537424,2026-09-03T19:55:58Z,False,107433.3500,average_price_trade,214.78,214.81,,L,200,13,40377059307961,derivative_priced,regular,2026-09-03T19:55:58Z
540,DDOG,214.85,3492467,2026-09-03T19:55:56Z,False,116019.00,,214.83,214.84,,L,100,66,40377059306255,,regular,2026-09-03T19:55:56Z
700,DDOG,214.8875,3491262,2026-09-03T19:55:56Z,False,150421.2500,,214.83,214.84,,L,100,66,40377059306253,,regular,2026-09-03T19:55:56Z
725,DDOG,215.24,3473382,2026-09-03T19:55:51Z,False,156049.00,,214.84,215.17,,L,100,235,40377059301557,,regular,2026-09-03T19:55:51Z
5842,DDOG,214.88,3445024,2026-09-03T19:54:56Z,False,1255328.96,,214.78,215.05,,L,75,20,40377059246429,,regular,2026-09-03T19:54:56Z
600,DDOG,213.8772,3427727,2026-09-03T19:54:29Z,False,128326.3200,average_price_trade,214.54,214.66,,L,100,11,40377059218792,derivative_priced,regular,2026-09-03T19:54:29Z
500,DDOG,213.7667,3411980,2026-09-03T19:53:58Z,False,106883.3500,average_price_trade,213.59,213.77,,L,306,20,40377059187726,derivative_priced,regular,2026-09-03T19:53:58Z
2000,DDOG,213.8404,3410514,2026-09-03T19:53:47Z,False,427680.8000,average_price_trade,213.59,213.76,,L,29,20,40377059177165,derivative_priced,regular,2026-09-03T19:53:47Z
961,DDOG,213.7799,3398099,2026-09-03T19:53:09Z,False,205442.4839,,213.73,213.93,,L,40,223,40377059139677,,regular,2026-09-03T19:53:09Z
600,DDOG,213.8875,3382370,2026-09-03T19:51:57Z,False,128332.5000,average_price_trade,213.81,213.89,,L,24,56,40377059066818,derivative_priced,regular,2026-09-03T19:51:57Z
600,DDOG,214.0161,3381295,2026-09-03T19:51:47Z,False,128409.6600,average_price_trade,213.7,213.89,,L,24,220,40377059057020,derivative_priced,regular,2026-09-03T19:51:47Z
684,DDOG,213.95,3356682,2026-09-03T19:49:59Z,False,146341.80,,213.83,214.06,,L,30,200,40377058949097,,regular,2026-09-03T19:49:59Z
600,DDOG,214.1291,3355022,2026-09-03T19:49:43Z,False,128477.4600,average_price_trade,213.82,214.06,,L,1,206,40377058933454,derivative_priced,regular,2026-09-03T19:49:43Z
544,DDOG,213.94,3353113,2026-09-03T19:49:29Z,False,116383.36,,213.82,214.06,,L,32,28,40377058919662,,regular,2026-09-03T19:49:29Z
