size,ticker,price,volume,executed_at,canceled,premium,sale_cond_codes,nbbo_bid,nbbo_ask,ext_hour_sold_codes,market_center,nbbo_ask_quantity,nbbo_bid_quantity,tracking_id,trade_code,trade_settlement,trf_executed_at
20200,DECK,117.04,4219509,2025-03-13T20:02:56Z,False,2364208.00,prior_reference_price,115.56,117.99,extended_hours_trade,L,10,25,57776426179886,,,
1400,DECK,117.04,4199029,2025-03-13T20:02:52Z,False,163856.00,prior_reference_price,115.56,117.99,extended_hours_trade,L,10,25,57772755288544,,,
19396,DECK,117.04,4197587,2025-03-13T20:02:46Z,False,2270107.84,prior_reference_price,115.56,117.99,extended_hours_trade,L,10,25,57766991583337,,,
2785,DECK,117.04,4177618,2025-03-13T20:02:35Z,False,325956.40,prior_reference_price,115.56,117.99,extended_hours_trade,L,10,25,57755221013829,,,
1614,DECK,117.04,4174161,2025-03-13T20:01:57Z,False,188902.56,prior_reference_price,115.56,117.99,extended_hours_trade,L,10,25,57717359522118,,,
1770,DECK,117.04,4172546,2025-03-13T20:01:20Z,False,207160.80,prior_reference_price,115.56,117.99,extended_hours_trade,L,10,25,57680131047754,,,
1092,DECK,117.04,4169716,2025-03-13T20:01:03Z,False,127807.68,prior_reference_price,115.56,117.99,extended_hours_trade,L,10,25,57663799699336,,,
5829,DECK,117.04,4167748,2025-03-13T20:00:31Z,False,682226.16,prior_reference_price,115.56,117.99,extended_hours_trade,L,10,25,57631902660008,,,
1190,DECK,117.04,4161900,2025-03-13T20:00:28Z,False,139277.60,prior_reference_price,115.56,117.99,extended_hours_trade,L,10,25,57628095789235,,,
1300,DECK,117.04,4160581,2025-03-13T20:00:27Z,False,152152.00,prior_reference_price,115.56,117.99,extended_hours_trade,L,10,25,57627165013454,,,
900,DECK,117.04,4157592,2025-03-13T20:00:27Z,False,105336.00,prior_reference_price,115.56,117.99,extended_hours_trade,L,10,25,57627146918451,,,
5693,DECK,117.04,4155632,2025-03-13T20:00:26Z,False,666308.72,prior_reference_price,115.56,117.99,extended_hours_trade,L,10,25,57626810828585,,,
2199,DECK,116.4765,3480516,2025-03-13T19:53:36Z,False,256131.8235,average_price_trade,116.51,116.61,,L,218,15,57216849822743,derivative_priced,,
1400,DECK,116.4665,3448302,2025-03-13T19:52:08Z,False,163053.1000,average_price_trade,116.45,116.57,,L,22,131,57128843772240,,,
1500,DECK,116.3199,3423681,2025-03-13T19:50:52Z,False,174479.8500,average_price_trade,116.36,116.51,,L,188,100,57052677645823,derivative_priced,,
1893,DECK,116.1676,3389479,2025-03-13T19:48:23Z,False,219905.2668,average_price_trade,116.36,116.47,,L,5,22,56903491020598,derivative_priced,,
1330,DECK,116.1676,3387529,2025-03-13T19:48:23Z,False,154502.9080,average_price_trade,116.36,116.47,,L,5,22,56903277883461,derivative_priced,,
1000,DECK,116.005,3360819,2025-03-13T19:46:09Z,False,116005.000,,115.97,116.04,,L,43,20,56769860970566,,,
1000,DECK,116.0206,3334528,2025-03-13T19:43:16Z,False,116020.6000,,115.96,116.04,,L,40,16,56596207851964,,,
1400,DECK,116.27,3194581,2025-03-13T19:27:41Z,False,162778.00,,116.20,116.27,,L,100,143,55661572991559,,,
4000,DECK,116.86,3154310,2025-03-13T19:22:51Z,False,467440.00,,116.81,116.93,,L,3,163,55371013496714,,,
3500,DECK,116.75,3145884,2025-03-13T19:21:08Z,False,408625.00,,116.79,116.91,,L,174,3,55268513396523,,,
1434,DECK,116.75,3140176,2025-03-13T19:21:08Z,False,167419.50,,116.79,116.91,,L,174,3,55268503964270,,,
1000,DECK,116.90,3109233,2025-03-13T19:16:47Z,False,116900.00,,116.83,116.98,,L,102,1,55007026129204,,,
1100,DECK,116.91,3101435,2025-03-13T19:16:39Z,False,128601.00,,116.85,116.97,,L,120,123,54999972263041,,,
1700,DECK,116.81,3077112,2025-03-13T19:11:58Z,False,198577.00,contingent_trade,116.68,116.81,,L,100,151,54718034281481,qualified_contingent_trade,,
1000,DECK,117.1066,3005511,2025-03-13T18:59:12Z,False,117106.6000,average_price_trade,117.19,117.33,,L,21,46,53952415566096,derivative_priced,,
49760,DECK,116,2981070,2025-03-13T18:53:30Z,False,5772160,average_price_trade,117.12,117.24,,L,1,100,53610233201480,derivative_priced,,
1005,DECK,117.30,2906401,2025-03-13T18:50:20Z,False,117886.50,,117.26,117.43,,L,111,1,53420081350202,,,
1440,DECK,117,2823382,2025-03-13T18:34:42Z,False,168480,,116.92,117.01,,L,6,100,52482119568636,,,
1300,DECK,117,2821942,2025-03-13T18:34:42Z,False,152100,,116.92,117.01,,L,6,100,52482098443523,,,
7891,DECK,116.7864,2770649,2025-03-13T18:25:05Z,False,921561.4824,,116.78,116.89,,L,5,7,51905270834081,,,
1000,DECK,116.8422,2760544,2025-03-13T18:24:58Z,False,116842.2000,,116.67,116.85,,L,188,27,51898784514525,,,
2167,DECK,116.755,2754529,2025-03-13T18:24:00Z,False,253008.085,,116.65,116.85,,L,100,1,51840244647658,,,
1531,DECK,116.6801,2725773,2025-03-13T18:20:10Z,False,178637.2331,,116.68,116.81,,L,1,1,51610152215065,,,
1482,DECK,116.6899,2714790,2025-03-13T18:19:12Z,False,172934.4318,,116.53,116.69,,L,53,200,51552449141036,,,
3518,DECK,116.6899,2713308,2025-03-13T18:19:12Z,False,410515.0682,,116.53,116.69,,L,53,200,51552448760490,,,
907,DECK,116.0949,2648138,2025-03-13T18:06:50Z,False,105298.0743,average_price_trade,116.12,116.27,,L,3,101,50810944665873,derivative_priced,,
2130,DECK,116.06,2624037,2025-03-13T17:59:33Z,False,247207.80,,115.89,116.01,,L,19,1,50373490537440,,,
977,DECK,116.055,2600254,2025-03-13T17:55:24Z,False,113385.735,,115.95,116.14,,L,2,100,50124952628574,,,
2921,DECK,116.31,2588372,2025-03-13T17:53:25Z,False,339741.51,,116.06,116.24,,L,13,200,50005946263143,,,
6400,DECK,115.84,2573948,2025-03-13T17:52:01Z,False,741376.00,,115.72,115.93,,L,8,40,49921750296663,,,
1000,DECK,115.4606,2560086,2025-03-13T17:49:39Z,False,115460.6000,average_price_trade,115.58,115.80,,L,39,300,49779092319384,derivative_priced,,
2500,DECK,115.37,2551926,2025-03-13T17:48:00Z,False,288425.00,,115.23,115.45,,L,10,100,49680643719052,,,
2700,DECK,115.455,2546968,2025-03-13T17:47:41Z,False,311728.500,,115.35,115.55,,L,4,167,49661317741181,,,
1200,DECK,115.455,2544268,2025-03-13T17:47:41Z,False,138546.000,,115.35,115.55,,L,4,167,49661176897058,,,
1100,DECK,115.455,2543068,2025-03-13T17:47:41Z,False,127000.500,,115.35,115.55,,L,4,167,49661171395651,,,
1733,DECK,115.4101,2492781,2025-03-13T17:42:06Z,False,200005.7033,,115.45,115.58,,L,29,20,49326784232762,,,
1754,DECK,115.495,2490397,2025-03-13T17:41:59Z,False,202578.230,,115.45,115.58,,L,27,20,49319304407690,,,
7500,DECK,115.22,2438924,2025-03-13T17:36:06Z,False,864150.00,,115.16,115.28,,L,118,100,48966578980759,,,
3188,DECK,115.15,2420286,2025-03-13T17:35:26Z,False,367098.20,,115.13,115.26,,L,113,100,48926992699434,,,
1237,DECK,115.4101,2411696,2025-03-13T17:34:56Z,False,142762.2937,,115.35,115.47,,L,122,101,48896714392707,,,
1237,DECK,115.41,2410270,2025-03-13T17:34:55Z,False,142762.17,,115.35,115.47,,L,122,101,48895838117865,,,
1000,DECK,115.41,2364389,2025-03-13T17:27:16Z,False,115410.00,,115.32,115.49,,L,100,100,48436924570969,,,
1247,DECK,115.59,2282705,2025-03-13T17:17:46Z,False,144140.73,,115.59,115.78,,2,100,100,47866301651659,,,
912,DECK,116.5619,2231900,2025-03-13T17:08:45Z,False,106304.4528,,116.54,116.69,,L,2,100,47325414810371,,,
1090,DECK,116.6113,2219242,2025-03-13T17:06:36Z,False,127106.3170,average_price_trade,116.64,116.76,,L,29,300,47196486898987,derivative_priced,,
