size,ticker,price,volume,executed_at,canceled,premium,sale_cond_codes,nbbo_ask,nbbo_bid,ext_hour_sold_codes,market_center,nbbo_ask_quantity,nbbo_bid_quantity,tracking_id,trade_code,trade_settlement,trf_executed_at
11298,DECK,96.44,3413534,2025-10-15T20:49:02Z,False,1089579.12,prior_reference_price,97,96.4,extended_hours_trade,L,50,1001,0,,regular,
5000,DECK,97.17,3394056,2025-10-15T20:17:00Z,False,485850.00,,97.2,96.51,extended_hours_trade,L,60,1000,0,,regular,
2098,DECK,96.44,3386919,2025-10-15T20:03:30Z,False,202331.12,prior_reference_price,98.9,96.44,extended_hours_trade,L,30,100,0,,regular,
1856,DECK,96.44,3384186,2025-10-15T20:02:53Z,False,178992.64,prior_reference_price,98.9,96.44,extended_hours_trade,L,30,100,0,,regular,
1186,DECK,96.44,3374610,2025-10-15T20:00:28Z,False,114377.84,prior_reference_price,96.45,96.34,extended_hours_trade,L,8,133,0,,regular,
3848,DECK,96.44,3370069,2025-10-15T20:00:28Z,False,371101.12,prior_reference_price,96.45,96.34,extended_hours_trade,L,8,133,0,,regular,
3352,DECK,96.44,3373421,2025-10-15T20:00:28Z,False,323266.88,prior_reference_price,96.45,96.34,extended_hours_trade,L,8,133,0,,regular,
4041,DECK,96.44,3362334,2025-10-15T20:00:03Z,False,389714.04,,96.45,96.34,extended_hours_trade,L,8,133,0,,regular,
4800,DECK,96.44,3353513,2025-10-15T20:00:02Z,False,462912.00,,96.45,96.34,extended_hours_trade,L,8,133,0,,regular,
2840,DECK,96.44,3357495,2025-10-15T20:00:02Z,False,273889.60,,96.45,96.34,extended_hours_trade,L,8,133,0,,regular,
2378,DECK,96.3819,3014543,2025-10-15T19:59:25Z,False,229196.1582,,96.42,96.39,,L,143,33,0,,regular,
2200,DECK,96.3242,2720998,2025-10-15T19:54:51Z,False,211913.2400,average_price_trade,96.26,96.24,,L,95,40,0,derivative_priced,regular,
1069,DECK,96.279,2702567,2025-10-15T19:54:09Z,False,102922.251,,96.3,96.22,,L,5,80,0,,regular,
1414,DECK,96.69,2535114,2025-10-15T19:45:49Z,False,136719.66,,96.72,96.69,,L,1,118,0,,regular,
1884,DECK,96.835,2431705,2025-10-15T19:37:33Z,False,182437.140,,96.85,96.81,,L,9,95,0,,regular,
1862,DECK,97.7248,2069895,2025-10-15T18:59:46Z,False,181963.5776,average_price_trade,97.76,97.71,,L,47,20,0,,regular,
1300,DECK,97.7145,2022907,2025-10-15T18:55:43Z,False,127028.8500,,97.73,97.68,,L,2,114,0,,regular,
1100,DECK,97.8,2011577,2025-10-15T18:54:59Z,False,107580.0,,97.84,97.79,,L,2,8,0,,regular,
