size,ticker,price,volume,executed_at,canceled,premium,sale_cond_codes,nbbo_ask,nbbo_bid,ext_hour_sold_codes,market_center,nbbo_ask_quantity,nbbo_bid_quantity,tracking_id,trade_code,trade_settlement,trf_executed_at
927,DELL,127.01,6220845,2025-08-06T22:13:47Z,False,117738.27,,127.99,126.94,extended_hours_trade,L,100,1,65627895501943,,regular,
22713,DELL,128.14,6215733,2025-08-06T20:49:44Z,False,2910443.82,prior_reference_price,128,127.88,extended_hours_trade,L,100,217,60584307100076,,regular,
1600,DELL,128.14,6191401,2025-08-06T20:08:19Z,False,205024.00,,128.13,126.30,extended_hours_trade,L,31,7,58099368161820,,regular,
3804,DELL,128.14,6189801,2025-08-06T20:06:38Z,False,487444.56,,128.13,127,extended_hours_trade,L,31,9,57998302213639,,regular,
1600,DELL,128.14,6185995,2025-08-06T20:05:50Z,False,205024.00,prior_reference_price,128.13,127,extended_hours_trade,L,31,9,57950903280861,,regular,
2256,DELL,128.14,6184365,2025-08-06T20:04:06Z,False,289083.84,,128.13,128,extended_hours_trade,L,31,18,57846400907051,,regular,
5921,DELL,128.14,6181145,2025-08-06T20:02:52Z,False,758716.94,prior_reference_price,128.13,128,extended_hours_trade,L,31,19,57772391777878,,regular,
2314,DELL,128.14,6175224,2025-08-06T20:02:52Z,False,296515.96,prior_reference_price,128.13,128,extended_hours_trade,L,31,19,57772082849379,,regular,
948,DELL,128.14,6170668,2025-08-06T20:02:23Z,False,121476.72,prior_reference_price,128.13,128,extended_hours_trade,L,31,19,57743447768374,,regular,
1200,DELL,128.14,6169671,2025-08-06T20:02:11Z,False,153768.00,prior_reference_price,128.13,128,extended_hours_trade,L,31,10,57731042145754,,regular,
901,DELL,128.14,6165811,2025-08-06T20:00:36Z,False,115454.14,prior_reference_price,128.13,127.50,extended_hours_trade,L,31,10,57636747801822,,regular,
1728,DELL,128.14,6164898,2025-08-06T20:00:36Z,False,221425.92,prior_reference_price,128.13,127.50,extended_hours_trade,L,31,10,57636743666770,,regular,
4696,DELL,128.14,6161459,2025-08-06T20:00:36Z,False,601745.44,prior_reference_price,128.13,127.50,extended_hours_trade,L,31,10,57636576907836,,regular,
989,DELL,128.14,6156763,2025-08-06T20:00:36Z,False,126730.46,prior_reference_price,128.13,127.50,extended_hours_trade,L,31,10,57636575316813,,regular,
783,DELL,128.14,6155774,2025-08-06T20:00:36Z,False,100333.62,prior_reference_price,128.13,127.50,extended_hours_trade,L,31,10,57636572580838,,regular,
2268,DELL,128.14,6154709,2025-08-06T20:00:25Z,False,290621.52,prior_reference_price,128.13,126.01,extended_hours_trade,L,31,100,57625986061712,,regular,
1575,DELL,128.14,6151447,2025-08-06T20:00:20Z,False,201820.50,prior_reference_price,128.13,126.01,extended_hours_trade,L,31,100,57620920190588,,regular,
800,DELL,128.14,6148653,2025-08-06T20:00:06Z,False,102512.00,,128.13,126.01,extended_hours_trade,L,31,100,57606416224408,,regular,
998,DELL,128.14,6147353,2025-08-06T20:00:06Z,False,127883.72,,128.13,126.01,extended_hours_trade,L,31,100,57606346746120,,regular,
1944,DELL,128.14,6146176,2025-08-06T20:00:06Z,False,249104.16,,128.13,126.01,extended_hours_trade,L,31,100,57606195179474,,regular,
1721,DELL,128.14,6144232,2025-08-06T20:00:06Z,False,220528.94,,128.13,126.01,extended_hours_trade,L,31,100,57606194908186,,regular,
1936,DELL,128.14,6141361,2025-08-06T20:00:06Z,False,248079.04,,128.13,126.01,extended_hours_trade,L,31,100,57606192733387,,regular,
1000,DELL,128.14,6136970,2025-08-06T20:00:02Z,False,128140.00,,128.13,120.53,extended_hours_trade,L,31,100,57602820513967,,regular,
1692,DELL,128.14,6138662,2025-08-06T20:00:02Z,False,216812.88,,128.13,120.53,extended_hours_trade,L,31,100,57602820641948,,regular,
950,DELL,128.115,5748595,2025-08-06T19:59:40Z,False,121709.250,,128.12,128.06,,L,4,90,57580493289434,,regular,
1000,DELL,128.02,5721562,2025-08-06T19:59:27Z,False,128020.00,,128.06,128.03,,2,100,14,57567997062396,,regular,
1100,DELL,128.02,5718671,2025-08-06T19:59:27Z,False,140822.00,,128.06,128.03,,L,100,14,57567973522261,,regular,
898,DELL,128.27,5626855,2025-08-06T19:58:16Z,False,115186.46,,128.28,128.25,,L,27,170,57496226007169,,regular,
800,DELL,127.8819,5509469,2025-08-06T19:56:13Z,False,102305.5200,average_price_trade,127.90,127.88,,L,141,21,57373563930025,derivative_priced,regular,
1300,DELL,127.7924,5469244,2025-08-06T19:55:04Z,False,166130.1200,average_price_trade,127.88,127.87,,L,156,26,57304910198265,derivative_priced,regular,
809,DELL,127.81,5449052,2025-08-06T19:54:29Z,False,103398.29,,127.81,127.79,,L,401,311,57269839261794,,regular,
800,DELL,127.663,5408000,2025-08-06T19:52:30Z,False,102130.400,,127.69,127.65,,L,112,2,57150505159331,,regular,
800,DELL,127.9084,5338493,2025-08-06T19:49:23Z,False,102326.7200,,127.93,127.87,,L,14,10,56963669747975,,regular,
1603,DELL,127.86,5266907,2025-08-06T19:43:34Z,False,204959.58,,127.92,127.83,,L,36,100,56614972969668,,regular,
1500,DELL,128.0924,5251392,2025-08-06T19:42:03Z,False,192138.6000,average_price_trade,128.16,128.08,,L,100,100,56523378323225,derivative_priced,regular,
2400,DELL,128.26,5236178,2025-08-06T19:41:03Z,False,307824.00,,128.21,128.17,,L,22,7,56463193890893,,regular,
1149,DELL,128.17,5231003,2025-08-06T19:40:52Z,False,147267.33,,128.19,128.13,,L,10,110,56452830925255,,regular,
1276,DELL,128.1476,5226912,2025-08-06T19:40:29Z,False,163516.3376,,128.19,128.15,,L,48,1,56429843994965,,regular,
1602,DELL,128.1405,5223151,2025-08-06T19:40:29Z,False,205281.0810,,128.19,128.15,,L,48,1,56429837295426,,regular,
1602,DELL,128.13,5220622,2025-08-06T19:40:29Z,False,205264.26,,128.19,128.15,,L,48,1,56429834708591,,regular,
9301,DELL,128.145,5212711,2025-08-06T19:40:06Z,False,1191876.645,,128.17,128.12,,L,52,30,56406606446750,,regular,
797,DELL,127.7959,5165204,2025-08-06T19:38:03Z,False,101853.3323,average_price_trade,127.92,127.88,,L,10,60,56283225983723,derivative_priced,regular,
800,DELL,127.835,5159517,2025-08-06T19:37:50Z,False,102268.000,,127.88,127.83,,L,103,11,56270412376449,,regular,
850,DELL,127.6261,5120492,2025-08-06T19:35:30Z,False,108482.1850,,127.67,127.63,,L,10,1,56130587856665,,regular,
1094,DELL,127.80,5098271,2025-08-06T19:33:39Z,False,139813.20,,127.88,127.75,,L,100,100,56019382559330,,regular,
2000,DELL,127.85,5083466,2025-08-06T19:33:02Z,False,255700.00,,127.81,127.80,,L,13,101,55982555232084,,regular,
1400,DELL,127.6109,5071987,2025-08-06T19:32:33Z,False,178655.2600,average_price_trade,127.62,127.59,,L,2,24,55953395762063,derivative_priced,regular,
883,DELL,127.6437,5066012,2025-08-06T19:31:36Z,False,112709.3871,,127.67,127.60,,L,25,6,55896537226230,,regular,
1500,DELL,127.325,4952971,2025-08-06T19:22:49Z,False,190987.500,,127.34,127.31,,L,101,3,55369978170131,,regular,
1717,DELL,127.2878,4865845,2025-08-06T19:09:49Z,False,218553.1526,,127.30,127.26,,L,5,3,54589533686175,,regular,
1426,DELL,127.32,4842686,2025-08-06T19:07:02Z,False,181558.32,,127.31,127.23,,L,2,100,54422359420676,,regular,
990,DELL,127.23,4801864,2025-08-06T19:01:44Z,False,125957.70,,127.23,127.17,,L,100,296,54104829403459,,regular,
1069,DELL,127.19,4778013,2025-08-06T18:59:47Z,False,135966.11,,127.22,127.16,,L,124,211,53987726693766,,regular,
1000,DELL,127.2949,4761330,2025-08-06T18:58:10Z,False,127294.9000,,127.31,127.28,,L,22,17,53890877652619,,regular,
1797,DELL,127.40,4739772,2025-08-06T18:54:05Z,False,228937.80,,127.43,127.37,,L,10,124,53645875846696,,regular,
900,DELL,127.41,4701586,2025-08-06T18:47:48Z,False,114669.00,,127.41,127.37,,L,150,10,53268048295950,,regular,
5001,DELL,127.4796,4634881,2025-08-06T18:39:44Z,False,637525.4796,,127.48,127.41,,L,141,4,52784490598100,,regular,
2283,DELL,127.4792,4622439,2025-08-06T18:38:36Z,False,291035.0136,,127.50,127.41,,L,169,1,52716347399273,,regular,
1682,DELL,127.545,4604044,2025-08-06T18:34:53Z,False,214530.690,,127.58,127.52,,L,100,10,52493281503791,,regular,
6857,DELL,127.68,4558314,2025-08-06T18:27:18Z,False,875501.76,,127.69,127.63,,L,100,100,52038880700964,,regular,
1048,DELL,127.71,4538771,2025-08-06T18:25:06Z,False,133840.08,,127.76,127.66,,L,100,100,51906998654145,,regular,
8975,DELL,127.705,4537539,2025-08-06T18:25:06Z,False,1146152.375,,127.75,127.66,,L,2,100,51906271197675,,regular,
800,DELL,127.705,4528406,2025-08-06T18:25:06Z,False,102164.000,,127.75,127.66,,L,2,100,51906267263023,,regular,
800,DELL,127.705,4527606,2025-08-06T18:25:06Z,False,102164.000,,127.75,127.66,,L,2,100,51906240658620,,regular,
1300,DELL,127.6685,4515804,2025-08-06T18:23:46Z,False,165969.0500,average_price_trade,127.77,127.71,,L,107,2,51826274293429,derivative_priced,regular,
1031,DELL,127.62,4504470,2025-08-06T18:21:48Z,False,131576.22,,127.67,127.62,,L,100,133,51708674868827,,regular,
1000,DELL,127.66,4493910,2025-08-06T18:19:49Z,False,127660.00,contingent_trade,127.66,127.60,,L,10,1,51589306273182,qualified_contingent_trade,regular,
1094,DELL,127.724,4484359,2025-08-06T18:18:14Z,False,139730.056,average_price_trade,127.70,127.65,,L,3,105,51494685656820,derivative_priced,regular,
1500,DELL,127.6973,4451927,2025-08-06T18:14:18Z,False,191545.9500,,127.72,127.70,,2,16,1,51258712148244,,regular,
2000,DELL,127.6701,4442518,2025-08-06T18:13:02Z,False,255340.2000,,127.72,127.68,,L,92,3,51182297156331,,regular,
1039,DELL,127.6502,4440118,2025-08-06T18:12:56Z,False,132628.5578,average_price_trade,127.72,127.67,,L,79,29,51176527329239,derivative_priced,regular,
1800,DELL,127.6676,4435657,2025-08-06T18:12:18Z,False,229801.6800,,127.70,127.64,,L,200,1,51138427145336,,regular,
1579,DELL,127.53,4403271,2025-08-06T18:05:45Z,False,201369.87,,127.55,127.48,,L,12,2,50745226630117,,regular,
1001,DELL,127.50,4397873,2025-08-06T18:04:36Z,False,127627.50,,127.53,127.48,,L,154,8,50676527455232,,regular,
1261,DELL,127.475,4381271,2025-08-06T18:01:16Z,False,160745.975,,127.50,127.45,,L,203,47,50476860793159,,regular,
1884,DELL,127.3504,4355624,2025-08-06T17:56:25Z,False,239928.1536,,127.36,127.33,,L,14,1,50185543786218,,regular,
1823,DELL,127.252,4341700,2025-08-06T17:53:00Z,False,231980.396,,127.30,127.23,,L,228,1,49980186569595,,regular,
1484,DELL,127.235,4339699,2025-08-06T17:52:56Z,False,188816.740,,127.31,127.23,,L,310,1,49976339913626,,regular,
900,DELL,127.502,4326986,2025-08-06T17:50:42Z,False,114751.800,average_price_trade,127.35,127.27,,L,107,1,49842561664549,derivative_priced,regular,
3000,DELL,127.575,4310572,2025-08-06T17:47:45Z,False,382725.000,,127.61,127.53,,L,69,217,49665940617648,,regular,
1100,DELL,127.54,4222878,2025-08-06T17:36:55Z,False,140294.00,,127.64,127.57,,L,82,104,49015240394697,,regular,
2500,DELL,127.54,4225838,2025-08-06T17:36:55Z,False,318850.00,,127.64,127.57,,L,82,104,49015240911470,,regular,
800,DELL,127.54,4216393,2025-08-06T17:36:55Z,False,102032.00,,127.64,127.57,,2,82,104,49015216351964,,regular,
1257,DELL,127.54,4211010,2025-08-06T17:36:55Z,False,160317.78,,127.60,127.55,,L,1,5,49015206794832,,regular,
1000,DELL,127.73,4194107,2025-08-06T17:34:32Z,False,127730.00,,127.74,127.69,,L,1,100,48872568850195,,regular,
1000,DELL,127.545,4169486,2025-08-06T17:31:00Z,False,127545.000,,127.59,127.54,,L,200,16,48660139299303,,regular,
1482,DELL,127.41,4151996,2025-08-06T17:26:40Z,False,188821.62,,127.43,127.33,,L,21,1,48400834780891,,regular,
1195,DELL,127.4702,4092304,2025-08-06T17:14:35Z,False,152326.8890,,127.58,127.47,,L,5,200,47675722361553,,regular,
900,DELL,127.569,4084516,2025-08-06T17:13:15Z,False,114812.100,average_price_trade,127.60,127.49,,L,53,100,47595220760540,derivative_priced,regular,
1200,DELL,127.5744,4073438,2025-08-06T17:11:26Z,False,153089.2800,average_price_trade,127.62,127.53,,L,208,41,47486541068133,derivative_priced,regular,
6000,DELL,127.48,4056945,2025-08-06T17:08:12Z,False,764880.00,,127.59,127.48,,L,2,2,47292044199767,,regular,
1800,DELL,127.8647,4043495,2025-08-06T17:06:26Z,False,230156.4600,average_price_trade,127.88,127.78,,L,156,229,47186539443159,derivative_priced,regular,
2100,DELL,127.875,4034906,2025-08-06T17:05:25Z,False,268537.500,,127.90,127.83,,L,3,105,47125042704907,,regular,
1000,DELL,127.917,4024780,2025-08-06T17:03:42Z,False,127917.000,,127.93,127.90,,L,630,100,47022906962680,,regular,
1300,DELL,127.795,4017509,2025-08-06T17:03:14Z,False,166133.500,,127.85,127.74,,L,57,126,46994275912823,,regular,
900,DELL,127.836,4015584,2025-08-06T17:03:00Z,False,115052.400,average_price_trade,127.85,127.74,,L,57,26,46980429026474,derivative_priced,regular,
1000,DELL,127.89,4005278,2025-08-06T17:01:37Z,False,127890.00,,127.90,127.85,,L,19,17,46897524929347,,regular,
1000,DELL,127.65,3985134,2025-08-06T16:56:45Z,False,127650.00,,127.65,127.60,,L,4,19,46605317984898,,regular,
1698,DELL,127.615,3975711,2025-08-06T16:55:27Z,False,216690.270,,127.68,127.62,,L,100,2,46527923784590,,regular,
1800,DELL,127.56,3971372,2025-08-06T16:54:40Z,False,229608.00,,127.66,127.53,,L,100,100,46480173835691,,regular,
1200,DELL,127.5879,3953261,2025-08-06T16:51:42Z,False,153105.4800,average_price_trade,127.67,127.51,,L,62,9,46302478483143,derivative_priced,regular,
1200,DELL,127.7223,3919433,2025-08-06T16:45:14Z,False,153266.7600,average_price_trade,127.58,127.48,,L,10,24,45914895785317,derivative_priced,regular,
1200,DELL,127.79,3902104,2025-08-06T16:42:18Z,False,153348.00,,127.84,127.73,,L,20,10,45738418684889,,regular,
1200,DELL,127.6892,3878697,2025-08-06T16:38:53Z,False,153227.0400,,127.72,127.65,,L,282,8,45533887206610,,regular,
800,DELL,127.6527,3857790,2025-08-06T16:34:56Z,False,102122.1600,average_price_trade,127.57,127.50,,L,102,8,45296417532727,derivative_priced,regular,
1500,DELL,127.5501,3836566,2025-08-06T16:32:02Z,False,191325.1500,,127.64,127.58,,L,131,100,45122168706212,,regular,
2329,DELL,127.6801,3822257,2025-08-06T16:30:21Z,False,297366.9529,,127.77,127.69,,L,6,10,45021217107425,,regular,
1687,DELL,127.6801,3823944,2025-08-06T16:30:21Z,False,215396.3287,,127.77,127.69,,L,6,10,45021217131689,,regular,
1000,DELL,127.69,3819528,2025-08-06T16:30:21Z,False,127690.00,,127.77,127.69,,L,6,10,45021213773959,,regular,
800,DELL,127.71,3817854,2025-08-06T16:30:21Z,False,102168.00,,127.83,127.69,,L,201,10,45021186876184,,regular,
