size,ticker,price,volume,executed_at,canceled,premium,sale_cond_codes,nbbo_bid,nbbo_ask,ext_hour_sold_codes,market_center,nbbo_ask_quantity,nbbo_bid_quantity,tracking_id,trade_code,trade_settlement,trf_executed_at
852,DG,126.46,2361372,2026-04-20T20:01:49Z,False,107743.92,prior_reference_price,124.55,127.15,extended_hours_trade,L,8,1,25456343273089,,regular,2026-04-20T20:01:49Z
1472,DG,126.46,2358775,2026-04-20T20:00:35Z,False,186149.12,prior_reference_price,124.55,127.15,extended_hours_trade,L,8,1,25456343198901,,regular,2026-04-20T20:00:35Z
3257,DG,126.46,2355296,2026-04-20T20:00:27Z,False,411880.22,prior_reference_price,124.55,127.15,extended_hours_trade,L,8,1,25456343191261,,regular,2026-04-20T20:00:27Z
3917,DG,126.46,2352031,2026-04-20T20:00:27Z,False,495343.82,prior_reference_price,124.55,127.15,extended_hours_trade,L,8,1,25456343191230,,regular,2026-04-20T20:00:27Z
1000,DG,126.46,2348114,2026-04-20T20:00:27Z,False,126460.00,prior_reference_price,124.55,127.15,extended_hours_trade,L,8,1,25456343191222,,regular,2026-04-20T20:00:27Z
809,DG,126.46,2346759,2026-04-20T20:00:27Z,False,102306.14,prior_reference_price,124.55,127.15,extended_hours_trade,L,8,1,25456343191044,,regular,2026-04-20T20:00:27Z
1173,DG,126.46,2345950,2026-04-20T20:00:27Z,False,148337.58,prior_reference_price,124.55,127.15,extended_hours_trade,L,8,1,25456343191007,,regular,2026-04-20T20:00:27Z
829,DG,126.46,2340978,2026-04-20T20:00:04Z,False,104835.34,,124.55,127.45,extended_hours_trade,L,1,1,25456343167998,,regular,2026-04-20T20:00:04Z
900,DG,126.46,2339326,2026-04-20T20:00:02Z,False,113814.00,,124.92,126.95,extended_hours_trade,L,52,52,25456343166272,,regular,2026-04-20T20:00:02Z
1052,DG,126.46,2338364,2026-04-20T20:00:02Z,False,133035.92,,124.92,126.95,extended_hours_trade,L,52,52,25456343166248,,regular,2026-04-20T20:00:02Z
830,DG,126.4481,1931827,2026-04-20T19:59:29Z,False,104951.9230,,126.44,126.45,,L,117,254,25456343132494,,regular,2026-04-20T19:59:29Z
1084,DG,126.4699,1909639,2026-04-20T19:59:14Z,False,137093.3716,,126.46,126.47,,L,75,257,25456343118148,,regular,2026-04-20T19:59:14Z
1000,DG,126.28,1855470,2026-04-20T19:58:57Z,False,126280.00,,126.44,126.49,,L,84,174,25456343101328,,regular,2026-04-20T19:58:57Z
1750,DG,125.8888,1699824,2026-04-20T19:55:25Z,False,220305.4000,average_price_trade,126.17,126.2,,L,12,254,25456342889174,derivative_priced,regular,2026-04-20T19:55:25Z
1500,DG,126.1,1674958,2026-04-20T19:54:51Z,False,189150.0,,125.94,126,,L,156,1,25456342854864,,regular,2026-04-20T19:54:51Z
1000,DG,125.47,1558376,2026-04-20T19:47:41Z,False,125470.00,,125.48,125.57,,L,702,16,25456342424871,,regular,2026-04-20T19:47:41Z
840,DG,125.535,1511072,2026-04-20T19:41:03Z,False,105449.400,,125.51,125.56,,L,578,679,25456342026847,,regular,2026-04-20T19:41:03Z
1000,DG,125.59,1496779,2026-04-20T19:39:15Z,False,125590.00,,125.51,125.61,,L,40,105,25456341918681,,regular,2026-04-20T19:39:15Z
1000,DG,125.63,1494644,2026-04-20T19:38:54Z,False,125630.00,,125.59,125.69,,L,145,20,25456341898073,,regular,2026-04-20T19:38:54Z
1000,DG,125.665,1484660,2026-04-20T19:37:31Z,False,125665.000,,125.65,125.7,,L,4,20,25456341814561,,regular,2026-04-20T19:37:31Z
1000,DG,125.525,1439366,2026-04-20T19:30:35Z,False,125525.000,,125.48,125.56,,L,38,138,25456341398854,,regular,2026-04-20T19:30:35Z
1000,DG,125.525,1429886,2026-04-20T19:29:55Z,False,125525.000,,125.5,125.52,,L,1,100,25456341359077,,regular,2026-04-20T19:29:55Z
1000,DG,125.42,1408373,2026-04-20T19:25:30Z,False,125420.00,,125.44,125.48,,L,110,12,25456341094281,,regular,2026-04-20T19:25:30Z
1000,DG,125.28,1383994,2026-04-20T19:18:44Z,False,125280.00,,125.21,125.27,,L,20,110,25456340688261,,regular,2026-04-20T19:18:44Z
1000,DG,125.325,1379864,2026-04-20T19:18:32Z,False,125325.000,,125.3,125.37,,L,133,4,25456340675545,,regular,2026-04-20T19:18:32Z
1000,DG,125.38,1375668,2026-04-20T19:16:36Z,False,125380.00,,125.34,125.41,,L,20,48,25456340560019,,regular,2026-04-20T19:16:36Z
1000,DG,125.27,1355348,2026-04-20T19:11:54Z,False,125270.00,,125.18,125.31,,L,20,27,25456340278264,,regular,2026-04-20T19:11:54Z
1000,DG,125.345,1351781,2026-04-20T19:11:41Z,False,125345.000,,125.29,125.4,,L,111,40,25456340264592,,regular,2026-04-20T19:11:41Z
1000,DG,125.345,1350151,2026-04-20T19:11:27Z,False,125345.000,,125.31,125.4,,L,44,12,25456340251009,,regular,2026-04-20T19:11:27Z
1240,DG,125.295,1321783,2026-04-20T19:04:34Z,False,155365.800,,125.32,125.33,,L,12,35,25456339838162,,regular,2026-04-20T19:04:34Z
1000,DG,125.01,1221629,2026-04-20T18:31:40Z,False,125010.00,,124.93,125.02,,L,41,150,25456337864329,,regular,2026-04-20T18:31:40Z
946,DG,125.085,1212141,2026-04-20T18:31:23Z,False,118330.410,,125.04,125.13,,L,45,10,25456337847147,,regular,2026-04-20T18:31:23Z
1000,DG,125.05,1196549,2026-04-20T18:29:13Z,False,125050.00,,125.02,125.1,,L,310,1,25456337716483,,regular,2026-04-20T18:29:13Z
1000,DG,125.105,1183273,2026-04-20T18:27:17Z,False,125105.000,,125.08,125.14,,L,59,220,25456337600478,,regular,2026-04-20T18:27:17Z
800,DG,125.19,1175211,2026-04-20T18:27:06Z,False,100152.00,,125.12,125.22,,L,105,12,25456337590028,,regular,2026-04-20T18:27:06Z
1000,DG,125.2199,1173946,2026-04-20T18:27:06Z,False,125219.9000,,125.12,125.22,,L,105,12,25456337590026,,regular,2026-04-20T18:27:06Z
1000,DG,125.17,1171899,2026-04-20T18:26:58Z,False,125170.00,,125.14,125.23,,L,141,19,25456337581948,,regular,2026-04-20T18:26:58Z
1000,DG,125.175,1167729,2026-04-20T18:25:38Z,False,125175.000,,125.14,125.2,,L,10,9,25456337501576,,regular,2026-04-20T18:25:38Z
1000,DG,125.165,1166677,2026-04-20T18:25:37Z,False,125165.000,,125.14,125.2,,L,46,9,25456337501388,,regular,2026-04-20T18:25:37Z
1344,DG,125.2,1150932,2026-04-20T18:17:40Z,False,168268.8,,125.2,125.27,,L,10,114,25456337024238,,regular,2026-04-20T18:17:40Z
1000,DG,125.13,1125077,2026-04-20T18:08:53Z,False,125130.00,,125.13,125.2,,L,57,20,25456336497199,,regular,2026-04-20T18:08:53Z
