size,ticker,price,volume,executed_at,canceled,premium,sale_cond_codes,nbbo_ask,nbbo_bid,ext_hour_sold_codes,market_center,nbbo_ask_quantity,nbbo_bid_quantity,tracking_id,trade_code,trade_settlement,trf_executed_at
8422,DKNG,25.87,11295875,2026-03-13T20:00:45Z,False,217877.14,prior_reference_price,25.95,25.6,extended_hours_trade,L,500,649,40059232015532,,regular,2026-03-13T20:00:45Z
4288,DKNG,25.87,11287453,2026-03-13T20:00:45Z,False,110930.56,prior_reference_price,25.95,25.6,extended_hours_trade,L,500,649,40059232015530,,regular,2026-03-13T20:00:45Z
63900,DKNG,25.87,11280053,2026-03-13T20:00:45Z,False,1653093.00,prior_reference_price,25.95,25.6,extended_hours_trade,L,500,649,40059232015071,,regular,2026-03-13T20:00:45Z
7351,DKNG,25.87,11216153,2026-03-13T20:00:45Z,False,190170.37,prior_reference_price,25.95,25.6,extended_hours_trade,L,500,649,40059232015069,,regular,2026-03-13T20:00:45Z
5500,DKNG,25.87,11208024,2026-03-13T20:00:45Z,False,142285.00,prior_reference_price,25.95,25.6,extended_hours_trade,L,500,649,40059232015063,,regular,2026-03-13T20:00:45Z
7410,DKNG,25.87,11200841,2026-03-13T20:00:01Z,False,191696.70,,25.95,25.83,extended_hours_trade,L,500,1935,40059231971791,,regular,2026-03-13T20:00:01Z
4900,DKNG,25.875,9875051,2026-03-13T19:59:50Z,False,126787.500,,25.88,25.87,,L,14586,3873,40059231960136,,regular,2026-03-13T19:59:50Z
7600,DKNG,25.8077,9243048,2026-03-13T19:58:58Z,False,196138.5200,average_price_trade,25.81,25.8,,L,14648,4628,40059231908248,derivative_priced,regular,2026-03-13T19:58:58Z
8100,DKNG,25.8248,9083312,2026-03-13T19:57:55Z,False,209180.8800,average_price_trade,25.8,25.79,,L,4095,2407,40059231845156,derivative_priced,regular,2026-03-13T19:57:55Z
9600,DKNG,25.8514,8935975,2026-03-13T19:57:02Z,False,248173.4400,average_price_trade,25.85,25.84,,L,1733,1548,40059231791844,derivative_priced,regular,2026-03-13T19:57:02Z
7690,DKNG,25.885,8478424,2026-03-13T19:54:34Z,False,199055.650,,25.93,25.92,,L,236,100,40059231644198,,regular,2026-03-13T19:54:34Z
5900,DKNG,25.8266,8379132,2026-03-13T19:53:59Z,False,152376.9400,average_price_trade,25.86,25.85,,L,133,405,40059231609555,derivative_priced,regular,2026-03-13T19:53:59Z
7500,DKNG,25.7287,8268389,2026-03-13T19:53:03Z,False,192965.2500,average_price_trade,25.78,25.77,,L,4,548,40059231553705,derivative_priced,regular,2026-03-13T19:53:03Z
35008,DKNG,25.7,8064625,2026-03-13T19:49:58Z,False,899705.6,,25.71,25.7,,L,400,300,40059231368223,,regular,2026-03-13T19:49:58Z
4000,DKNG,25.7,8026052,2026-03-13T19:49:51Z,False,102800.0,,25.72,25.71,,L,231,220,40059231361115,,regular,2026-03-13T19:49:51Z
10300,DKNG,25.7122,8002578,2026-03-13T19:48:59Z,False,264835.6600,average_price_trade,25.75,25.74,,L,101,246,40059231309246,derivative_priced,regular,2026-03-13T19:48:59Z
4000,DKNG,25.685,7953648,2026-03-13T19:47:59Z,False,102740.000,,25.69,25.68,,L,320,18,40059231249167,,regular,2026-03-13T19:47:59Z
25000,DKNG,25.68,7939484,2026-03-13T19:47:44Z,False,642000.00,,25.69,25.68,,L,433,418,40059231233859,,regular,2026-03-13T19:47:44Z
20960,DKNG,25.68,7913147,2026-03-13T19:47:44Z,False,538252.80,,25.69,25.68,,L,433,418,40059231233856,,regular,2026-03-13T19:47:44Z
25000,DKNG,25.71,7874312,2026-03-13T19:47:22Z,False,642750.00,,25.73,25.71,,L,520,150,40059231212391,,regular,2026-03-13T19:47:22Z
5000,DKNG,25.685,7786181,2026-03-13T19:46:15Z,False,128425.000,,25.69,25.68,,L,305,353,40059231145783,,regular,2026-03-13T19:46:15Z
5000,DKNG,25.685,7774926,2026-03-13T19:46:01Z,False,128425.000,,25.7,25.68,,L,315,721,40059231131619,,regular,2026-03-13T19:46:01Z
5180,DKNG,25.72,7755741,2026-03-13T19:45:17Z,False,133229.60,,25.76,25.73,,L,340,1220,40059231087186,,regular,2026-03-13T19:45:17Z
12401,DKNG,25.7,7716360,2026-03-13T19:44:54Z,False,318705.7,,25.7,25.69,,L,204,104,40059231064089,,regular,2026-03-13T19:44:54Z
5000,DKNG,25.7,7688949,2026-03-13T19:44:29Z,False,128500.0,,25.71,25.69,,L,1242,307,40059231038888,,regular,2026-03-13T19:44:29Z
4000,DKNG,25.7071,7665268,2026-03-13T19:44:16Z,False,102828.4000,,25.71,25.7,,L,400,220,40059231025984,,regular,2026-03-13T19:44:16Z
4648,DKNG,25.765,7571450,2026-03-13T19:42:25Z,False,119755.720,,25.77,25.76,,L,314,307,40059230915181,,regular,2026-03-13T19:42:25Z
5801,DKNG,25.68,7127610,2026-03-13T19:33:33Z,False,148969.68,,25.67,25.66,,L,49,400,40059230383210,,regular,2026-03-13T19:33:33Z
5400,DKNG,25.6798,7085688,2026-03-13T19:31:28Z,False,138670.9200,,25.68,25.66,,L,240,103,40059230258351,,regular,2026-03-13T19:31:28Z
