size,ticker,price,volume,executed_at,canceled,premium,sale_cond_codes,nbbo_ask,nbbo_bid,ext_hour_sold_codes,market_center,nbbo_ask_quantity,nbbo_bid_quantity,tracking_id,trade_code,trade_settlement,trf_executed_at
6504,DLTR,71.74,1826635,2025-02-12T21:22:32Z,False,466596.96,prior_reference_price,72,71.10,extended_hours_trade,L,30,1,58952000931016,,,
1980,DLTR,71.74,1819707,2025-02-12T21:06:29Z,False,142045.20,,72,71.10,extended_hours_trade,L,30,1,57989390614479,,,
1931,DLTR,71.74,1817242,2025-02-12T21:02:23Z,False,138529.94,prior_reference_price,72,71.10,extended_hours_trade,L,30,1,57743320020040,,,
1623,DLTR,71.74,1815232,2025-02-12T21:01:42Z,False,116434.02,prior_reference_price,72,71.10,extended_hours_trade,L,30,1,57702189546073,,,
1564,DLTR,71.74,1811279,2025-02-12T21:00:28Z,False,112201.36,prior_reference_price,72,71.10,extended_hours_trade,L,30,4,57628110407268,,,
1888,DLTR,71.74,1809499,2025-02-12T21:00:25Z,False,135445.12,prior_reference_price,72,71.10,extended_hours_trade,L,30,4,57625746100389,,,
1656,DLTR,71.74,1807001,2025-02-12T21:00:25Z,False,118801.44,prior_reference_price,72,71.10,extended_hours_trade,L,30,4,57625616567633,,,
2380,DLTR,71.74,1805345,2025-02-12T21:00:15Z,False,170741.20,prior_reference_price,72,71.10,extended_hours_trade,L,30,4,57615221028853,,,
2380,DLTR,71.74,1800978,2025-02-12T21:00:15Z,False,170741.20,prior_reference_price,72,71.10,extended_hours_trade,L,30,4,57615207123326,,,
2380,DLTR,71.74,1798381,2025-02-12T21:00:15Z,False,170741.20,prior_reference_price,72,71.10,extended_hours_trade,L,30,4,57615183040283,,,
2380,DLTR,71.74,1796001,2025-02-12T21:00:15Z,False,170741.20,prior_reference_price,72,71.10,extended_hours_trade,L,30,4,57615153928309,,,
2380,DLTR,71.74,1792793,2025-02-12T21:00:15Z,False,170741.20,prior_reference_price,72,71.10,extended_hours_trade,L,30,4,57615039849853,,,
2380,DLTR,71.74,1790413,2025-02-12T21:00:15Z,False,170741.20,prior_reference_price,72,71.10,extended_hours_trade,L,30,4,57615035799650,,,
5346,DLTR,71.74,1787728,2025-02-12T21:00:15Z,False,383522.04,prior_reference_price,72,71.10,extended_hours_trade,L,30,4,57615023826672,,,
2380,DLTR,71.74,1781914,2025-02-12T21:00:15Z,False,170741.20,prior_reference_price,72,71.10,extended_hours_trade,L,30,4,57615016288124,,,
3688,DLTR,71.74,1779130,2025-02-12T21:00:04Z,False,264577.12,,71.99,71.59,extended_hours_trade,L,2785,2785,57604646862242,,,
4000,DLTR,71.74,1773868,2025-02-12T21:00:04Z,False,286960.00,,71.99,71.59,extended_hours_trade,L,2785,2785,57604067671178,,,
7033,DLTR,71.74,1768654,2025-02-12T21:00:03Z,False,504547.42,,71.99,71.59,extended_hours_trade,L,2785,2785,57603774641203,,,
1577,DLTR,71.77,1412848,2025-02-12T20:57:34Z,False,113181.29,,71.76,71.74,,L,321,675,57454000534079,intermarket_sweep,,
8590,DLTR,71.83,1403367,2025-02-12T20:57:14Z,False,617019.70,,71.79,71.77,,L,1192,31,57434061704503,intermarket_sweep,,
3830,DLTR,71.60,1208097,2025-02-12T20:31:58Z,False,274228.00,,71.63,71.58,,L,54,29,55918960892940,,,
1700,DLTR,71.74,1081935,2025-02-12T19:49:58Z,False,121958.00,,71.74,71.68,,L,300,155,53398592815248,,,
1500,DLTR,71.70,1076561,2025-02-12T19:49:58Z,False,107550.00,,71.70,71.68,,L,7,20,53398520722759,,,
1500,DLTR,71.70,1078061,2025-02-12T19:49:58Z,False,107550.00,,71.70,71.68,,L,7,20,53398520733364,,,
1861,DLTR,71.545,1058529,2025-02-12T19:41:39Z,False,133145.245,,71.57,71.53,,L,140,10,52899090267503,,,
6700,DLTR,71.36,1027860,2025-02-12T19:29:01Z,False,478112.00,average_price_trade,71.43,71.35,,L,125,101,52141273193494,,,
2317,DLTR,71.19,994312,2025-02-12T19:19:10Z,False,164947.23,,71.23,71.16,,L,6,22,51550366467288,,,
1800,DLTR,71.34,978384,2025-02-12T19:16:45Z,False,128412.00,,71.34,71.30,,L,150,128,51405392128710,,,
4106,DLTR,71.32,976344,2025-02-12T19:16:45Z,False,292839.92,,71.32,71.28,,L,5,128,51405367453709,,,
2500,DLTR,71.29,959595,2025-02-12T19:12:17Z,False,178225.00,,71.32,71.29,,L,1,1,51137043158785,,,
8900,DLTR,71.29,953362,2025-02-12T19:10:25Z,False,634481.00,average_price_trade,71.33,71.28,,L,206,60,51025354302538,,,
9000,DLTR,71.321,914329,2025-02-12T19:04:40Z,False,641889.000,average_price_trade,71.34,71.26,,L,1,22,50680715418042,,,
5300,DLTR,71.33,904275,2025-02-12T19:04:21Z,False,378049.00,,71.34,71.27,,L,27,115,50661491466200,,,
6798,DLTR,71.398,874836,2025-02-12T18:59:32Z,False,485363.604,average_price_trade,71.43,71.39,,L,109,241,50372359083492,,,
2000,DLTR,71.46,849427,2025-02-12T18:53:17Z,False,142920.00,average_price_trade,71.49,71.45,,L,2,30,49997412966020,,,
2136,DLTR,71.511,833691,2025-02-12T18:48:39Z,False,152747.496,,71.58,71.51,,L,39,105,49719999371617,,,
1500,DLTR,71.57,768306,2025-02-12T18:27:11Z,False,107355.00,,71.59,71.56,,L,120,11,48431843940800,,,
1500,DLTR,71.4441,328606,2025-02-12T15:46:54Z,False,107166.1500,,71.49,71.40,,L,103,148,38814135226278,,,
3200,DLTR,71.45,325494,2025-02-12T15:46:42Z,False,228640.00,,71.49,71.40,,L,228,76,38802068422241,,,
1955,DLTR,71.035,285286,2025-02-12T15:36:17Z,False,138873.425,,71.08,71,,L,73,68,38177972411697,,,
1600,DLTR,70.50,169534,2025-02-12T15:02:12Z,False,112800.00,,70.47,70.39,,L,58,44,36132114949224,,,
4100,DLTR,70.56,152190,2025-02-12T14:59:15Z,False,289296.00,contingent_trade,70.56,70.49,,L,200,2,35955137854220,qualified_contingent_trade,,
4100,DLTR,70.55,147383,2025-02-12T14:59:15Z,False,289255.00,contingent_trade,70.56,70.49,,L,200,2,35955033838043,qualified_contingent_trade,,
1800,DLTR,70.44,134555,2025-02-12T14:57:49Z,False,126792.00,contingent_trade,70.48,70.41,,L,186,1,35869828649016,qualified_contingent_trade,,
