size,ticker,price,volume,executed_at,canceled,premium,sale_cond_codes,nbbo_bid,nbbo_ask,ext_hour_sold_codes,market_center,nbbo_ask_quantity,nbbo_bid_quantity,tracking_id,trade_code,trade_settlement,trf_executed_at
244561,DLTR,92.59,7574316,2025-10-13T21:01:09Z,False,22643902.99,average_price_trade,92.35,93.2,extended_hours_trade,L,1,100,0,,regular,
2111,DLTR,92.59,7329491,2025-10-13T20:20:00Z,False,195457.49,prior_reference_price,91.5,93.2,extended_hours_trade,L,1,5,0,,regular,
3410,DLTR,92.58,7326641,2025-10-13T20:03:27Z,False,315697.80,,91.5,93.2,extended_hours_trade,L,1,5,0,,regular,
2575,DLTR,92.59,7317748,2025-10-13T20:00:24Z,False,238419.25,prior_reference_price,91.5,93.2,extended_hours_trade,L,1,5,0,,regular,
1707,DLTR,92.59,7315173,2025-10-13T20:00:19Z,False,158051.13,prior_reference_price,91.5,93.2,extended_hours_trade,L,1,5,0,,regular,
3283,DLTR,92.59,7312645,2025-10-13T20:00:10Z,False,303972.97,,91.5,93.2,extended_hours_trade,L,1,5,0,,regular,
3334,DLTR,92.59,7309242,2025-10-13T20:00:10Z,False,308695.06,,91.5,93.2,extended_hours_trade,L,1,5,0,,regular,
27291,DLTR,92.59,7305908,2025-10-13T20:00:10Z,False,2526873.69,,91.5,93.2,extended_hours_trade,L,1,5,0,,regular,
33877,DLTR,92.59,7278617,2025-10-13T20:00:10Z,False,3136671.43,,91.5,93.2,extended_hours_trade,L,1,5,0,,regular,
1921,DLTR,92.59,7242994,2025-10-13T20:00:01Z,False,177865.39,,91.5,93.2,extended_hours_trade,L,1,5,0,,regular,
1621,DLTR,92.59,6804246,2025-10-13T20:00:00Z,False,150088.39,,91.5,93.2,extended_hours_trade,L,1,5,0,,regular,
1529,DLTR,92.57,6742610,2025-10-13T19:59:45Z,False,141539.53,,91.5,93.2,,L,1,5,0,,regular,
1275,DLTR,92.4185,6557618,2025-10-13T19:58:37Z,False,117833.5875,average_price_trade,92.44,92.46,,L,237,700,0,derivative_priced,regular,
5262,DLTR,92.4173,6545380,2025-10-13T19:58:30Z,False,486299.8326,average_price_trade,92.44,92.46,,L,237,700,0,derivative_priced,regular,
1525,DLTR,92.36,6447350,2025-10-13T19:57:37Z,False,140849.00,,92.42,92.43,,L,481,140,0,,regular,
1539,DLTR,92.6279,6281996,2025-10-13T19:56:22Z,False,142554.3381,average_price_trade,92.56,92.59,,L,479,884,0,derivative_priced,regular,
1145,DLTR,92.6358,6278679,2025-10-13T19:56:22Z,False,106067.9910,average_price_trade,92.56,92.59,,L,479,884,0,derivative_priced,regular,
1400,DLTR,92.6069,6252206,2025-10-13T19:56:12Z,False,129649.6600,average_price_trade,92.56,92.58,,L,35,851,0,derivative_priced,regular,
1455,DLTR,92.6501,6235053,2025-10-13T19:56:02Z,False,134805.8955,average_price_trade,92.56,92.59,,L,177,400,0,derivative_priced,regular,
1500,DLTR,92.66,6224443,2025-10-13T19:55:42Z,False,138990.00,,92.65,92.67,,L,436,110,0,,regular,
2900,DLTR,92.6676,6205267,2025-10-13T19:55:26Z,False,268736.0400,average_price_trade,92.58,92.6,,L,135,200,0,derivative_priced,regular,
2300,DLTR,92.6706,6190756,2025-10-13T19:55:15Z,False,213142.3800,average_price_trade,92.58,92.59,,L,24,247,0,derivative_priced,regular,
1569,DLTR,92.667,6159345,2025-10-13T19:54:59Z,False,145394.523,average_price_trade,92.7,92.73,,L,120,107,0,derivative_priced,regular,
1399,DLTR,92.6658,6138325,2025-10-13T19:54:43Z,False,129639.4542,average_price_trade,92.72,92.75,,L,210,100,0,derivative_priced,regular,
1600,DLTR,92.65,6114156,2025-10-13T19:54:28Z,False,148240.00,,92.64,92.66,,L,455,210,0,,regular,
1100,DLTR,92.65,6070250,2025-10-13T19:54:17Z,False,101915.00,,92.64,92.66,,L,101,105,0,,regular,
1185,DLTR,92.6871,6060683,2025-10-13T19:54:08Z,False,109834.2135,average_price_trade,92.63,92.66,,L,142,2,0,derivative_priced,regular,
2000,DLTR,92.705,6031179,2025-10-13T19:53:47Z,False,185410.000,,92.61,92.67,,L,143,45,0,,regular,
1500,DLTR,92.7693,5970920,2025-10-13T19:52:39Z,False,139153.9500,average_price_trade,92.73,92.76,,L,177,317,0,derivative_priced,regular,
2771,DLTR,92.6416,5944282,2025-10-13T19:52:02Z,False,256709.8736,average_price_trade,92.68,92.71,,L,80,311,0,derivative_priced,regular,
2001,DLTR,92.6416,5946283,2025-10-13T19:52:02Z,False,185375.8416,average_price_trade,92.68,92.71,,L,80,311,0,derivative_priced,regular,
2100,DLTR,92.6552,5940715,2025-10-13T19:52:00Z,False,194575.9200,average_price_trade,92.68,92.7,,L,225,311,0,derivative_priced,regular,
1751,DLTR,92.805,5783558,2025-10-13T19:48:01Z,False,162501.555,,92.8,92.82,,L,267,36,0,,regular,
1900,DLTR,92.9707,5639905,2025-10-13T19:43:46Z,False,176644.3300,average_price_trade,92.91,92.93,,L,371,313,0,derivative_priced,regular,
3000,DLTR,92.9077,5542682,2025-10-13T19:40:16Z,False,278723.1000,average_price_trade,92.97,92.99,,L,226,7,0,derivative_priced,regular,
1700,DLTR,92.9614,5529434,2025-10-13T19:39:37Z,False,158034.3800,average_price_trade,92.99,93,,L,124,5,0,derivative_priced,regular,
1100,DLTR,92.617,5305657,2025-10-13T19:25:17Z,False,101878.700,average_price_trade,92.63,92.68,,L,5,100,0,derivative_priced,regular,
1137,DLTR,92.63,5301181,2025-10-13T19:25:03Z,False,105320.31,,92.61,92.65,,L,126,200,0,,regular,
1127,DLTR,92.4936,5177861,2025-10-13T19:14:44Z,False,104240.2872,average_price_trade,92.4,92.46,,L,316,60,0,derivative_priced,regular,
1235,DLTR,92.4877,5168443,2025-10-13T19:13:50Z,False,114222.3095,average_price_trade,92.46,92.51,,L,300,354,0,,regular,
1279,DLTR,92.4,5121157,2025-10-13T19:10:15Z,False,118179.6,,92.39,92.41,,L,350,300,0,,regular,
1900,DLTR,92.4279,4973982,2025-10-13T18:56:35Z,False,175613.0100,average_price_trade,92.41,92.44,,L,43,22,0,,regular,
1100,DLTR,92.8552,4884104,2025-10-13T18:45:20Z,False,102140.7200,average_price_trade,92.76,92.79,,L,150,100,0,derivative_priced,regular,
1083,DLTR,92.74,4714338,2025-10-13T18:28:04Z,False,100437.42,,92.75,92.76,,L,112,1,0,,regular,
1105,DLTR,92.52,4484915,2025-10-13T18:04:44Z,False,102234.60,average_price_trade,92.42,92.5,,L,100,76,0,derivative_priced,regular,
12700,DLTR,92.61,4438833,2025-10-13T18:01:39Z,False,1176147.00,,92.59,92.63,,L,115,928,0,,regular,
1440,DLTR,92.39,4389726,2025-10-13T17:57:42Z,False,133041.60,,92.34,92.38,,L,118,53,0,,regular,
1219,DLTR,92.47,4215376,2025-10-13T17:38:06Z,False,112720.93,,92.44,92.48,,L,2,100,0,,regular,
9300,DLTR,92.4,4184301,2025-10-13T17:35:29Z,False,859320.0,,92.35,92.41,,L,211,91,0,,regular,
6300,DLTR,92.43,4161261,2025-10-13T17:33:59Z,False,582309.00,,92.38,92.43,,L,300,123,0,,regular,
