size,ticker,price,volume,executed_at,canceled,premium,sale_cond_codes,nbbo_ask,nbbo_bid,ext_hour_sold_codes,market_center,nbbo_ask_quantity,nbbo_bid_quantity,tracking_id,trade_code,trade_settlement,trf_executed_at
8689,DOCN,44.6002,1888564,2025-11-26T21:16:03Z,False,387531.1378,,45.3,44.9,extended_hours_trade,L,5,5,0,,regular,
6795,DOCN,45.13,1879557,2025-11-26T21:07:44Z,False,306658.35,prior_reference_price,45.3,45,extended_hours_trade,L,5,5,0,,regular,
10500,DOCN,45.13,1872750,2025-11-26T21:04:07Z,False,473865.00,prior_reference_price,45.3,45,extended_hours_trade,L,5,5,0,,regular,
6100,DOCN,45.13,1862250,2025-11-26T21:04:06Z,False,275293.00,prior_reference_price,45.3,45,extended_hours_trade,L,5,5,0,,regular,
7875,DOCN,45.13,1850772,2025-11-26T21:00:41Z,False,355398.75,prior_reference_price,45.3,45,extended_hours_trade,L,5,5,0,,regular,
5665,DOCN,45.13,1841830,2025-11-26T21:00:23Z,False,255661.45,prior_reference_price,45.3,45,extended_hours_trade,L,5,5,0,,regular,
4145,DOCN,45.13,1834172,2025-11-26T21:00:22Z,False,187063.85,prior_reference_price,45.3,45,extended_hours_trade,L,5,5,0,,regular,
12600,DOCN,45.13,1828776,2025-11-26T21:00:19Z,False,568638.00,prior_reference_price,45.3,45,extended_hours_trade,L,5,5,0,,regular,
4365,DOCN,46.19,1097768,2025-11-26T19:46:11Z,False,201619.35,,46.22,46.17,,L,100,4,0,,regular,
3600,DOCN,45.75,927850,2025-11-26T19:11:38Z,False,164700.00,,45.76,45.6,,L,28,22,0,,regular,
3100,DOCN,45.95,904434,2025-11-26T19:04:50Z,False,142445.00,,45.91,45.85,,L,68,351,0,,regular,
2946,DOCN,45.885,848787,2025-11-26T18:47:04Z,False,135177.210,,45.91,45.87,,L,10,23,0,,regular,
36900,DOCN,45.48,789952,2025-11-26T18:10:42Z,False,1678212.00,,45.48,45.4,,L,38,65,0,,regular,
4998,DOCN,45.21,502729,2025-11-26T16:49:50Z,False,225959.58,,45.25,45.17,,L,92,14,0,,regular,
5759,DOCN,44.15,315657,2025-11-26T15:29:29Z,False,254259.85,,44.24,44.1,,L,26,18,0,,regular,
7387,DOCN,45.2899,229902,2025-11-26T15:13:34Z,False,334556.4913,,45.33,45.12,,L,100,113,0,,regular,
3507,DOCN,45.19,216187,2025-11-26T15:11:20Z,False,158481.33,,45.23,45.11,,L,53,143,0,,regular,
5321,DOCN,45.255,203133,2025-11-26T15:04:46Z,False,240801.855,,45.37,45.15,,L,363,5,0,,regular,
19891,DOCN,45.34,162778,2025-11-26T14:52:11Z,False,901857.94,,45.53,45.38,,L,400,64,0,,regular,
8569,DOCN,45.6,133524,2025-11-26T14:51:19Z,False,390746.4,,45.6,45.46,,L,300,505,0,,regular,
2835,DOCN,45.4,37230,2025-11-26T13:52:15Z,False,128709.0,,45.47,45,extended_hours_trade,L,400,15,0,,regular,
