size,ticker,price,volume,executed_at,canceled,premium,sale_cond_codes,nbbo_bid,nbbo_ask,ext_hour_sold_codes,market_center,nbbo_ask_quantity,nbbo_bid_quantity,tracking_id,trade_code,trade_settlement,trf_executed_at
33007,DOCU,87.34,1823973,2025-02-18T21:11:32Z,False,2882831.38,prior_reference_price,87.34,88,extended_hours_trade,L,2,3,58292921663944,,,
1281,DOCU,87.34,1788562,2025-02-18T21:02:03Z,False,111882.54,prior_reference_price,85.90,88,extended_hours_trade,L,2,1,57723991088255,,,
1990,DOCU,87.34,1787271,2025-02-18T21:01:30Z,False,173806.60,prior_reference_price,85.90,88,extended_hours_trade,L,2,1,57690069405323,,,
1872,DOCU,87.34,1785281,2025-02-18T21:01:18Z,False,163500.48,prior_reference_price,85.90,87.88,extended_hours_trade,L,1,1,57678307661598,,,
1467,DOCU,87.34,1783409,2025-02-18T21:01:02Z,False,128127.78,prior_reference_price,86.01,87.88,extended_hours_trade,L,1,1,57662901694106,,,
1468,DOCU,87.34,1779894,2025-02-18T21:00:43Z,False,128215.12,prior_reference_price,86.01,87.88,extended_hours_trade,L,1,1,57643227762638,,,
1639,DOCU,87.34,1774382,2025-02-18T21:00:11Z,False,143150.26,prior_reference_price,86.01,87.88,extended_hours_trade,L,1,1,57611626127378,,,
2049,DOCU,87.34,1772603,2025-02-18T21:00:11Z,False,178959.66,prior_reference_price,86.01,87.88,extended_hours_trade,L,1,1,57611616291658,,,
13928,DOCU,87.34,1767513,2025-02-18T21:00:06Z,False,1216471.52,average_price_trade,86.01,87.88,extended_hours_trade,L,1,1,57606751512705,,,
1575,DOCU,87.34,1516305,2025-02-18T21:00:00Z,False,137560.50,,87.26,87.49,extended_hours_trade,L,2285,2285,57600813196227,,,
1400,DOCU,87.34,1517705,2025-02-18T21:00:00Z,False,122276.00,,87.26,87.49,extended_hours_trade,L,2285,2285,57600813232728,,,
1281,DOCU,87.2338,1389297,2025-02-18T20:54:51Z,False,111746.4978,average_price_trade,87.16,87.25,,L,27,278,57291560664761,,,
1500,DOCU,86.8297,1031272,2025-02-18T19:23:16Z,False,130244.5500,,86.79,86.86,,L,50,256,51796599070686,,,
5185,DOCU,86.80,1029321,2025-02-18T19:22:24Z,False,450058.00,,86.79,86.86,,L,50,209,51744157659295,,,
2200,DOCU,87.5199,856754,2025-02-18T17:51:31Z,False,192543.7800,,87.42,87.51,,L,10,148,46291605703806,,,
2100,DOCU,87.5199,841298,2025-02-18T17:42:09Z,False,183791.7900,,87.42,87.51,,L,10,14,45729685746334,,,
2068,DOCU,87.135,779720,2025-02-18T17:27:34Z,False,180195.180,,87.06,87.13,,L,335,23,44854347908955,,,
39085,DOCU,87.09,775375,2025-02-18T17:27:34Z,False,3403912.65,,87.05,87.10,,L,7,110,44854311293514,,,
1496,DOCU,87.09,736290,2025-02-18T17:27:34Z,False,130286.64,,87.05,87.10,,L,7,110,44854309111890,,,
2200,DOCU,86.95,617732,2025-02-18T16:40:24Z,False,191290.00,,86.83,86.91,,L,194,39,42024061618481,,,
2000,DOCU,86.67,575987,2025-02-18T16:31:11Z,False,173340.00,,86.62,86.68,,L,10,468,41471775354131,,,
8495,DOCU,86.50,550355,2025-02-18T16:23:49Z,False,734817.50,,86.46,86.50,,L,1,11,41029045849389,,,
28200,DOCU,86.365,457686,2025-02-18T15:55:02Z,False,2435493.000,,86.29,86.44,,L,12,355,39302064206873,,,
1494,DOCU,86.273,424039,2025-02-18T15:53:30Z,False,128891.862,,86.26,86.39,,L,310,628,39210207633257,,,
10000,DOCU,86.36,418727,2025-02-18T15:52:18Z,False,863600.00,,86.26,86.39,,L,210,401,39138935841842,,,
1500,DOCU,86.17,292024,2025-02-18T15:18:27Z,False,129255.00,,86.12,86.23,,L,251,9,37107303272254,,,
1350,DOCU,85.66,255102,2025-02-18T15:07:06Z,False,115641.00,,85.77,85.89,,L,201,25,36426110822111,,,
1285,DOCU,86.31,113935,2025-02-18T14:40:42Z,False,110908.35,,86.40,86.56,,2,78,25,34842257682505,,,
2796,DOCU,86.4331,109277,2025-02-18T14:40:18Z,False,241666.9476,,86.47,86.59,,L,201,14,34818769630260,,,
6870,DOCU,86.4359,86392,2025-02-18T14:37:19Z,False,593814.6330,,86.21,86.46,,L,10,1,34639371699573,,,
1158,DOCU,87.25,38031,2025-02-18T14:30:09Z,False,101035.50,,86.56,87.05,,L,5,12,34209875945618,derivative_priced,,
