size,ticker,price,volume,executed_at,canceled,premium,sale_cond_codes,nbbo_ask,nbbo_bid,ext_hour_sold_codes,market_center,nbbo_ask_quantity,nbbo_bid_quantity,tracking_id,trade_code,trade_settlement,trf_executed_at
2200,DOCU,67.0083,1932874,2025-11-13T21:01:08Z,False,147418.2600,average_price_trade,67.7,66.66,extended_hours_trade,L,250,2,0,,regular,
4094,DOCU,67.01,1930348,2025-11-13T21:00:23Z,False,274338.94,prior_reference_price,67.7,66.66,extended_hours_trade,L,250,102,0,,regular,
9900,DOCU,67.01,1926111,2025-11-13T21:00:23Z,False,663399.00,prior_reference_price,67.7,66.66,extended_hours_trade,L,250,102,0,,regular,
11684,DOCU,67.01,1915585,2025-11-13T21:00:23Z,False,782944.84,prior_reference_price,67.7,66.66,extended_hours_trade,L,250,102,0,,regular,
2277,DOCU,67.01,1903283,2025-11-13T21:00:22Z,False,152581.77,prior_reference_price,67.7,66.66,extended_hours_trade,L,250,102,0,,regular,
2085,DOCU,67.01,1898518,2025-11-13T21:00:02Z,False,139715.85,,67.7,66.66,extended_hours_trade,L,250,102,0,,regular,
3244,DOCU,67.01,1710201,2025-11-13T21:00:00Z,False,217380.44,,67.7,66.66,extended_hours_trade,L,250,102,0,,regular,
17849,DOCU,67,1448901,2025-11-13T20:49:51Z,False,1195883,,67.03,67.01,,L,290,589,0,,regular,
2299,DOCU,66.94,1038855,2025-11-13T19:31:19Z,False,153895.06,,66.95,66.91,,L,1,60,0,,regular,
3400,DOCU,67.01,1001543,2025-11-13T19:13:12Z,False,227834.00,,67.01,66.98,,L,4,58,0,,regular,
2500,DOCU,67.13,971040,2025-11-13T19:02:31Z,False,167825.00,,67.15,67.11,,L,61,100,0,,regular,
3100,DOCU,67.17,965850,2025-11-13T19:01:57Z,False,208227.00,,67.19,67.14,,L,2,13,0,,regular,
2000,DOCU,67.655,740652,2025-11-13T17:49:26Z,False,135310.000,,67.69,67.63,,L,341,5,0,,regular,
1500,DOCU,67.705,690876,2025-11-13T17:32:10Z,False,101557.500,,67.72,67.68,,L,1,1,0,,regular,
5400,DOCU,67.59,629689,2025-11-13T17:17:18Z,False,364986.00,,67.64,67.59,,L,100,121,0,,regular,
2199,DOCU,67.8,571555,2025-11-13T17:00:47Z,False,149092.2,,67.81,67.79,,L,20,9,0,,regular,
1600,DOCU,67.8248,536735,2025-11-13T16:47:57Z,False,108519.6800,,67.84,67.82,,L,30,17,0,,regular,
2400,DOCU,68.08,377949,2025-11-13T16:13:56Z,False,163392.00,,68.09,68.02,,L,900,163,0,,regular,
1495,DOCU,68.02,372030,2025-11-13T16:13:55Z,False,101689.90,,68.22,68.19,,L,102,75,0,,regular,
1500,DOCU,68.14,308784,2025-11-13T16:13:55Z,False,102210.00,,68.22,68.19,,L,102,75,0,,regular,
3426,DOCU,68.52,213571,2025-11-13T15:59:25Z,False,234749.52,,68.5,68.45,,L,4,2,0,,regular,
1940,DOCU,68.7347,87389,2025-11-13T15:00:21Z,False,133345.3180,,68.73,68.64,,L,12,101,0,,regular,
2060,DOCU,68.7347,89449,2025-11-13T15:00:21Z,False,141593.4820,,68.73,68.64,,L,12,101,0,,regular,
