size,ticker,price,volume,executed_at,canceled,premium,sale_cond_codes,nbbo_ask,nbbo_bid,ext_hour_sold_codes,market_center,nbbo_ask_quantity,nbbo_bid_quantity,tracking_id,trade_code,trade_settlement,trf_executed_at
1635,DTM,99.95,787564,2025-02-11T21:00:49Z,False,163418.25,prior_reference_price,101.89,96,extended_hours_trade,L,16,4,57649879525335,,,
2122,DTM,99.95,784105,2025-02-11T21:00:20Z,False,212093.90,prior_reference_price,101.89,96,extended_hours_trade,L,16,4,57620429867454,,,
1100,DTM,98.975,522770,2025-02-11T20:22:34Z,False,108872.500,,99.04,98.92,,L,210,19,55354853543655,,,
5700,DTM,99.785,434891,2025-02-11T19:20:10Z,False,568774.500,,99.87,99.69,,L,200,13,51610966823621,,,
10680,DTM,99.765,428448,2025-02-11T19:20:06Z,False,1065490.200,,99.82,99.68,,L,30,205,51606287336751,,,
1388,DTM,99.5101,391918,2025-02-11T18:49:29Z,False,138120.0188,,99.79,99.51,,L,22,200,49769384607776,,,
1400,DTM,99.8101,387045,2025-02-11T18:49:29Z,False,139734.1400,,99.96,99.81,,L,100,157,49769306627194,,,
1026,DTM,99.60,261581,2025-02-11T17:06:15Z,False,102189.60,,99.81,99.62,,L,100,2,43575575266819,,,
7223,DTM,100.6005,171046,2025-02-11T15:54:50Z,False,726637.4115,,100.73,100.54,,L,100,3,39290073029431,,,
25000,DTM,100.50,161757,2025-02-11T15:54:34Z,False,2512500.00,,100.73,100.54,,L,100,3,39274510350245,,,
1000,DTM,100.10,103777,2025-02-11T15:25:15Z,False,100100.00,,100.23,99.91,,L,47,1,37515416375339,,,
1033,DTM,99.08,41726,2025-02-11T14:48:54Z,False,102349.64,,99.29,98.81,,L,100,101,35334803131568,,,
1100,DTM,98.255,16869,2025-02-11T14:37:39Z,False,108080.500,,98.90,97.59,,L,21,10,34659491422023,,,
