size,ticker,price,volume,executed_at,canceled,premium,sale_cond_codes,nbbo_bid,nbbo_ask,ext_hour_sold_codes,market_center,nbbo_ask_quantity,nbbo_bid_quantity,tracking_id,trade_code,trade_settlement,trf_executed_at
63566,DT,36.45,6740296,2026-03-25T21:36:50Z,False,2316980.70,prior_reference_price,36,37.08,extended_hours_trade,L,67,80,40286871047113,,regular,2026-03-25T21:36:50Z
50547,DT,36.45,6676730,2026-03-25T21:19:40Z,False,1842438.15,prior_reference_price,36,37.08,extended_hours_trade,L,67,80,40286870017306,,regular,2026-03-25T21:19:40Z
3610,DT,36.45,6620507,2026-03-25T20:00:51Z,False,131584.50,prior_reference_price,36,37.16,extended_hours_trade,L,53,80,40286865287746,,regular,2026-03-25T20:00:51Z
3528,DT,36.45,6614711,2026-03-25T20:00:42Z,False,128595.60,prior_reference_price,36,38,extended_hours_trade,L,1,80,40286865279125,,regular,2026-03-25T20:00:42Z
3610,DT,36.45,6608411,2026-03-25T20:00:42Z,False,131584.50,prior_reference_price,36,38,extended_hours_trade,L,1,80,40286865279110,,regular,2026-03-25T20:00:42Z
4217,DT,36.45,6604501,2026-03-25T20:00:42Z,False,153709.65,prior_reference_price,36,38,extended_hours_trade,L,1,80,40286865279099,,regular,2026-03-25T20:00:42Z
6900,DT,36.45,6599884,2026-03-25T20:00:42Z,False,251505.00,prior_reference_price,36,38,extended_hours_trade,L,1,80,40286865279096,,regular,2026-03-25T20:00:42Z
10960,DT,36.45,6592683,2026-03-25T20:00:30Z,False,399492.00,prior_reference_price,36,38,extended_hours_trade,L,1,80,40286865267171,,regular,2026-03-25T20:00:30Z
49519,DT,36.38,5600095,2026-03-25T19:51:17Z,False,1801501.22,,36.38,36.39,,L,150,1177,40286864713527,,regular,2026-03-25T19:51:17Z
75000,DT,36.5,5209769,2026-03-25T19:32:53Z,False,2737500.0,,36.49,36.5,,L,133,106,40286863609515,,regular,2026-03-25T19:32:53Z
50000,DT,36.62,5063840,2026-03-25T19:30:25Z,False,1831000.00,,36.61,36.63,,L,135,318,40286863461909,,regular,2026-03-25T19:30:25Z
3007,DT,36.58,4843141,2026-03-25T19:14:44Z,False,109996.06,,36.57,36.58,,L,221,865,40286862521398,,regular,2026-03-25T19:14:44Z
4025,DT,36.5972,3949146,2026-03-25T16:38:34Z,False,147303.7300,,36.59,36.62,,L,210,160,40286853150692,,regular,2026-03-25T16:38:34Z
5147,DT,36.95,3063048,2026-03-25T15:05:46Z,False,190181.65,,36.95,36.97,,L,230,200,40286847582822,,regular,2026-03-25T15:05:46Z
6435,DT,36.9,2914754,2026-03-25T14:50:49Z,False,237451.5,,36.89,36.91,,L,310,3,40286846685591,,regular,2026-03-25T14:50:49Z
5274,DT,36.895,2907091,2026-03-25T14:50:47Z,False,194584.230,,36.88,36.91,,L,110,80,40286846683666,,regular,2026-03-25T14:50:47Z
3069,DT,36.75,2854506,2026-03-25T14:49:31Z,False,112785.75,,36.75,36.76,,L,244,41,40286846608366,,regular,2026-03-25T14:49:31Z
6500,DT,36.75,2837528,2026-03-25T14:49:12Z,False,238875.00,,36.74,36.76,,L,100,117,40286846589193,,regular,2026-03-25T14:49:12Z
7400,DT,36.785,2801884,2026-03-25T14:47:34Z,False,272209.000,,36.78,36.8,,L,170,84,40286846491387,,regular,2026-03-25T14:47:34Z
250000,DT,36.9,2521223,2026-03-25T14:37:45Z,False,9225000.0,,36.88,36.91,,L,110,180,40286845901575,,regular,2026-03-25T14:37:45Z
4000,DT,36.94,2145108,2026-03-25T14:33:32Z,False,147760.00,,36.93,36.94,,L,209,750,40286845648903,,regular,2026-03-25T14:33:32Z
4700,DT,37,1958508,2026-03-25T14:28:46Z,False,173900,,36.98,37.02,,L,262,210,40286845362514,,regular,2026-03-25T14:28:46Z
8080,DT,37,1948623,2026-03-25T14:28:35Z,False,298960,,37.01,37.04,,L,255,200,40286845352445,,regular,2026-03-25T14:28:35Z
4600,DT,36.88,1859947,2026-03-25T14:24:45Z,False,169648.00,,36.87,36.88,,L,217,314,40286845121855,,regular,2026-03-25T14:24:45Z
200000,DT,37.125,1687607,2026-03-25T14:21:08Z,False,7425000.000,,37.1,37.14,,L,110,123,40286844905026,,regular,2026-03-25T14:21:08Z
2973,DT,37.1099,1359275,2026-03-25T14:14:34Z,False,110327.7327,,37.06,37.09,,L,1,310,40286844511175,,regular,2026-03-25T14:14:34Z
871600,DT,36.55,877488,2026-03-25T13:22:55Z,False,31856980.00,average_price_trade,35.6,37.13,extended_hours_trade,L,2,1025,40286841412250,,regular,2026-03-25T13:22:55Z
