size,ticker,price,volume,executed_at,canceled,premium,sale_cond_codes,nbbo_bid,nbbo_ask,ext_hour_sold_codes,market_center,nbbo_ask_quantity,nbbo_bid_quantity,tracking_id,trade_code,trade_settlement,trf_executed_at
497,DUOL,328.60,443776,2025-01-24T21:01:03Z,False,163314.20,prior_reference_price,325,327.32,extended_hours_trade,L,5,135,57663616455091,,,
704,DUOL,328.60,443138,2025-01-24T21:00:42Z,False,231334.40,prior_reference_price,325.05,327.32,extended_hours_trade,L,5,6,57642449452803,,,
371,DUOL,328.60,442221,2025-01-24T21:00:11Z,False,121910.60,prior_reference_price,325.12,329,extended_hours_trade,L,1,2,57611610805692,,,
436,DUOL,328.60,441037,2025-01-24T21:00:11Z,False,143269.60,prior_reference_price,325.12,329,extended_hours_trade,L,1,2,57611124181432,,,
346,DUOL,328.60,440242,2025-01-24T21:00:01Z,False,113695.60,,327.32,329,extended_hours_trade,L,1,605,57601451429975,,,
2015,DUOL,328.60,439896,2025-01-24T21:00:01Z,False,662129.00,,327.32,329,extended_hours_trade,L,1,605,57601450768688,,,
2184,DUOL,328.60,437880,2025-01-24T21:00:01Z,False,717662.40,,327.32,329,extended_hours_trade,L,1,605,57601392281549,,,
400,DUOL,328.47,375481,2025-01-24T20:59:54Z,False,131388.00,,328.48,328.86,,L,201,100,57594531560799,,,
400,DUOL,329.035,350948,2025-01-24T20:57:27Z,False,131614.000,,328.81,329.03,,L,21,62,57447157835223,,,
400,DUOL,329.02,337313,2025-01-24T20:56:02Z,False,131608.00,,328.57,329.17,,L,2,1254,57362347257250,,,
576,DUOL,328.095,328418,2025-01-24T20:54:40Z,False,188982.720,,327.86,328.44,,L,3,16,57280106554378,,,
1100,DUOL,327.83,317722,2025-01-24T20:52:36Z,False,360613.00,,327.52,328.20,,L,100,4,57156517871816,,,
400,DUOL,327.83,316175,2025-01-24T20:52:34Z,False,131132.00,,327.42,327.97,,L,292,1,57154503398607,,,
900,DUOL,327.795,311830,2025-01-24T20:52:03Z,False,295015.500,,327.42,327.74,,L,20,1,57123315248144,,,
400,DUOL,328.045,308419,2025-01-24T20:51:34Z,False,131218.000,,327.90,328.20,,L,561,1,57094491732019,,,
600,DUOL,327.16,302109,2025-01-24T20:49:53Z,False,196296.00,,326.94,327.16,,L,282,39,56993330278911,,,
1000,DUOL,327.205,294388,2025-01-24T20:44:57Z,False,327205.000,,326.87,327.34,,L,92,454,56697718547786,,,
400,DUOL,327.31,289568,2025-01-24T20:42:43Z,False,130924.00,,326.88,327.34,,L,103,11,56563274100803,,,
600,DUOL,327.07,279668,2025-01-24T20:37:22Z,False,196242.00,,326.80,327.34,,L,301,300,56242990639671,,,
2805,DUOL,327.04,265479,2025-01-24T20:27:05Z,False,917347.20,,326.82,327.50,,L,3,1,55625993964604,,,
317,DUOL,327.71,259340,2025-01-24T20:23:55Z,False,103884.07,,326.79,327.71,,L,244,2,55435332950180,,,
709,DUOL,328.50,255189,2025-01-24T20:19:10Z,False,232906.50,,326.58,327.73,,L,93,10,55150249134759,,,
1200,DUOL,327.59,251868,2025-01-24T20:19:09Z,False,393108.00,,326.03,326.87,,L,4,6,55149750402652,,,
446,DUOL,326.1543,243688,2025-01-24T20:16:56Z,False,145464.8178,,326.08,326.87,,L,4,25,55016887429403,,,
400,DUOL,326.32,239145,2025-01-24T20:11:42Z,False,130528.00,,326.33,326.51,,2,1,1488,54702744675902,,,
364,DUOL,325.725,232394,2025-01-24T20:10:35Z,False,118563.900,,325.42,326.05,,L,133,92,54635942103721,,,
360,DUOL,326.406,218919,2025-01-24T20:00:02Z,False,117506.160,,326.24,326.97,,L,103,1,54002835276157,,,
496,DUOL,327.30,209507,2025-01-24T19:52:11Z,False,162340.80,,327.62,327.97,,L,11,2,53531273360750,,,
1710,DUOL,328.76,189259,2025-01-24T19:27:07Z,False,562179.60,,327.71,328.60,,L,14,5,52027945943511,,,
2340,DUOL,328.76,187249,2025-01-24T19:27:07Z,False,769298.40,,327.71,328.60,,L,14,5,52027931887308,,,
339,DUOL,329.17,165716,2025-01-24T19:04:17Z,False,111588.63,,328.50,329.60,,L,17,126,50657633087311,,,
700,DUOL,329.02,164854,2025-01-24T19:02:09Z,False,230314.00,,328.45,329.60,,L,13,5,50529100952167,,,
