size,ticker,price,volume,executed_at,canceled,premium,sale_cond_codes,nbbo_ask,nbbo_bid,ext_hour_sold_codes,market_center,nbbo_ask_quantity,nbbo_bid_quantity,tracking_id,trade_code,trade_settlement,trf_executed_at
39300,DUOL,330,1029834,2025-03-24T20:00:35Z,False,12969000,prior_reference_price,330.85,327,extended_hours_trade,L,5,30,57635925340994,,,
633,DUOL,330,990219,2025-03-24T20:00:23Z,False,208890,prior_reference_price,330.85,327,extended_hours_trade,L,5,30,57623533143147,,,
898,DUOL,330,989408,2025-03-24T20:00:23Z,False,296340,prior_reference_price,330.85,327,extended_hours_trade,L,5,30,57623525427111,,,
695,DUOL,330,988464,2025-03-24T20:00:23Z,False,229350,prior_reference_price,330.85,327,extended_hours_trade,L,5,30,57623522070220,,,
969,DUOL,330,987769,2025-03-24T20:00:23Z,False,319770,prior_reference_price,330.85,327,extended_hours_trade,L,5,30,57623519392105,,,
1929,DUOL,330,986749,2025-03-24T20:00:23Z,False,636570,prior_reference_price,330.85,327,extended_hours_trade,L,5,30,57623512514111,,,
1794,DUOL,329.3231,770600,2025-03-24T19:58:55Z,False,590805.6414,average_price_trade,329.98,329.45,,L,179,457,57535658079456,derivative_priced,,
400,DUOL,328.31,705863,2025-03-24T19:56:56Z,False,131324.00,,328.44,327.92,,L,11,397,57416838721987,,,
335,DUOL,327.8246,652701,2025-03-24T19:46:50Z,False,109821.2410,average_price_trade,328.08,327.75,,L,7,662,56810690506716,,,
311,DUOL,327.9716,627412,2025-03-24T19:33:53Z,False,101999.1676,average_price_trade,328.77,327.67,,L,219,106,56033407941483,,,
710,DUOL,327.6701,624336,2025-03-24T19:32:14Z,False,232645.7710,,328.82,327.98,,L,5,7,55934765141305,,,
400,DUOL,329.41,612327,2025-03-24T19:24:09Z,False,131764.00,,329.82,329,,L,300,135,55449124370093,,,
600,DUOL,331.4611,601226,2025-03-24T19:20:24Z,False,198876.6600,,331.50,331.20,,L,21,5,55224968328002,,,
25700,DUOL,331.325,597763,2025-03-24T19:19:59Z,False,8515052.500,,331.77,331.20,,L,250,5,55199372757512,,,
6700,DUOL,331.32,571825,2025-03-24T19:19:54Z,False,2219844.00,,331.76,331.20,,L,100,5,55194449245137,,,
1000,DUOL,331.28,561198,2025-03-24T19:19:44Z,False,331280.00,,331.68,331.20,,L,107,21,55184639326226,,,
1218,DUOL,331.64,558970,2025-03-24T19:18:57Z,False,403937.52,,331.41,331.12,,L,2,2,55137658807942,,,
400,DUOL,328.57,504717,2025-03-24T18:46:19Z,False,131428.00,,328.98,328.16,,L,370,202,53179383644006,,,
