size,ticker,price,volume,executed_at,canceled,premium,sale_cond_codes,nbbo_bid,nbbo_ask,ext_hour_sold_codes,market_center,nbbo_ask_quantity,nbbo_bid_quantity,tracking_id,trade_code,trade_settlement,trf_executed_at
8298,DVA,217.04,1669472,2026-06-26T21:45:58Z,False,1800997.92,average_price_trade,202.4,240.56,extended_hours_trade,L,100,2,29674007406529,,regular,2026-06-26T21:45:57Z
9800,DVA,217.04,1661174,2026-06-26T21:31:22Z,False,2126992.00,prior_reference_price,202.4,240.56,extended_hours_trade,L,100,2,29674006530946,,regular,2026-06-26T21:31:22Z
12800,DVA,217.04,1651374,2026-06-26T21:31:22Z,False,2778112.00,prior_reference_price,202.4,240.56,extended_hours_trade,L,100,2,29674006530940,,regular,2026-06-26T21:31:22Z
49687,DVA,217.04,1638574,2026-06-26T21:27:20Z,False,10784066.48,prior_reference_price,202.4,240.56,extended_hours_trade,L,100,2,29674006288178,,regular,2026-06-26T21:27:20Z
18617,DVA,217.0439,1588507,2026-06-26T20:34:10Z,False,4040706.2863,prior_reference_price,215.95,225,extended_hours_trade,L,1,2,29674003098462,,regular,2026-06-26T20:34:10Z
11209,DVA,217.0361,1569890,2026-06-26T20:34:10Z,False,2432757.6449,prior_reference_price,215.95,225,extended_hours_trade,L,1,2,29674003098458,,regular,2026-06-26T20:34:10Z
794,DVA,217.04,1558681,2026-06-26T20:23:06Z,False,172329.76,prior_reference_price,202.4,225,extended_hours_trade,L,1,2,29674002434527,,regular,2026-06-26T20:23:06Z
616,DVA,217.04,1557647,2026-06-26T20:14:19Z,False,133696.64,average_price_trade,202.4,225,extended_hours_trade,L,1,2,29674001907465,,regular,2026-06-26T20:14:18Z
1684,DVA,217.04,1557031,2026-06-26T20:14:19Z,False,365495.36,average_price_trade,202.4,225,extended_hours_trade,L,1,2,29674001907455,,regular,2026-06-26T20:14:18Z
1500,DVA,217.04,1555268,2026-06-26T20:14:02Z,False,325560.00,average_price_trade,202.4,225,extended_hours_trade,L,1,2,29674001890534,,regular,2026-06-26T20:14:01Z
134022,DVA,217.04,1549152,2026-06-26T20:12:24Z,False,29088134.88,prior_reference_price,202.4,225,extended_hours_trade,L,1,2,29674001792337,,regular,2026-06-26T20:12:24Z
4616,DVA,217.04,1553768,2026-06-26T20:12:24Z,False,1001856.64,prior_reference_price,202.4,225,extended_hours_trade,L,1,2,29674001792337,,regular,2026-06-26T20:12:24Z
505,DVA,217.0289,1415125,2026-06-26T20:11:47Z,False,109599.5945,prior_reference_price,202.4,225,extended_hours_trade,L,1,2,29674001755066,,regular,2026-06-26T20:11:46Z
639,DVA,217.04,1413549,2026-06-26T20:10:12Z,False,138688.56,prior_reference_price,202.4,225,extended_hours_trade,L,1,2,29674001660826,,regular,2026-06-26T20:10:11Z
