size,ticker,price,volume,executed_at,canceled,premium,sale_cond_codes,nbbo_ask,nbbo_bid,ext_hour_sold_codes,market_center,nbbo_ask_quantity,nbbo_bid_quantity,tracking_id,trade_code,trade_settlement,trf_executed_at
24286,DVA,183.99,473707,2026-09-04T21:17:05Z,False,4468381.14,average_price_trade,186,174.54,extended_hours_trade,L,1,1,29674005673625,,regular,2026-09-04T21:17:04Z
2887,DVA,183.99,448757,2026-09-04T20:00:43Z,False,531179.13,prior_reference_price,186,174.54,extended_hours_trade,L,1,1,29674001091494,,regular,2026-09-04T20:00:43Z
3301,DVA,183.99,445541,2026-09-04T20:00:43Z,False,607350.99,prior_reference_price,186,174.54,extended_hours_trade,L,1,1,29674001091470,,regular,2026-09-04T20:00:43Z
600,DVA,183.99,441970,2026-09-04T20:00:43Z,False,110394.00,prior_reference_price,186,174.54,extended_hours_trade,L,1,1,29674001091266,,regular,2026-09-04T20:00:43Z
1333,DVA,183.99,440566,2026-09-04T20:00:03Z,False,245258.67,,194.97,174.36,extended_hours_trade,L,100,100,29674001051888,,regular,2026-09-04T20:00:03Z
754,DVA,182.9301,186706,2026-09-04T18:47:19Z,False,137929.2954,,183.13,182.94,,L,26,1,29673996687984,,regular,2026-09-04T18:47:19Z
558,DVA,182.99,178563,2026-09-04T18:36:24Z,False,102108.42,,183.12,182.88,,L,10,201,29673996032701,,regular,2026-09-04T18:36:24Z
896,DVA,182.3901,158621,2026-09-04T17:58:32Z,False,163421.5296,,182.52,182.32,,L,20,1,29673993760814,,regular,2026-09-04T17:58:32Z
3000,DVA,182.855,149302,2026-09-04T17:42:57Z,False,548565.000,,182.83,182.57,,L,30,13,29673992825324,,regular,2026-09-04T17:42:56Z
628,DVA,182.9744,114088,2026-09-04T16:28:51Z,False,114907.9232,,183.14,182.92,,L,112,1,29673988379155,,regular,2026-09-04T16:28:51Z
1546,DVA,182.54,50078,2026-09-04T14:36:54Z,False,282206.84,,182.6,182.33,,L,1,20,29673981662987,,regular,2026-09-04T14:36:54Z
2194,DVA,182.9,35321,2026-09-04T14:20:22Z,False,401282.6,,183.11,182.69,,L,13,23,29673980670769,,regular,2026-09-04T14:20:22Z
4598,DVA,182.395,20300,2026-09-04T13:56:14Z,False,838652.210,,182.56,182.25,,L,48,1,29673979222192,,regular,2026-09-04T13:56:14Z
1000,DVA,182.4099,9806,2026-09-04T13:49:22Z,False,182409.9000,,182.66,181.49,,L,42,20,29673978810771,,regular,2026-09-04T13:49:22Z
