size,ticker,price,volume,executed_at,canceled,premium,sale_cond_codes,nbbo_ask,nbbo_bid,ext_hour_sold_codes,market_center,nbbo_ask_quantity,nbbo_bid_quantity,tracking_id,trade_code,trade_settlement,trf_executed_at
141876,DVN,32.78,6664442,2025-07-17T20:34:26Z,False,4650695.28,prior_reference_price,32.93,32.35,extended_hours_trade,L,1,46,59666174580720,,regular,
3445,DVN,32.78,6522203,2025-07-17T20:05:46Z,False,112927.10,prior_reference_price,32.93,32.35,extended_hours_trade,L,1,46,57946671297940,,regular,
3948,DVN,32.78,6518708,2025-07-17T20:05:19Z,False,129415.44,prior_reference_price,32.93,32.35,extended_hours_trade,L,1,46,57919910927491,,regular,
5164,DVN,32.78,6514416,2025-07-17T20:03:37Z,False,169275.92,prior_reference_price,32.93,32.35,extended_hours_trade,L,1,46,57817974852556,,regular,
3566,DVN,32.78,6508360,2025-07-17T20:02:57Z,False,116893.48,prior_reference_price,32.93,32.35,extended_hours_trade,L,1,46,57777767957795,,regular,
9228,DVN,32.78,6490058,2025-07-17T20:00:39Z,False,302493.84,prior_reference_price,32.93,32.10,extended_hours_trade,L,1,200,57639728085453,,regular,
3106,DVN,32.78,6480830,2025-07-17T20:00:39Z,False,101814.68,prior_reference_price,32.93,32.10,extended_hours_trade,L,1,200,57639726465577,,regular,
3928,DVN,32.78,6477724,2025-07-17T20:00:39Z,False,128759.84,prior_reference_price,32.93,32.10,extended_hours_trade,L,1,200,57639723933786,,regular,
11107,DVN,32.78,6470206,2025-07-17T20:00:39Z,False,364087.46,prior_reference_price,32.93,32.10,extended_hours_trade,L,1,200,57639411191124,,regular,
22570,DVN,32.78,6459067,2025-07-17T20:00:39Z,False,739844.60,prior_reference_price,32.93,32.10,extended_hours_trade,L,1,200,57639404356174,,regular,
8202,DVN,32.78,6430585,2025-07-17T20:00:33Z,False,268861.56,prior_reference_price,32.93,32.10,extended_hours_trade,L,1,200,57633619648251,,regular,
4900,DVN,32.78,6406350,2025-07-17T20:00:02Z,False,160622.00,,34.30,31.33,extended_hours_trade,L,200,2,57602836328830,,regular,
5292,DVN,32.78,6401450,2025-07-17T20:00:02Z,False,173471.76,,34.30,31.33,extended_hours_trade,L,200,2,57602770085050,,regular,
3053,DVN,32.76,4549725,2025-07-17T19:46:32Z,False,100016.28,,32.76,32.75,,L,306,1000,56792788214004,,regular,
3495,DVN,32.7901,4393309,2025-07-17T19:39:37Z,False,114601.3995,,32.80,32.79,,L,284,510,56377963371288,,regular,
8413,DVN,32.75,3977282,2025-07-17T19:08:02Z,False,275525.75,,32.76,32.75,,L,850,5,54482541933096,,regular,
