size,ticker,price,volume,executed_at,canceled,premium,sale_cond_codes,nbbo_ask,nbbo_bid,ext_hour_sold_codes,market_center,nbbo_ask_quantity,nbbo_bid_quantity,tracking_id,trade_code,trade_settlement,trf_executed_at
11575,DY,423.23,289075,2026-07-21T20:49:09Z,False,4898887.25,average_price_trade,425,414.77,extended_hours_trade,L,20,4,26049051599290,,regular,2026-07-21T20:49:08Z
1077,DY,423.23,277425,2026-07-21T20:00:50Z,False,455818.71,prior_reference_price,425,400,extended_hours_trade,L,20,20,26049048701204,,regular,2026-07-21T20:00:50Z
720,DY,423.23,275762,2026-07-21T20:00:48Z,False,304725.60,prior_reference_price,425,400,extended_hours_trade,L,20,20,26049048699069,,regular,2026-07-21T20:00:48Z
762,DY,423.23,274997,2026-07-21T20:00:48Z,False,322501.26,prior_reference_price,425,400,extended_hours_trade,L,20,20,26049048699060,,regular,2026-07-21T20:00:48Z
532,DY,423.23,274017,2026-07-21T20:00:30Z,False,225158.36,prior_reference_price,425,400,extended_hours_trade,L,20,20,26049048680983,,regular,2026-07-21T20:00:30Z
5286,DY,423.23,273485,2026-07-21T20:00:30Z,False,2237193.78,prior_reference_price,425,400,extended_hours_trade,L,20,20,26049048680910,,regular,2026-07-21T20:00:30Z
414,DY,423.23,268199,2026-07-21T20:00:17Z,False,175217.22,prior_reference_price,425,400,extended_hours_trade,L,20,20,26049048668091,,regular,2026-07-21T20:00:17Z
510,DY,423.41,198654,2026-07-21T19:57:43Z,False,215939.10,,423.53,423.29,,L,1,22,26049048514174,,regular,2026-07-21T19:57:43Z
400,DY,423.645,193749,2026-07-21T19:56:45Z,False,169458.000,,423.95,423.43,,L,11,19,26049048455738,,regular,2026-07-21T19:56:45Z
250,DY,423.6875,193349,2026-07-21T19:56:45Z,False,105921.8750,,423.95,423.43,,L,11,19,26049048455729,,regular,2026-07-21T19:56:45Z
280,DY,423.55,192098,2026-07-21T19:56:21Z,False,118594.00,,423.73,423.4,,L,80,40,26049048431596,,regular,2026-07-21T19:56:21Z
430,DY,423.69,191645,2026-07-21T19:56:17Z,False,182186.70,,423.73,423.41,,L,90,14,26049048427495,,regular,2026-07-21T19:56:17Z
