size,ticker,price,volume,executed_at,canceled,premium,sale_cond_codes,nbbo_bid,nbbo_ask,ext_hour_sold_codes,market_center,nbbo_ask_quantity,nbbo_bid_quantity,tracking_id,trade_code,trade_settlement,trf_executed_at
6615,DY,407.99,245017,2026-08-07T21:44:02Z,False,2698853.85,average_price_trade,399.83,416.07,extended_hours_trade,L,4,5,26049054892477,,regular,2026-08-07T21:44:01Z
1214,DY,407.99,237931,2026-08-07T20:00:53Z,False,495299.86,prior_reference_price,395,429.9,extended_hours_trade,L,40,20,26049048704084,,regular,2026-08-07T20:00:53Z
280,DY,408.03,196134,2026-08-07T19:58:47Z,False,114248.40,,407.99,408.51,,L,20,6,26049048578066,,regular,2026-08-07T19:58:47Z
360,DY,408.644,180558,2026-08-07T19:56:58Z,False,147111.840,average_price_trade,408.17,408.8,,L,9,69,26049048468347,derivative_priced,regular,2026-08-07T19:56:58Z
250,DY,408.69,175545,2026-08-07T19:55:20Z,False,102172.50,,408.4,408.9,,L,2,31,26049048370624,,regular,2026-08-07T19:55:20Z
280,DY,407.9558,174410,2026-08-07T19:55:05Z,False,114227.6240,average_price_trade,408.5,408.9,,L,12,48,26049048356124,derivative_priced,regular,2026-08-07T19:55:05Z
400,DY,408.2559,172516,2026-08-07T19:54:25Z,False,163302.3600,average_price_trade,408.42,408.66,,L,10,2,26049048315583,derivative_priced,regular,2026-08-07T19:54:25Z
491,DY,407.4499,152025,2026-08-07T19:36:42Z,False,200057.9009,,407.2,407.45,,L,2,1,26049047253207,,regular,2026-08-07T19:36:42Z
500,DY,409.8303,136887,2026-08-07T19:09:32Z,False,204915.1500,,409.07,409.92,,L,10,31,26049045622931,,regular,2026-08-07T19:09:32Z
640,DY,405.69,108344,2026-08-07T17:58:13Z,False,259641.60,,405.45,405.88,,L,45,2,26049041343589,,regular,2026-08-07T17:58:13Z
640,DY,404.98,104911,2026-08-07T17:45:36Z,False,259187.20,,404.83,404.96,,L,2,3,26049040587225,,regular,2026-08-07T17:45:36Z
400,DY,405.16,97135,2026-08-07T17:16:17Z,False,162064.00,,404.59,405.71,,L,15,5,26049038827269,,regular,2026-08-07T17:16:17Z
5000,DY,405.69,95141,2026-08-07T17:12:31Z,False,2028450.00,,405.68,405.97,,L,50,3,26049038601655,,regular,2026-08-07T17:12:31Z
1740,DY,401.38,45384,2026-08-07T14:49:47Z,False,698401.20,,401.4,403.56,,L,7,1,26049030037670,,regular,2026-08-07T14:49:47Z
661,DY,401.849,39183,2026-08-07T14:32:57Z,False,265622.189,,399.74,401.82,,L,7,4,26049029027721,,regular,2026-08-07T14:32:57Z
360,DY,400.825,37044,2026-08-07T14:29:59Z,False,144297.000,,400.22,402.77,,L,17,10,26049028849266,,regular,2026-08-07T14:29:59Z
327,DY,400.425,33269,2026-08-07T14:24:32Z,False,130938.975,,399.88,401.73,,L,17,80,26049028523060,,regular,2026-08-07T14:24:32Z
360,DY,399.88,32865,2026-08-07T14:24:27Z,False,143956.80,,399.88,401.73,,L,17,80,26049028517509,,regular,2026-08-07T14:24:27Z
360,DY,401.011,24999,2026-08-07T14:01:50Z,False,144363.960,,400,401.69,,L,1,40,26049027161059,,regular,2026-08-07T14:01:50Z
280,DY,404,19739,2026-08-07T13:54:16Z,False,113120,,404,406.52,,L,5,2,26049026707236,,regular,2026-08-07T13:54:16Z
1526,DY,403.94,17544,2026-08-07T13:48:25Z,False,616412.44,,403.94,406.86,,L,5,45,26049026355889,,regular,2026-08-07T13:48:25Z
480,DY,408.18,12393,2026-08-07T13:41:58Z,False,195926.40,,405.19,409.46,,L,5,50,26049025968931,,regular,2026-08-07T13:41:58Z
320,DY,406.4,9204,2026-08-07T13:38:13Z,False,130048.0,,405.08,407.62,,L,10,1,26049025743771,,regular,2026-08-07T13:38:13Z
320,DY,406.3,5892,2026-08-07T13:36:53Z,False,130016.0,,405.08,408.23,,L,10,11,26049025663833,,regular,2026-08-07T13:36:53Z
440,DY,406.3,5528,2026-08-07T13:36:53Z,False,178772.0,,405.08,408.23,,L,10,11,26049025663823,,regular,2026-08-07T13:36:53Z
320,DY,407.54,4100,2026-08-07T13:34:31Z,False,130412.80,,405.08,408.23,,L,10,11,26049025521498,,regular,2026-08-07T13:34:31Z
