size,ticker,price,volume,executed_at,canceled,premium,sale_cond_codes,nbbo_bid,nbbo_ask,ext_hour_sold_codes,market_center,nbbo_ask_quantity,nbbo_bid_quantity,tracking_id,trade_code,trade_settlement,trf_executed_at
15194,EBAY,87.06,3948704,2026-01-02T22:04:59Z,False,1322789.64,prior_reference_price,86.5,87.89,extended_hours_trade,L,9,1000,30859419521275,,regular,
6438,EBAY,87.06,3932619,2026-01-02T21:36:05Z,False,560492.28,,86.5,87.89,extended_hours_trade,L,9,1000,30859417787069,,regular,
6168,EBAY,87.06,3925857,2026-01-02T21:02:35Z,False,536986.08,,87.16,87.89,extended_hours_trade,L,9,3,30859415777612,,regular,
7332,EBAY,87.06,3919689,2026-01-02T21:02:35Z,False,638323.92,,87.16,87.89,extended_hours_trade,L,9,3,30859415777181,,regular,
2335,EBAY,87.06,3912357,2026-01-02T21:02:34Z,False,203285.10,,87.16,87.89,extended_hours_trade,L,9,3,30859415776534,,regular,
1182,EBAY,87.06,3910022,2026-01-02T21:02:23Z,False,102904.92,,87.16,87.89,extended_hours_trade,L,9,3,30859415765349,,regular,
149800,EBAY,87.06,3908840,2026-01-02T21:02:04Z,False,13041588.00,prior_reference_price,87.16,87.89,extended_hours_trade,L,9,3,30859415746730,,regular,
1336,EBAY,87.06,3758603,2026-01-02T21:01:49Z,False,116312.16,prior_reference_price,87.16,87.89,extended_hours_trade,L,9,3,30859415731577,,regular,
2707,EBAY,87.06,3757267,2026-01-02T21:01:14Z,False,235671.42,prior_reference_price,87.16,87.5,extended_hours_trade,L,83,3,30859415696535,,regular,
7000,EBAY,87.06,3754274,2026-01-02T21:01:00Z,False,609420.00,prior_reference_price,86.5,87.07,extended_hours_trade,L,637,1004,30859415682349,,regular,
8712,EBAY,87.06,3745726,2026-01-02T21:00:37Z,False,758466.72,prior_reference_price,86.5,87.07,extended_hours_trade,L,637,1004,30859415658777,,regular,
2178,EBAY,87.06,3737014,2026-01-02T21:00:32Z,False,189616.68,prior_reference_price,86.5,87.07,extended_hours_trade,L,637,1004,30859415654019,,regular,
5207,EBAY,87.06,3734673,2026-01-02T21:00:19Z,False,453321.42,prior_reference_price,86.5,87.07,extended_hours_trade,L,637,1004,30859415641326,,regular,
12927,EBAY,87.06,3728809,2026-01-02T21:00:19Z,False,1125424.62,prior_reference_price,86.5,87.07,extended_hours_trade,L,637,1004,30859415641185,,regular,
1422,EBAY,87.06,3715062,2026-01-02T21:00:19Z,False,123799.32,prior_reference_price,86.5,87.07,extended_hours_trade,L,637,1004,30859415641060,,regular,
28300,EBAY,87.06,3711983,2026-01-02T21:00:18Z,False,2463798.00,prior_reference_price,86.5,87.07,extended_hours_trade,L,637,1004,30859415640696,,regular,
2133,EBAY,87.06,3683683,2026-01-02T21:00:18Z,False,185698.98,prior_reference_price,86.5,87.07,extended_hours_trade,L,637,1004,30859415640663,,regular,
4600,EBAY,87.06,3680450,2026-01-02T21:00:18Z,False,400476.00,prior_reference_price,86.5,87.07,extended_hours_trade,L,637,1004,30859415640551,,regular,
4700,EBAY,87.06,3674701,2026-01-02T21:00:01Z,False,409182.00,,86.5,87.07,extended_hours_trade,L,637,1004,30859415623462,,regular,
1201,EBAY,87.06,3669029,2026-01-02T21:00:01Z,False,104559.06,,86.5,87.07,extended_hours_trade,L,637,1004,30859415623438,,regular,
10408,EBAY,87.06,3666233,2026-01-02T21:00:01Z,False,906120.48,,86.5,87.07,extended_hours_trade,L,637,1004,30859415623411,,regular,
4186,EBAY,87.06,3655796,2026-01-02T21:00:01Z,False,364433.16,,86.5,87.07,extended_hours_trade,L,637,1004,30859415623392,,regular,
1594,EBAY,87.06,3650411,2026-01-02T21:00:01Z,False,138773.64,,86.5,87.07,extended_hours_trade,L,637,1004,30859415623239,,regular,
1228,EBAY,87.015,2824064,2026-01-02T20:59:04Z,False,106854.420,,87,87.01,,L,6552,2254,30859415565777,,regular,
1600,EBAY,87.01,2775674,2026-01-02T20:58:18Z,False,139216.00,,87,87.01,,L,2697,649,30859415520177,,regular,
1800,EBAY,86.9715,2702842,2026-01-02T20:56:34Z,False,156548.7000,average_price_trade,86.95,86.97,,L,1148,1,30859415416451,derivative_priced,regular,
1800,EBAY,86.9916,2669749,2026-01-02T20:55:31Z,False,156584.8800,average_price_trade,86.99,87.03,,L,726,499,30859415353552,derivative_priced,regular,
3800,EBAY,86.9691,2568421,2026-01-02T20:52:21Z,False,330482.5800,average_price_trade,87.04,87.07,,L,115,239,30859415163129,derivative_priced,regular,
1848,EBAY,87.0216,2380956,2026-01-02T20:40:26Z,False,160815.9168,,87.02,87.04,,L,420,104,30859414448048,,regular,
2000,EBAY,87.1277,2360025,2026-01-02T20:39:04Z,False,174255.4000,average_price_trade,87.1,87.12,,L,13,956,30859414366499,derivative_priced,regular,
3000,EBAY,87.1357,2340392,2026-01-02T20:38:27Z,False,261407.1000,average_price_trade,87.06,87.1,,L,401,21,30859414329410,derivative_priced,regular,
1600,EBAY,87.2907,2013736,2026-01-02T20:13:18Z,False,139665.1200,average_price_trade,87.2,87.24,,L,238,441,30859412820294,derivative_priced,regular,
1979,EBAY,87.3272,1971001,2026-01-02T20:06:50Z,False,172820.5288,,87.32,87.34,,L,203,12,30859412431906,,regular,
3261,EBAY,87.34,1957981,2026-01-02T20:04:49Z,False,284815.74,,87.32,87.34,,L,14,25,30859412311114,,regular,
1667,EBAY,87.65,1864291,2026-01-02T19:49:27Z,False,146112.55,,87.63,87.65,,L,29,2,30859411389389,,regular,
2500,EBAY,87.72,1822315,2026-01-02T19:42:19Z,False,219300.00,,87.7,87.73,,L,200,102,30859410961225,,regular,
1200,EBAY,87.735,1790723,2026-01-02T19:40:31Z,False,105282.000,,87.71,87.76,,L,200,186,30859410853352,,regular,
9000,EBAY,87.69,1781311,2026-01-02T19:40:05Z,False,789210.00,,87.66,87.69,,L,49,225,30859410827444,,regular,
