size,ticker,price,volume,executed_at,canceled,premium,sale_cond_codes,nbbo_bid,nbbo_ask,ext_hour_sold_codes,market_center,nbbo_ask_quantity,nbbo_bid_quantity,tracking_id,trade_code,trade_settlement,trf_executed_at
10779,EFX,161.17,1014403,2026-09-17T21:43:25Z,False,1737251.43,average_price_trade,161.17,163.23,extended_hours_trade,L,103,1,25525068845931,,regular,2026-09-17T21:43:25Z
4959,EFX,161.17,1003624,2026-09-17T21:27:48Z,False,799242.03,prior_reference_price,161.17,163.23,extended_hours_trade,L,103,1,25525067908208,,regular,2026-09-17T21:27:47Z
8100,EFX,161.17,998234,2026-09-17T20:46:05Z,False,1305477.00,average_price_trade,161.17,163.23,extended_hours_trade,L,54,1,25525065406014,,regular,2026-09-17T20:46:05Z
4936,EFX,163.8,990134,2026-09-17T20:40:29Z,False,808516.8,average_price_trade,161.17,163.23,extended_hours_trade,L,54,1,25525065069756,,regular,2026-09-17T20:40:29Z
823,EFX,161.17,982358,2026-09-17T20:00:59Z,False,132642.91,prior_reference_price,158.28,175.96,extended_hours_trade,L,100,1,25525062700000,,regular,2026-09-17T20:00:59Z
3979,EFX,161.17,980975,2026-09-17T20:00:59Z,False,641295.43,prior_reference_price,158.28,175.96,extended_hours_trade,L,100,1,25525062699824,,regular,2026-09-17T20:00:59Z
2240,EFX,161.17,976708,2026-09-17T20:00:28Z,False,361020.80,prior_reference_price,158.28,0,extended_hours_trade,L,0,1,25525062668863,,regular,2026-09-17T20:00:28Z
4156,EFX,161.17,974453,2026-09-17T20:00:24Z,False,669822.52,prior_reference_price,158.28,0,extended_hours_trade,L,0,1,25525062664503,,regular,2026-09-17T20:00:24Z
3600,EFX,161.17,969779,2026-09-17T20:00:11Z,False,580212.00,average_price_trade,148.87,0,extended_hours_trade,L,0,31,25525062652069,,regular,2026-09-17T20:00:11Z
655,EFX,161.17,966118,2026-09-17T20:00:05Z,False,105566.35,,148.87,0,extended_hours_trade,L,0,31,25525062645493,,regular,2026-09-17T20:00:04Z
828,EFX,161.17,963944,2026-09-17T20:00:03Z,False,133448.76,,151.56,171.01,extended_hours_trade,L,100,100,25525062643189,,regular,2026-09-17T20:00:03Z
980,EFX,161.17,962192,2026-09-17T20:00:03Z,False,157946.60,,151.56,171.01,extended_hours_trade,L,100,100,25525062643182,,regular,2026-09-17T20:00:03Z
1100,EFX,161.195,663060,2026-09-17T19:51:07Z,False,177314.500,,161.16,161.32,,L,10,1,25525062107825,,regular,2026-09-17T19:51:07Z
1100,EFX,161.195,661929,2026-09-17T19:51:07Z,False,177314.500,,161.16,161.32,,L,10,1,25525062107821,,regular,2026-09-17T19:51:07Z
1674,EFX,161.36,640474,2026-09-17T19:49:51Z,False,270116.64,,161.28,161.44,,L,129,6,25525062031920,,regular,2026-09-17T19:49:51Z
698,EFX,161.225,593042,2026-09-17T19:35:05Z,False,112535.050,,161.11,161.3,,L,115,101,25525061145539,,regular,2026-09-17T19:35:05Z
