size,ticker,price,volume,executed_at,canceled,premium,sale_cond_codes,nbbo_ask,nbbo_bid,ext_hour_sold_codes,market_center,nbbo_ask_quantity,nbbo_bid_quantity,tracking_id,trade_code,trade_settlement,trf_executed_at
8641,EIX,54.50,2043550,2025-08-25T20:47:17Z,False,470934.50,prior_reference_price,55.20,54.50,extended_hours_trade,L,55,1,60437372601227,,regular,
4461,EIX,54.50,2032007,2025-08-25T20:00:31Z,False,243124.50,prior_reference_price,55.20,54,extended_hours_trade,L,10,90,57631955233296,,regular,
16885,EIX,54.50,2027075,2025-08-25T20:00:31Z,False,920232.50,prior_reference_price,55.20,54,extended_hours_trade,L,10,90,57631937636163,,regular,
2073,EIX,54.50,2010190,2025-08-25T20:00:31Z,False,112978.50,prior_reference_price,55.20,54,extended_hours_trade,L,10,90,57631910020125,,regular,
2460,EIX,54.725,990206,2025-08-25T18:50:05Z,False,134623.500,,54.73,54.72,,L,486,128,53405511632220,,regular,
2000,EIX,54.845,730379,2025-08-25T17:26:42Z,False,109690.000,,54.85,54.84,,L,155,111,48402661608816,,regular,
5969,EIX,55.0101,671488,2025-08-25T17:07:12Z,False,328355.2869,,55.02,55,,L,198,105,47232326775106,,regular,
2000,EIX,55.08,420776,2025-08-25T15:25:56Z,False,110160.00,,55.09,55.07,,L,31,158,41156826520643,,regular,
11900,EIX,55.03,233718,2025-08-25T14:18:41Z,False,654857.00,,55.05,55.03,,L,100,448,37121599432787,,regular,
7409,EIX,54.9596,217822,2025-08-25T14:17:31Z,False,407195.6764,,54.96,54.92,,L,105,174,37051324297745,,regular,
2880,EIX,54.9768,126438,2025-08-25T13:50:12Z,False,158333.1840,,55,54.96,,L,111,110,35412596648410,,regular,
2000,EIX,55,115060,2025-08-25T13:47:51Z,False,110000,,55.11,55.01,,L,256,10,35271776017425,,regular,
4061,EIX,55.152,56828,2025-08-25T13:32:15Z,False,223972.272,,55.39,55.15,,L,100,301,34335554399680,,regular,
