size,ticker,price,volume,executed_at,canceled,premium,sale_cond_codes,nbbo_ask,nbbo_bid,ext_hour_sold_codes,market_center,nbbo_ask_quantity,nbbo_bid_quantity,tracking_id,trade_code,trade_settlement,trf_executed_at
19400,ELAN,21.3,7213674,2025-12-10T23:13:27Z,False,413220.0,prior_reference_price,21.3,18.52,extended_hours_trade,L,13,100,0,,regular,
13838,ELAN,21.3,7194274,2025-12-10T23:08:34Z,False,294749.4,prior_reference_price,21.3,18.52,extended_hours_trade,L,13,100,0,,regular,
29196,ELAN,21.3,7176595,2025-12-10T21:00:38Z,False,621874.8,prior_reference_price,21.35,21.29,extended_hours_trade,L,390,1016,0,,regular,
9663,ELAN,21.3,7147399,2025-12-10T21:00:38Z,False,205821.9,prior_reference_price,21.35,21.29,extended_hours_trade,L,390,1016,0,,regular,
24164,ELAN,21.3,7132617,2025-12-10T21:00:38Z,False,514693.2,prior_reference_price,21.35,21.29,extended_hours_trade,L,390,1016,0,,regular,
5900,ELAN,21.3,7108453,2025-12-10T21:00:38Z,False,125670.0,prior_reference_price,21.35,21.29,extended_hours_trade,L,390,1016,0,,regular,
7892,ELAN,21.3,7095119,2025-12-10T21:00:38Z,False,168099.6,prior_reference_price,21.35,21.29,extended_hours_trade,L,390,1016,0,,regular,
12160,ELAN,21.3,7087225,2025-12-10T21:00:08Z,False,259008.0,average_price_trade,21.35,21.29,extended_hours_trade,L,390,1016,0,,regular,
30264,ELAN,21.3,7046481,2025-12-10T21:00:02Z,False,644623.2,,21.35,21.29,extended_hours_trade,L,390,1016,0,,regular,
20295,ELAN,21.3,7069255,2025-12-10T21:00:02Z,False,432283.5,,21.35,21.29,extended_hours_trade,L,390,1016,0,,regular,
5000,ELAN,21.125,4709143,2025-12-10T20:35:37Z,False,105625.000,,21.13,21.12,,L,605,666,0,,regular,
177323,ELAN,21,4078594,2025-12-10T19:54:13Z,False,3723783,,21.05,21.04,,L,400,148,0,intermarket_sweep,regular,
41800,ELAN,21,3298622,2025-12-10T19:35:30Z,False,877800,,21.02,21.01,,L,300,300,0,,regular,
7679,ELAN,20.815,2809292,2025-12-10T18:39:12Z,False,159838.385,,20.82,20.81,,L,103,201,0,,regular,
19010,ELAN,20.815,2198021,2025-12-10T17:17:47Z,False,395693.150,,20.82,20.81,,L,141,300,0,,regular,
6745,ELAN,20.8101,2176347,2025-12-10T17:17:31Z,False,140364.1245,,20.82,20.81,,L,141,739,0,,regular,
5428,ELAN,20.885,1694578,2025-12-10T16:39:12Z,False,113363.780,,20.89,20.88,,L,200,326,0,,regular,
5000,ELAN,20.91,1630234,2025-12-10T16:32:29Z,False,104550.00,,20.92,20.91,,L,200,400,0,,regular,
60000,ELAN,21,1545218,2025-12-10T16:28:25Z,False,1260000,,20.99,20.98,,L,339,5,0,intermarket_sweep,regular,
7100,ELAN,21.005,1403291,2025-12-10T16:20:05Z,False,149135.500,,21.02,21.01,,L,388,73,0,,regular,
88700,ELAN,20.93,1141002,2025-12-10T16:02:21Z,False,1856491.00,,20.94,20.93,,L,200,806,0,,regular,
6668,ELAN,20.84,829303,2025-12-10T15:39:29Z,False,138961.12,,20.86,20.85,,L,100,231,0,,regular,
7100,ELAN,20.84,820641,2025-12-10T15:39:29Z,False,147964.00,,20.86,20.85,,L,100,231,0,,regular,
6921,ELAN,20.8456,803502,2025-12-10T15:38:50Z,False,144272.3976,,20.86,20.84,,L,785,200,0,,regular,
5924,ELAN,20.8108,481608,2025-12-10T15:12:17Z,False,123283.1792,,20.82,20.8,,L,390,145,0,,regular,
6208,ELAN,20.7699,235848,2025-12-10T14:51:13Z,False,128939.5392,,20.77,20.74,,L,319,170,0,,regular,
8842,ELAN,20.6,159133,2025-12-10T14:46:07Z,False,182145.2,,20.63,20.58,,L,190,386,0,,regular,
