size,ticker,price,volume,executed_at,canceled,premium,sale_cond_codes,nbbo_bid,nbbo_ask,ext_hour_sold_codes,market_center,nbbo_ask_quantity,nbbo_bid_quantity,tracking_id,trade_code,trade_settlement,trf_executed_at
1000,ELF,128.6001,2340738,2025-01-15T23:53:14Z,False,128600.1000,,128.78,128.99,extended_hours_trade,L,42,36,67994041245756,,,
13322,ELF,128.41,2338566,2025-01-15T22:04:16Z,False,1710678.02,prior_reference_price,128.60,128.90,extended_hours_trade,L,64,1,61456096689861,,,
350000,ELF,128.41,2322850,2025-01-15T21:00:24Z,False,44943500.00,prior_reference_price,125.50,129.05,extended_hours_trade,L,40,20,57624689351007,,,
1530,ELF,128.41,1971655,2025-01-15T21:00:20Z,False,196467.30,prior_reference_price,125.50,129.05,extended_hours_trade,L,40,20,57620223881161,,,
2237,ELF,128.41,1969683,2025-01-15T21:00:06Z,False,287253.17,,125.50,129.05,extended_hours_trade,L,40,20,57606768941050,,,
2000,ELF,128.5801,1480551,2025-01-15T20:59:38Z,False,257160.2000,,128.54,128.76,,L,124,4,57578897927590,,,
1000,ELF,128.9723,1225349,2025-01-15T20:48:30Z,False,128972.3000,,128.92,129.01,,L,198,38,56910302113338,,,
1000,ELF,129.24,1198800,2025-01-15T20:45:06Z,False,129240.00,,129.08,129.25,,L,16,350,56706953425513,,,
2000,ELF,128.84,1180908,2025-01-15T20:40:25Z,False,257680.00,,128.95,129.08,,L,147,16,56425517272404,,,
3000,ELF,129.05,1167576,2025-01-15T20:37:23Z,False,387150.00,,128.82,129.05,,L,33,233,56243750579125,,,
1000,ELF,128.8662,1130926,2025-01-15T20:31:36Z,False,128866.2000,,128.71,128.93,,L,21,101,55896273807773,,,
1000,ELF,128.5668,1111497,2025-01-15T20:27:57Z,False,128566.8000,,128.48,128.77,,L,5,122,55677804970763,,,
1108,ELF,128.6245,1101079,2025-01-15T20:23:24Z,False,142515.9460,,128.47,128.71,,L,105,18,55404996574093,,,
1000,ELF,128.25,1084936,2025-01-15T20:21:24Z,False,128250.00,,128.11,128.32,,L,127,21,55284440749014,,,
1000,ELF,127.8255,1069581,2025-01-15T20:18:57Z,False,127825.5000,,127.64,127.85,,L,2,558,55137608642561,,,
4076,ELF,127.8785,1006728,2025-01-15T19:55:02Z,False,521232.7660,,127.81,127.91,,L,146,10,53702447064803,,,
1000,ELF,128.30,990344,2025-01-15T19:50:23Z,False,128300.00,,128.15,128.28,,L,100,101,53423460881701,,,
1000,ELF,128.344,963408,2025-01-15T19:40:43Z,False,128344.000,,128.06,128.47,,L,67,200,52843718731567,,,
1000,ELF,127.79,956795,2025-01-15T19:39:31Z,False,127790.00,,127.50,127.79,,L,1,110,52771923423078,,,
1000,ELF,127.608,954553,2025-01-15T19:38:58Z,False,127608.000,,127.50,127.74,,L,13,100,52738931911190,,,
900,ELF,127.62,952425,2025-01-15T19:38:14Z,False,114858.00,,127.50,127.73,,L,26,1,52694340781114,,,
8600,ELF,127.435,949399,2025-01-15T19:38:03Z,False,1095941.000,,127.37,127.53,,L,15,9,52683700308079,,,
1000,ELF,127.7409,910701,2025-01-15T19:29:16Z,False,127740.9000,,127.50,127.75,,L,15,100,52156460203556,,,
1000,ELF,127.51,909365,2025-01-15T19:28:28Z,False,127510.00,,127.44,127.63,,L,83,10,52108051099789,,,
1200,ELF,127.75,894139,2025-01-15T19:21:45Z,False,153300.00,,127.60,127.87,,L,73,10,51705487052114,,,
2000,ELF,128.52,876619,2025-01-15T19:16:13Z,False,257040.00,,128.52,128.80,,L,89,16,51373129778350,,,
919,ELF,128.80,872292,2025-01-15T19:13:59Z,False,118367.20,,128.75,128.98,,L,89,22,51239973542035,,,
1000,ELF,128.985,862084,2025-01-15T19:07:56Z,False,128985.000,,128.82,129.17,,L,82,10,50876419424255,,,
899,ELF,128.285,850821,2025-01-15T19:04:12Z,False,115328.215,,128.17,128.36,,L,81,1,50652469261438,,,
1000,ELF,128.78,824340,2025-01-15T18:47:52Z,False,128780.00,,128.63,128.87,,L,1,210,49672696420220,,,
803,ELF,129.26,809778,2025-01-15T18:41:19Z,False,103795.78,,129.26,129.57,,L,86,134,49279262031987,,,
3252,ELF,130.0706,774638,2025-01-15T18:19:31Z,False,422989.5912,,129.77,130.14,,L,4,136,47971759238379,,,
800,ELF,129.9373,770453,2025-01-15T18:19:00Z,False,103949.8400,,129.77,130.18,,L,27,36,47940235601753,,,
1000,ELF,129.6128,763182,2025-01-15T18:15:03Z,False,129612.8000,,129.72,129.99,,L,27,4,47703818937792,,,
1937,ELF,129.75,761813,2025-01-15T18:14:44Z,False,251325.75,,129.61,129.89,,L,23,20,47684591689078,,,
