size,ticker,price,volume,executed_at,canceled,premium,sale_cond_codes,nbbo_ask,nbbo_bid,ext_hour_sold_codes,market_center,nbbo_ask_quantity,nbbo_bid_quantity,tracking_id,trade_code,trade_settlement,trf_executed_at
1721,ELF,92.65,4585139,2025-11-05T23:51:11Z,False,159450.65,,93.5,92.6,extended_hours_trade,L,88,10,0,,regular,
1804,ELF,92.9799,4577105,2025-11-05T23:44:58Z,False,167735.7396,,93,92.11,extended_hours_trade,L,100,10,0,,regular,
1122,ELF,92.75,4574691,2025-11-05T23:43:16Z,False,104065.50,,92.98,92.48,extended_hours_trade,L,27,4,0,,regular,
1725,ELF,92.7592,4573569,2025-11-05T23:43:16Z,False,160009.6200,,92.98,92.48,extended_hours_trade,L,27,4,0,,regular,
2000,ELF,91.2191,4536673,2025-11-05T22:58:59Z,False,182438.2000,,91.22,91.11,extended_hours_trade,L,107,200,0,,regular,
1950,ELF,92.51,4516010,2025-11-05T22:50:10Z,False,180394.50,,93.01,92.5,extended_hours_trade,L,100,1000,0,,regular,
1949,ELF,93.0425,4478815,2025-11-05T22:38:13Z,False,181339.8325,,95,93,extended_hours_trade,L,10,116,0,,regular,
1200,ELF,93.5,4449743,2025-11-05T22:30:28Z,False,112200.0,,95,93.5,extended_hours_trade,L,10,2600,0,,regular,
1127,ELF,93.3361,4446202,2025-11-05T22:29:47Z,False,105189.7847,,95.43,93.29,extended_hours_trade,L,62,100,0,,regular,
2000,ELF,94.25,4439988,2025-11-05T22:29:04Z,False,188500.00,,95.43,94.25,extended_hours_trade,L,62,100,0,,regular,
1225,ELF,95.948,4411823,2025-11-05T22:26:59Z,False,117536.300,,96,95.1,extended_hours_trade,L,496,1000,0,,regular,
1500,ELF,94.5278,4401750,2025-11-05T22:26:31Z,False,141791.7000,,94.89,94.5,extended_hours_trade,L,60,50,0,,regular,
3900,ELF,92,4348554,2025-11-05T22:21:57Z,False,358800,,92.48,92.02,extended_hours_trade,L,100,200,0,,regular,
2000,ELF,92,4340249,2025-11-05T22:21:21Z,False,184000,,92.48,91.51,extended_hours_trade,L,100,200,0,,regular,
2634,ELF,92.5,4267455,2025-11-05T22:12:41Z,False,243645.0,,93.09,92.5,extended_hours_trade,L,50,200,0,,regular,
2200,ELF,93,4262734,2025-11-05T22:12:09Z,False,204600,,93.25,93,extended_hours_trade,L,1,147,0,,regular,
2000,ELF,93.51,4189629,2025-11-05T22:02:49Z,False,187020.00,,93.8,93.5,extended_hours_trade,L,50,177,0,,regular,
1312,ELF,93.96,4180342,2025-11-05T22:02:14Z,False,123275.52,,94,92.5,extended_hours_trade,L,50,100,0,,regular,
2002,ELF,92.41,4168481,2025-11-05T22:01:51Z,False,185004.82,,92.9,92.41,extended_hours_trade,L,1,100,0,,regular,
1600,ELF,92.85,4126580,2025-11-05T22:00:41Z,False,148560.00,,93.5,92.5,extended_hours_trade,L,10,171,0,,regular,
2500,ELF,92.847,4121115,2025-11-05T22:00:30Z,False,232117.500,,93.63,92.5,extended_hours_trade,L,20,171,0,,regular,
3739,ELF,92,4103549,2025-11-05T21:59:51Z,False,343988,,92.66,92,extended_hours_trade,L,1,100,0,,regular,
3537,ELF,91.87,4095465,2025-11-05T21:59:43Z,False,324944.19,,92.48,91.87,extended_hours_trade,L,207,100,0,,regular,
2000,ELF,91.56,4088913,2025-11-05T21:59:32Z,False,183120.00,,92.23,91.53,extended_hours_trade,L,10,4,0,,regular,
2000,ELF,91.33,4065023,2025-11-05T21:58:39Z,False,182660.00,,92.25,91.54,extended_hours_trade,L,10,100,0,,regular,
2100,ELF,91.54,4061065,2025-11-05T21:58:39Z,False,192234.00,,92.25,91.54,extended_hours_trade,L,10,100,0,,regular,
2000,ELF,91.1375,4050340,2025-11-05T21:58:23Z,False,182275.0000,,91.44,90.28,extended_hours_trade,L,1,15,0,,regular,
2000,ELF,90.5418,4045145,2025-11-05T21:58:13Z,False,181083.6000,,91.44,90.5,extended_hours_trade,L,1,50,0,,regular,
1500,ELF,89.98,3997682,2025-11-05T21:55:56Z,False,134970.00,,89.93,89.6,extended_hours_trade,L,10,26,0,,regular,
3022,ELF,89.93,3973496,2025-11-05T21:55:17Z,False,271768.46,,90,89.93,extended_hours_trade,L,320,97,0,,regular,
1500,ELF,89.64,3953077,2025-11-05T21:55:08Z,False,134460.00,,90,89.64,extended_hours_trade,L,510,100,0,,regular,
