size,ticker,price,volume,executed_at,canceled,premium,sale_cond_codes,nbbo_bid,nbbo_ask,ext_hour_sold_codes,market_center,nbbo_ask_quantity,nbbo_bid_quantity,tracking_id,trade_code,trade_settlement,trf_executed_at
36984,ELV,356.13,2502009,2026-04-27T20:55:19Z,False,13171111.92,prior_reference_price,350,357.8,extended_hours_trade,L,10,2,31675459127446,,regular,2026-04-27T20:55:19Z
23508,ELV,356.13,2464961,2026-04-27T20:37:13Z,False,8371904.04,prior_reference_price,350,357.98,extended_hours_trade,L,11,2,31675458041864,,regular,2026-04-27T20:37:13Z
31081,ELV,356.13,2441431,2026-04-27T20:05:07Z,False,11068876.53,average_price_trade,350,357.98,extended_hours_trade,L,11,2,31675456115117,,regular,2026-04-27T20:05:07Z
47511,ELV,356.13,2410350,2026-04-27T20:05:05Z,False,16920092.43,prior_reference_price,350,357.98,extended_hours_trade,L,11,2,31675456113100,,regular,2026-04-27T20:05:05Z
732,ELV,356.13,2362839,2026-04-27T20:05:03Z,False,260687.16,average_price_trade,350,357.98,extended_hours_trade,L,11,2,31675456111130,,regular,2026-04-27T20:05:03Z
15093,ELV,356.13,2361245,2026-04-27T20:00:50Z,False,5375070.09,prior_reference_price,350,357.98,extended_hours_trade,L,11,2,31675455858502,,regular,2026-04-27T20:00:50Z
561,ELV,356.13,2346152,2026-04-27T20:00:34Z,False,199788.93,prior_reference_price,350,357.98,extended_hours_trade,L,11,2,31675455842227,,regular,2026-04-27T20:00:34Z
312,ELV,356.13,2345541,2026-04-27T20:00:32Z,False,111112.56,prior_reference_price,350,357.98,extended_hours_trade,L,11,2,31675455840509,,regular,2026-04-27T20:00:32Z
791,ELV,356.13,2344125,2026-04-27T20:00:18Z,False,281698.83,prior_reference_price,350,357.98,extended_hours_trade,L,11,2,31675455826579,,regular,2026-04-27T20:00:18Z
384,ELV,356.13,2343158,2026-04-27T20:00:15Z,False,136753.92,prior_reference_price,350,357.98,extended_hours_trade,L,11,2,31675455823574,,regular,2026-04-27T20:00:15Z
903,ELV,356.13,2342490,2026-04-27T20:00:14Z,False,321585.39,prior_reference_price,350,357.98,extended_hours_trade,L,11,2,31675455822793,,regular,2026-04-27T20:00:14Z
536,ELV,356.13,2341506,2026-04-27T20:00:14Z,False,190885.68,prior_reference_price,350,357.98,extended_hours_trade,L,11,2,31675455822373,,regular,2026-04-27T20:00:14Z
1571,ELV,356.13,2340956,2026-04-27T20:00:13Z,False,559480.23,prior_reference_price,350,357.98,extended_hours_trade,L,11,2,31675455821787,,regular,2026-04-27T20:00:13Z
430,ELV,356.13,2339274,2026-04-27T20:00:13Z,False,153135.90,prior_reference_price,350,357.98,extended_hours_trade,L,11,2,31675455821414,,regular,2026-04-27T20:00:13Z
857,ELV,356.13,2338662,2026-04-27T20:00:12Z,False,305203.41,prior_reference_price,350,357.98,extended_hours_trade,L,11,2,31675455820725,,regular,2026-04-27T20:00:12Z
560,ELV,356.13,2337568,2026-04-27T20:00:11Z,False,199432.80,,350,357.98,extended_hours_trade,L,11,2,31675455819785,,regular,2026-04-27T20:00:11Z
485,ELV,356.13,2337005,2026-04-27T20:00:05Z,False,172723.05,,350,357.53,extended_hours_trade,L,3,2,31675455813171,,regular,2026-04-27T20:00:05Z
755,ELV,356.13,2336397,2026-04-27T20:00:04Z,False,268878.15,,350,357.53,extended_hours_trade,L,3,2,31675455812079,,regular,2026-04-27T20:00:04Z
300,ELV,356.13,2335153,2026-04-27T20:00:03Z,False,106839.00,,350,357.53,extended_hours_trade,L,3,2,31675455811606,,regular,2026-04-27T20:00:03Z
576,ELV,356.13,2332839,2026-04-27T20:00:02Z,False,205130.88,,350,357.53,extended_hours_trade,L,3,2,31675455810380,,regular,2026-04-27T20:00:02Z
1805,ELV,356.13,2334666,2026-04-27T20:00:02Z,False,642814.65,,350,357.53,extended_hours_trade,L,3,2,31675455810380,,regular,2026-04-27T20:00:02Z
2133,ELV,356.13,2332248,2026-04-27T20:00:02Z,False,759625.29,,350,357.53,extended_hours_trade,L,3,2,31675455810377,,regular,2026-04-27T20:00:02Z
331,ELV,356.13,2329232,2026-04-27T20:00:02Z,False,117879.03,,350,357.53,extended_hours_trade,L,3,2,31675455810376,,regular,2026-04-27T20:00:02Z
527,ELV,356.13,2329895,2026-04-27T20:00:02Z,False,187680.51,,350,357.53,extended_hours_trade,L,3,2,31675455810376,,regular,2026-04-27T20:00:02Z
313,ELV,356.15,1875067,2026-04-27T19:59:54Z,False,111474.95,,356.04,356.28,,L,30,40,31675455802324,,regular,2026-04-27T19:59:54Z
313,ELV,356.22,1845564,2026-04-27T19:59:32Z,False,111496.86,,356.11,356.22,,L,60,40,31675455780572,,regular,2026-04-27T19:59:32Z
440,ELV,356.26,1839604,2026-04-27T19:59:26Z,False,156754.40,,356.23,356.29,,L,40,83,31675455774641,,regular,2026-04-27T19:59:26Z
313,ELV,356.25,1831012,2026-04-27T19:59:18Z,False,111506.25,,356.23,356.31,,L,62,83,31675455766025,,regular,2026-04-27T19:59:18Z
313,ELV,356.22,1812425,2026-04-27T19:58:53Z,False,111496.86,,356.19,356.26,,L,67,73,31675455741769,,regular,2026-04-27T19:58:53Z
298,ELV,356.75,1792340,2026-04-27T19:58:28Z,False,106311.50,,356.47,356.65,,L,61,11,31675455716813,,regular,2026-04-27T19:58:28Z
480,ELV,356.6332,1781835,2026-04-27T19:58:22Z,False,171183.9360,average_price_trade,356.76,356.83,,L,163,4,31675455710220,derivative_priced,regular,2026-04-27T19:58:22Z
520,ELV,356.6521,1771881,2026-04-27T19:58:03Z,False,185459.0920,average_price_trade,356.66,356.87,,L,80,82,31675455691868,derivative_priced,regular,2026-04-27T19:58:03Z
320,ELV,356.64,1746993,2026-04-27T19:57:39Z,False,114124.80,,356.6,356.68,,L,35,160,31675455667938,,regular,2026-04-27T19:57:39Z
640,ELV,357.2144,1689126,2026-04-27T19:56:00Z,False,228617.2160,average_price_trade,356.81,356.9,,L,15,7,31675455568007,derivative_priced,regular,2026-04-27T19:56:00Z
400,ELV,357.145,1672758,2026-04-27T19:55:16Z,False,142858.000,,357.07,357.22,,L,80,50,31675455524803,,regular,2026-04-27T19:55:16Z
798,ELV,357.21,1670724,2026-04-27T19:55:06Z,False,285053.58,,357.13,357.25,,L,43,2,31675455514955,,regular,2026-04-27T19:55:06Z
424,ELV,357.18,1631015,2026-04-27T19:52:46Z,False,151444.32,,357.09,357.22,,L,80,40,31675455374194,,regular,2026-04-27T19:52:46Z
464,ELV,357.19,1613196,2026-04-27T19:52:14Z,False,165736.16,,357.12,357.19,,L,140,29,31675455342630,,regular,2026-04-27T19:52:14Z
400,ELV,357.013,1611508,2026-04-27T19:52:09Z,False,142805.200,average_price_trade,357.12,357.19,,L,161,29,31675455337215,derivative_priced,regular,2026-04-27T19:52:09Z
290,ELV,357.12,1608221,2026-04-27T19:51:44Z,False,103564.80,,357.12,357.19,,L,75,97,31675455312153,,regular,2026-04-27T19:51:44Z
300,ELV,357.19,1604167,2026-04-27T19:51:28Z,False,107157.00,,357.05,357.45,,L,4,83,31675455296982,,regular,2026-04-27T19:51:28Z
294,ELV,357.13,1603044,2026-04-27T19:51:23Z,False,104996.22,,357.05,357.45,,L,3,80,31675455291901,,regular,2026-04-27T19:51:23Z
313,ELV,356.71,1552452,2026-04-27T19:48:33Z,False,111650.23,,356.7,356.88,,L,20,34,31675455121443,,regular,2026-04-27T19:48:33Z
1166,ELV,356.735,1547286,2026-04-27T19:47:53Z,False,415953.010,,356.66,356.84,,L,122,42,31675455081663,,regular,2026-04-27T19:47:53Z
320,ELV,356.5772,1538322,2026-04-27T19:47:09Z,False,114104.7040,average_price_trade,356.71,356.8,,L,13,26,31675455037214,derivative_priced,regular,2026-04-27T19:47:09Z
500,ELV,356.57,1536191,2026-04-27T19:46:42Z,False,178285.00,,356.57,356.66,,L,7,119,31675455010978,,regular,2026-04-27T19:46:42Z
380,ELV,356.49,1526279,2026-04-27T19:45:21Z,False,135466.20,,356.41,356.48,,L,187,45,31675454929672,,regular,2026-04-27T19:45:21Z
400,ELV,356.463,1496506,2026-04-27T19:40:46Z,False,142585.200,average_price_trade,356.85,356.98,,L,1,8,31675454654523,derivative_priced,regular,2026-04-27T19:40:46Z
600,ELV,356.6525,1482970,2026-04-27T19:38:22Z,False,213991.5000,,356.57,356.85,,L,95,40,31675454510613,,regular,2026-04-27T19:38:22Z
318,ELV,356.6452,1482370,2026-04-27T19:38:22Z,False,113413.1736,,356.57,356.85,,L,95,40,31675454510612,,regular,2026-04-27T19:38:22Z
318,ELV,356.58,1481887,2026-04-27T19:38:21Z,False,113392.44,,356.57,356.85,,L,95,40,31675454509553,,regular,2026-04-27T19:38:21Z
400,ELV,356.3536,1471349,2026-04-27T19:37:09Z,False,142541.4400,average_price_trade,356.23,356.36,,L,51,80,31675454437208,derivative_priced,regular,2026-04-27T19:37:09Z
450,ELV,355.7508,1434227,2026-04-27T19:31:08Z,False,160087.8600,average_price_trade,356.21,356.36,,L,50,42,31675454076263,derivative_priced,regular,2026-04-27T19:31:08Z
540,ELV,355.6953,1432407,2026-04-27T19:30:47Z,False,192075.4620,average_price_trade,356.09,356.22,,L,91,50,31675454055999,derivative_priced,regular,2026-04-27T19:30:47Z
720,ELV,355.6947,1431861,2026-04-27T19:30:47Z,False,256100.1840,average_price_trade,356.09,356.22,,L,91,50,31675454055509,derivative_priced,regular,2026-04-27T19:30:47Z
690,ELV,355.2136,1399198,2026-04-27T19:26:02Z,False,245097.3840,average_price_trade,355.07,355.18,,L,20,124,31675453770880,,regular,2026-04-27T19:26:02Z
720,ELV,355.3615,1396805,2026-04-27T19:25:42Z,False,255860.2800,average_price_trade,354.98,355.08,,L,50,4,31675453750630,derivative_priced,regular,2026-04-27T19:25:42Z
1140,ELV,355.009,1376499,2026-04-27T19:20:41Z,False,404710.260,average_price_trade,355.64,355.88,,L,5,87,31675453449364,derivative_priced,regular,2026-04-27T19:20:41Z
361,ELV,354.335,1347247,2026-04-27T19:15:06Z,False,127914.935,,354.25,354.43,,L,10,20,31675453114715,,regular,2026-04-27T19:15:06Z
880,ELV,354.6093,1340649,2026-04-27T19:12:22Z,False,312056.1840,average_price_trade,354.61,354.72,,L,12,22,31675452950117,,regular,2026-04-27T19:12:22Z
