size,ticker,price,volume,executed_at,canceled,premium,sale_cond_codes,nbbo_bid,nbbo_ask,ext_hour_sold_codes,market_center,nbbo_ask_quantity,nbbo_bid_quantity,tracking_id,trade_code,trade_settlement,trf_executed_at
2404,EL,78.18,3501415,2024-12-17T21:06:32Z,False,187944.72,average_price_trade,78,80,extended_hours_trade,L,50,1,57992537215222,,,
3778,EL,78.18,3496787,2024-12-17T21:03:29Z,False,295364.04,prior_reference_price,78,80,extended_hours_trade,L,50,1,57809745715193,,,
3438,EL,78.18,3492795,2024-12-17T21:03:25Z,False,268782.84,prior_reference_price,78,80,extended_hours_trade,L,50,1,57805616300042,,,
4204,EL,78.18,3488428,2024-12-17T21:03:03Z,False,328668.72,prior_reference_price,78,80,extended_hours_trade,L,50,1,57783241174439,,,
8680,EL,78.18,3482791,2024-12-17T21:02:58Z,False,678602.40,prior_reference_price,78,80,extended_hours_trade,L,50,1,57778861943586,,,
5425,EL,78.18,3473489,2024-12-17T21:01:44Z,False,424126.50,,78,80,extended_hours_trade,L,50,1,57704576094389,,,
59986,EL,78.18,3467151,2024-12-17T21:01:44Z,False,4689705.48,,78,80,extended_hours_trade,L,50,1,57704571302341,,,
2511,EL,78.18,3405990,2024-12-17T21:00:48Z,False,196309.98,prior_reference_price,78,80,extended_hours_trade,L,50,1,57648585210544,,,
1600,EL,78.18,3402268,2024-12-17T21:00:41Z,False,125088.00,prior_reference_price,78,80,extended_hours_trade,L,50,1,57641064441757,,,
4521,EL,78.18,3398935,2024-12-17T21:00:38Z,False,353451.78,prior_reference_price,78,80,extended_hours_trade,L,50,1,57638315634462,,,
1961,EL,78.18,3393877,2024-12-17T21:00:20Z,False,153310.98,prior_reference_price,78,80,extended_hours_trade,L,50,1,57620795471032,,,
3848,EL,78.18,3390228,2024-12-17T21:00:20Z,False,300836.64,prior_reference_price,78,80,extended_hours_trade,L,50,1,57620754445215,,,
2800,EL,78.18,3386136,2024-12-17T21:00:20Z,False,218904.00,prior_reference_price,78,80,extended_hours_trade,L,50,1,57620745703220,,,
2633,EL,78.18,3380747,2024-12-17T21:00:20Z,False,205847.94,prior_reference_price,78,80,extended_hours_trade,L,50,1,57620555241039,,,
1290,EL,78.18,3372884,2024-12-17T21:00:02Z,False,100852.20,,78.15,78.19,extended_hours_trade,L,10,100,57602487314681,,,
1850,EL,78.18,2568991,2024-12-17T20:59:51Z,False,144633.00,,78.20,78.29,,L,200,100,57591036449586,intermarket_sweep,,
1950,EL,78.19,2564474,2024-12-17T20:59:51Z,False,152470.50,,78.20,78.29,,L,200,100,57591019122210,,,
1800,EL,78.345,2381011,2024-12-17T20:58:25Z,False,141021.000,,78.31,78.36,,L,4,56,57505171739624,,,
1300,EL,78.5542,2077666,2024-12-17T20:50:15Z,False,102120.4600,average_price_trade,78.62,78.64,,L,500,46,57015806102272,derivative_priced,,
1349,EL,78.665,1961379,2024-12-17T20:44:39Z,False,106119.085,,78.66,78.68,,L,213,90,56679380174737,,,
2000,EL,78.66,1802453,2024-12-17T20:28:00Z,False,157320.00,,78.66,78.71,,L,30,3,55680067162967,,,
2800,EL,78.715,1703922,2024-12-17T20:16:12Z,False,220402.000,,78.69,78.73,,L,50,2,54972938783706,,,
8627,EL,78.80,1693946,2024-12-17T20:16:12Z,False,679807.60,,78.79,78.81,,L,22,3,54972765181035,,,
6600,EL,78.80,1685219,2024-12-17T20:16:12Z,False,520080.00,,78.79,78.81,,L,22,3,54972760344567,,,
4000,EL,78.84,1651360,2024-12-17T20:13:06Z,False,315360.00,,78.80,78.84,,L,89,100,54786995095425,,,
1309,EL,78.8645,1637481,2024-12-17T20:11:05Z,False,103233.6305,,78.86,78.89,,L,24,54,54665503775807,,,
1505,EL,78.8422,1578052,2024-12-17T20:01:17Z,False,118657.5110,,78.84,78.87,,L,237,100,54077863061447,,,
1330,EL,78.86,1496546,2024-12-17T19:44:41Z,False,104883.80,,78.84,78.88,,L,136,800,53081601148627,,,
1550,EL,79.5201,1218721,2024-12-17T18:42:44Z,False,123256.1550,,79.52,79.60,,L,367,251,49364120441261,,,
1550,EL,79.52,1217171,2024-12-17T18:42:44Z,False,123256.00,,79.52,79.60,,L,367,251,49364119458344,,,
4267,EL,79.615,1209210,2024-12-17T18:41:35Z,False,339717.205,,79.59,79.64,,L,425,143,49295882910806,,,
1530,EL,79.63,1200178,2024-12-17T18:40:13Z,False,121833.90,,79.62,79.69,,L,316,101,49213728255192,,,
1400,EL,79.91,1126260,2024-12-17T18:20:03Z,False,111874.00,,79.89,79.93,,L,2,12,48003053297940,,,
1556,EL,79.905,1112460,2024-12-17T18:14:51Z,False,124332.180,,79.86,79.95,,L,153,100,47691201388820,,,
1915,EL,79.88,1110408,2024-12-17T18:14:37Z,False,152970.20,,79.83,79.95,,L,146,103,47677784778507,,,
16100,EL,79.91,1090852,2024-12-17T18:12:03Z,False,1286551.00,,79.89,79.92,,L,30,165,47523417948302,,,
4606,EL,79.62,986202,2024-12-17T18:00:23Z,False,366729.72,,79.63,79.66,,L,126,1,46823093643352,,,
1300,EL,79.6301,904529,2024-12-17T17:24:17Z,False,103519.1300,,79.63,79.69,,L,300,7,44657492313047,,,
3083,EL,79.5899,892987,2024-12-17T17:18:55Z,False,245375.6617,,79.52,79.61,,L,9,1,44335354549995,,,
1500,EL,79.56,861932,2024-12-17T17:07:34Z,False,119340.00,,79.56,79.63,,L,7,2,43654970928380,,,
10300,EL,79.43,771189,2024-12-17T16:38:22Z,False,818129.00,,79.36,79.43,,L,36,61,41902369311010,,,
1583,EL,79.33,743194,2024-12-17T16:34:45Z,False,125579.39,,79.31,79.35,,L,126,1300,41685608782061,,,
4121,EL,79.335,732844,2024-12-17T16:34:42Z,False,326939.535,,79.26,79.35,,L,1,100,41682128767086,,,
2805,EL,79.2143,540656,2024-12-17T15:58:05Z,False,222196.1115,,79.20,79.29,,L,125,46,39485758779617,,,
8264,EL,78.85,470074,2024-12-17T15:42:25Z,False,651616.40,,78.82,78.88,,L,329,101,38545986377541,,,
9500,EL,78.865,426802,2024-12-17T15:35:30Z,False,749217.500,,78.83,78.90,,L,517,1,38130624687114,,,
1631,EL,78.72,261434,2024-12-17T15:02:17Z,False,128392.32,,78.67,78.77,,L,206,376,36137727632520,,,
7000,EL,78.85,225070,2024-12-17T14:57:04Z,False,551950.00,,78.77,78.90,,L,17,100,35824288545595,,,
3500,EL,79,203193,2024-12-17T14:56:05Z,False,276500,,79.01,79.10,,L,22,40,35765659569405,,,
1455,EL,79.4669,150689,2024-12-17T14:46:21Z,False,115624.3395,,79.46,79.58,,L,6,5,35181026083943,,,
6638,EL,79.57,8634,2024-12-17T13:37:13Z,False,528185.66,average_price_trade,79,79.25,extended_hours_trade,L,8,50,31033407190548,,,
