size,ticker,price,volume,executed_at,canceled,premium,sale_cond_codes,nbbo_ask,nbbo_bid,ext_hour_sold_codes,market_center,nbbo_ask_quantity,nbbo_bid_quantity,tracking_id,trade_code,trade_settlement,trf_executed_at
12733,EL,85.29,3021610,2026-05-07T20:59:02Z,False,1085997.57,prior_reference_price,85.5,84.9,extended_hours_trade,L,100,3,29944587529885,,regular,2026-05-07T20:59:02Z
1218,EL,85.29,3005920,2026-05-07T20:11:31Z,False,103883.22,average_price_trade,85.62,85,extended_hours_trade_late_or_out_of_sequence,L,52,20,29944584679011,,regular,2026-05-07T20:09:42Z
2656,EL,85.2896,3004374,2026-05-07T20:05:28Z,False,226529.1776,prior_reference_price,85.62,85,extended_hours_trade,L,20,20,29944584316325,,regular,2026-05-07T20:05:28Z
1429,EL,85.29,3001291,2026-05-07T20:00:31Z,False,121879.41,prior_reference_price,85.62,85,extended_hours_trade,L,20,20,29944584019555,,regular,2026-05-07T20:00:31Z
1833,EL,85.29,2997901,2026-05-07T20:00:31Z,False,156336.57,prior_reference_price,85.62,85,extended_hours_trade,L,20,20,29944584019105,,regular,2026-05-07T20:00:31Z
1824,EL,85.29,2995624,2026-05-07T20:00:31Z,False,155568.96,prior_reference_price,85.62,85,extended_hours_trade,L,20,20,29944584018962,,regular,2026-05-07T20:00:31Z
1763,EL,85.29,2993800,2026-05-07T20:00:31Z,False,150366.27,prior_reference_price,85.62,85,extended_hours_trade,L,20,20,29944584018958,,regular,2026-05-07T20:00:31Z
1939,EL,85.29,2992037,2026-05-07T20:00:31Z,False,165377.31,prior_reference_price,85.62,85,extended_hours_trade,L,20,20,29944584018953,,regular,2026-05-07T20:00:31Z
1824,EL,85.29,2990098,2026-05-07T20:00:31Z,False,155568.96,prior_reference_price,85.62,85,extended_hours_trade,L,20,20,29944584018930,,regular,2026-05-07T20:00:31Z
1388,EL,85.29,2988274,2026-05-07T20:00:31Z,False,118382.52,prior_reference_price,85.62,85,extended_hours_trade,L,20,20,29944584018917,,regular,2026-05-07T20:00:31Z
1832,EL,85.29,2985755,2026-05-07T20:00:31Z,False,156251.28,prior_reference_price,85.62,85,extended_hours_trade,L,20,20,29944584018748,,regular,2026-05-07T20:00:31Z
1805,EL,85.29,2983923,2026-05-07T20:00:31Z,False,153948.45,prior_reference_price,85.62,85,extended_hours_trade,L,20,20,29944584018743,,regular,2026-05-07T20:00:31Z
1868,EL,85.29,2982105,2026-05-07T20:00:31Z,False,159321.72,prior_reference_price,85.62,85,extended_hours_trade,L,20,20,29944584018723,,regular,2026-05-07T20:00:31Z
5410,EL,85.29,2978733,2026-05-07T20:00:30Z,False,461418.90,prior_reference_price,85.62,85,extended_hours_trade,L,20,20,29944584018657,,regular,2026-05-07T20:00:30Z
1260,EL,85.29,2971864,2026-05-07T20:00:22Z,False,107465.40,prior_reference_price,85.62,85,extended_hours_trade,L,20,20,29944584010299,,regular,2026-05-07T20:00:22Z
1343,EL,85.29,2970604,2026-05-07T20:00:22Z,False,114544.47,prior_reference_price,85.62,85,extended_hours_trade,L,20,20,29944584009759,,regular,2026-05-07T20:00:22Z
1828,EL,85.29,2969261,2026-05-07T20:00:21Z,False,155910.12,prior_reference_price,85.62,85,extended_hours_trade,L,20,20,29944584009226,,regular,2026-05-07T20:00:21Z
2573,EL,85.29,2966276,2026-05-07T20:00:05Z,False,219451.17,,86.5,84.96,extended_hours_trade,L,50,20,29944583993289,,regular,2026-05-07T20:00:04Z
1300,EL,85.2397,2291817,2026-05-07T19:59:20Z,False,110811.6100,,85.27,85.24,,L,10,103,29944583947914,,regular,2026-05-07T19:59:20Z
1200,EL,85.1603,2111344,2026-05-07T19:56:15Z,False,102192.3600,average_price_trade,85.14,85.1,,L,50,75,29944583763431,derivative_priced,regular,2026-05-07T19:56:15Z
1700,EL,85.1644,2102559,2026-05-07T19:55:56Z,False,144779.4800,average_price_trade,85.22,85.2,,L,175,261,29944583743752,derivative_priced,regular,2026-05-07T19:55:55Z
2381,EL,85.2399,1596946,2026-05-07T19:14:59Z,False,202956.2019,,85.24,85.18,,L,218,118,29944581286979,,regular,2026-05-07T19:14:59Z
2000,EL,85.19,1570271,2026-05-07T19:11:33Z,False,170380.00,,85.19,85.16,,L,16,73,29944581081482,,regular,2026-05-07T19:11:33Z
1694,EL,85.33,1425275,2026-05-07T18:36:45Z,False,144549.02,,85.35,85.29,,L,56,158,29944578993155,,regular,2026-05-07T18:36:45Z
1350,EL,85.14,1312595,2026-05-07T17:59:29Z,False,114939.00,,85.2,85.13,,L,12,65,29944576756731,,regular,2026-05-07T17:59:29Z
1247,EL,84.95,1285800,2026-05-07T17:51:51Z,False,105932.65,,84.98,84.93,,L,62,59,29944576299568,,regular,2026-05-07T17:51:51Z
1990,EL,85.002,1266580,2026-05-07T17:48:23Z,False,169153.980,,85.03,85,,L,33,155,29944576090925,,regular,2026-05-07T17:48:23Z
1200,EL,85.025,1259809,2026-05-07T17:46:54Z,False,102030.000,,85.07,84.99,,L,395,1,29944576001796,,regular,2026-05-07T17:46:54Z
4300,EL,85.0835,1225033,2026-05-07T17:35:05Z,False,365859.0500,,85.13,85.04,,L,199,136,29944575292916,,regular,2026-05-07T17:35:05Z
1400,EL,85.22,1157185,2026-05-07T17:26:54Z,False,119308.00,,85.3,85.2,,L,130,100,29944574802278,,regular,2026-05-07T17:26:54Z
1500,EL,85.9699,1104211,2026-05-07T17:09:11Z,False,128954.8500,,85.96,85.9,,L,59,59,29944573739128,,regular,2026-05-07T17:09:11Z
3151,EL,85.9264,1102082,2026-05-07T17:08:53Z,False,270754.0864,,85.97,85.87,,L,185,191,29944573721095,,regular,2026-05-07T17:08:53Z
3649,EL,86.04,846102,2026-05-07T15:51:28Z,False,313959.96,,86.09,85.98,,L,2,110,29944569076475,,regular,2026-05-07T15:51:28Z
1228,EL,85.92,830763,2026-05-07T15:50:24Z,False,105509.76,,85.92,85.86,,L,27,100,29944569011797,,regular,2026-05-07T15:50:24Z
3453,EL,85.9699,734331,2026-05-07T15:29:23Z,False,296854.0647,,85.97,85.83,,L,23,34,29944567750909,,regular,2026-05-07T15:29:23Z
1500,EL,86.11,668728,2026-05-07T15:14:09Z,False,129165.00,,86.23,86.08,,L,134,180,29944566837654,,regular,2026-05-07T15:14:09Z
84564,EL,85.91,640861,2026-05-07T15:06:59Z,False,7264893.24,,85.97,85.89,,L,200,40,29944566407479,intermarket_sweep,regular,2026-05-07T15:06:59Z
1672,EL,85.53,539637,2026-05-07T15:04:16Z,False,143006.16,,85.56,85.5,,L,100,1,29944566244617,,regular,2026-05-07T15:04:16Z
1900,EL,85.5,533365,2026-05-07T15:04:15Z,False,162450.0,,85.56,85.5,,L,100,1,29944566243519,,regular,2026-05-07T15:04:15Z
2715,EL,85.795,508375,2026-05-07T15:00:05Z,False,232933.425,,85.85,85.74,,L,11,109,29944565992776,,regular,2026-05-07T15:00:05Z
1465,EL,85.28,379274,2026-05-07T14:22:39Z,False,124935.20,,85.36,85.19,,L,7,146,29944563746988,,regular,2026-05-07T14:22:39Z
1277,EL,85.2,375240,2026-05-07T14:22:11Z,False,108800.4,,85.22,85.13,,L,1,120,29944563718746,,regular,2026-05-07T14:22:11Z
2579,EL,85.28,371229,2026-05-07T14:21:19Z,False,219937.12,,85.39,85.22,,L,1,217,29944563667005,,regular,2026-05-07T14:21:19Z
4636,EL,85.71,340913,2026-05-07T14:17:49Z,False,397351.56,,85.71,85.49,,L,201,316,29944563457396,,regular,2026-05-07T14:17:49Z
4604,EL,85.92,324489,2026-05-07T14:13:27Z,False,395575.68,,86.18,85.88,,L,100,116,29944563195010,,regular,2026-05-07T14:13:27Z
1897,EL,86.08,306134,2026-05-07T14:08:59Z,False,163293.76,,86.09,86.05,,L,1,38,29944562926847,,regular,2026-05-07T14:08:59Z
2440,EL,85.79,234212,2026-05-07T14:03:25Z,False,209327.60,,85.8,85.72,,L,1,4,29944562593520,,regular,2026-05-07T14:03:25Z
1400,EL,86.05,162106,2026-05-07T13:48:53Z,False,120470.00,,86.14,85.82,,L,116,100,29944561721314,,regular,2026-05-07T13:48:53Z
2325,EL,85.82,142517,2026-05-07T13:46:20Z,False,199531.50,,85.92,85.72,,L,100,42,29944561567856,,regular,2026-05-07T13:46:20Z
2000,EL,86.05,103788,2026-05-07T13:40:44Z,False,172100.00,,86.13,85.86,,L,200,16,29944561232571,,regular,2026-05-07T13:40:44Z
1379,EL,86.145,96394,2026-05-07T13:39:49Z,False,118793.955,,86.29,86,,L,100,100,29944561176856,,regular,2026-05-07T13:39:49Z
4900,EL,86.71,12662,2026-05-07T13:29:31Z,False,424879.00,,87,86.63,extended_hours_trade,L,12,17,29944560558805,,regular,2026-05-07T13:29:31Z
